,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
0,ASUNCION,0,4,0
1,FERNANDO DE LA MORA,5,0,1
2,PEDRO JUAN CABALLERO,3,1,1
3,YBY YAU,0,4,1
4,YPANE,3,1,1
5,CAPIATA,3,1,1
6,CAPITAN BADO,0,4,0
7,HORQUETA,0,4,1
8,BELEN,0,4,1
9,CECILIO BAEZ,0,0,1
10,CONCEPCION,5,0,1
11,LAMBARE,3,1,1
12,BELLA VISTA,4,2,1
13,HERNANDARIAS,0,4,1
14,ITAKYRY,0,4,0
15,ITAUGUA,5,0,1
16,CORONEL OVIEDO,0,4,1
17,LOMA PLATA,0,4,-1
18,LUQUE,5,0,1
19,MCAL. ESTIGARRIBIA,0,4,0
20,MINGA GUAZU,0,4,0
21,PIRAYU,0,4,1
22,SAN ALBERTO,0,4,1
23,VILLA ELISA,1,5,1
24,YAGUARON,0,4,1
25,YPACARAI,2,3,1
26,CAACUPE,0,4,1
27,EMBOSCADA,0,4,0
28,ITA,5,0,1
29,LIMPIO,0,0,1
30,MARIANO ROQUE ALONSO,5,0,1
31,SAN LORENZO,5,0,1
32,VILLETA,0,0,1
33,GUARAMBARE,3,1,1
34,J A SALDIVAR,5,0,1
35,SAN JOSE DE LOS ARROYOS,0,4,1
36,CAAGUAZU,0,4,1
37,JUAN LEON MALLORQUIN,0,4,1
38,LORETO,0,0,1
39,NUEVA ITALIA,0,0,1
40,VILLA HAYES,5,0,1
41,ACAHAY,0,4,0
42,CARAPEGUA,0,4,1
43,CHORE,0,4,1
44,ENCARNACION,0,4,-1
45,FRAM,0,4,-1
46,JOSE DOMINGO OCAMPOS,0,4,1
47,JUAN E. OLEARY,0,4,3
48,PARAGUARI,0,0,1
49,REPATRIACION,0,4,1
50,SAN ANTONIO,5,0,1
51,SAN JUAN NEPOMUCENO,0,4,2
52,SANTA ROSA,0,4,-1
53,LOMA GRANDE,0,0,1
54,SAN BERNARDINO,0,4,0
55,SAN ESTANISLAO,0,4,1
56,AREGUA,4,2,1
57,ARROYOS Y ESTEROS,0,4,0
58,EUSEBIO AYALA,0,4,0
59,ITACURUBI DE LA CORDILLERA,0,4,1
60,LA PALOMA,0,4,1
61,MINGA PORA,0,4,0
62,PILAR,0,4,0
63,SALTO DEL GUAIRA,0,4,1
64,SAN PEDRO,0,4,-1
65,VILLARRICA,0,4,1
66,ALBERDI,0,4,1
67,CAMBYRETA,0,4,3
68,NATALIO,0,4,2
69,NUEVA ALBORADA,0,4,2
70,OBLIGADO,0,4,2
71,SAN JUAN BAUTISTA,0,4,0
72,SANTA RITA,0,4,0
73,TOBATI,0,4,0
74,MBOCAYATY,0,4,0
75,PIRAPO,0,4,0
76,SAPUCAI,0,4,1
77,TACUATI,0,4,0
78,CAAZAPA,0,4,0
79,CURUGUATY,0,4,1
80,PUERTO PINASCO,1,5,1
81,TEBICUARY,0,0,1
82,CORONEL MARTINEZ,0,4,0
83,SAN LAZARO,0,4,0
84,ATYRA,0,4,1
85,ALTOS,0,0,1
86,PIRIBEBUY,0,4,1
87,AYOLAS,0,4,0
88,BENJAMIN ACEVAL,0,4,1
89,QUIINDY,0,4,0
90,GENERAL MORINIGO,0,4,2
91,VALENZUELA,0,4,0
92,YGUAZU,0,4,1
93,NUEVA ESPERANZA,0,4,1
94,CAPITAN MIRANDA,0,4,-1
95,FUERTE OLIMPO,0,4,0
96,MBARACAYU,0,4,0
97,NANAWA,5,0,1
98,NARANJAL,0,4,1
99,KATUETE,0,4,1
100,SAN PEDRO DEL PARANA,0,4,2
101,CARLOS ANTONIO LOPEZ,0,4,3
102,EDELIRA,0,4,2
103,HOHENAU,0,4,3
104,SAN IGNACIO,0,4,0
105,ABAI,0,4,2
106,CAPIIBARY,0,4,0
107,CARAGUATAY,0,4,0
108,CORPUS CHRISTI,0,4,0
109,RAUL ARSENIO OVIEDO,0,4,0
110,TOMAS ROMERO PEREIRA,0,4,-1
111,TRINIDAD,0,4,1
112,YEGROS,0,4,2
113,CARAYAO,0,4,1
114,CORONEL BOGADO,0,4,3
115,DR. MOISES BERTONI,0,4,2
116,ESCOBAR,0,4,-1
117,GENERAL FRANCISCO CABALLERO ALVAREZ,0,4,2
118,GUAYAIBI,0,4,0
119,JUAN EULOGIO ESTIGARRIBIA,0,4,0
120,MAURICIO JOSE TROCHE,0,4,0
121,NUEVA LONDRES,0,4,0
122,SANTA ELENA,0,4,0
123,COLONIA INDEPENDENCIA,0,4,0
124,LA PAZ,0,4,4
125,NUEVA COLOMBIA,0,4,1
126,SAN MIGUEL,0,4,0
127,SANTA ROSA DEL MONDAY,0,4,1
128,VAQUERIA,0,4,-1
129,YATAITY,0,4,1
130,ITAPE,0,4,0
131,SANTA ROSA DEL AGUARAY,0,4,1
132,FELIX PEREZ CARDOZO,0,4,0
133,GENERAL ARTIGAS,0,4,0
134,JUAN MANUEL FRUTOS,0,4,2
135,LA PASTORA,0,4,2
136,SAN JUAN DEL PARANA,0,4,-1
137,SIMON BOLIVAR,0,4,0
138,CAPITAN MEZA,0,4,0
139,SAN JOAQUIN,0,4,0
140,BORJA,0,4,2
141,ITACURUBI DEL ROSARIO,0,4,1
142,JESUS,0,4,0
143,ISLA PUCU,0,4,0
144,SANTA ROSA DEL MBUTUY,0,4,1
145,VILLA DEL ROSARIO,0,4,2
146,3 DE FEBRERO,0,4,2
147,YUTY,0,4,-1
148,YHU,0,4,2
149,TAVAI,0,4,2
150,FILADELFIA,0,4,0
151,MBOCAYATY DEL YHAGUY,0,4,1
152,SAN CARLOS,0,4,2
153,JOSE FASSARDI,0,4,-1
154,JUAN DE MENA,0,4,1
155,NUEVA GERMANIA,0,4,1
156,UNION,0,4,1
157,CARMEN DEL PARANA,0,4,-1
158,PASO YOBAI,0,4,2
159,TACUARAS,0,4,4
160,YATAITY DEL NORTE,0,4,1
161,25 DE DICIEMBRE,0,4,2
162,SANTA MARIA,0,4,2
163,SANTIAGO,0,4,2
164,MCAL. FRANCISCO SOLANO LOPEZ,0,4,-1
165,SAN JOSE OBRERO,0,4,4
166,ITURBE,0,4,0
167,JOSE FALCON,0,4,2
168,NATALICIO TALAVERA,0,4,1
169,ANTEQUERA,5,0,1
170,ITANARA,0,4,2
171,SAN COSME Y DAMIAN,0,4,-1
172,TEBICUARYMI,0,4,1
173,ITAPUA POTY,0,4,2
174,MACIEL,0,4,2
175,SAN PATRICIO,0,4,4
