,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
0,ASUNCION,0,0,0
1,FERNANDO DE LA MORA,0,0,1
2,PEDRO JUAN CABALLERO,2,5,1
3,YBY YAU,5,0,1
4,YPANE,0,0,0
5,CAPIATA,0,0,0
6,CAPITAN BADO,0,0,2
7,HORQUETA,0,0,1
8,BELEN,0,0,1
9,CECILIO BAEZ,3,1,1
10,CONCEPCION,4,4,1
11,LAMBARE,0,0,1
12,BELLA VISTA,3,1,1
13,HERNANDARIAS,5,2,1
14,ITAKYRY,0,0,3
15,ITAUGUA,0,0,2
16,CORONEL OVIEDO,0,0,1
17,LOMA PLATA,0,0,3
18,LUQUE,0,0,1
19,MCAL. ESTIGARRIBIA,0,0,3
20,MINGA GUAZU,0,0,1
21,PIRAYU,0,0,1
22,SAN ALBERTO,5,0,1
23,VILLA ELISA,0,0,1
24,YAGUARON,0,0,0
25,YPACARAI,3,1,1
26,CAACUPE,0,0,1
27,EMBOSCADA,0,0,2
28,ITA,0,0,0
29,LIMPIO,0,0,1
30,MARIANO ROQUE ALONSO,3,1,1
31,SAN LORENZO,0,0,1
32,VILLETA,0,0,2
33,GUARAMBARE,0,0,1
34,J A SALDIVAR,0,0,0
35,SAN JOSE DE LOS ARROYOS,0,0,1
36,CAAGUAZU,0,0,3
37,JUAN LEON MALLORQUIN,0,0,2
38,LORETO,3,1,1
39,NUEVA ITALIA,0,0,2
40,VILLA HAYES,5,0,1
41,ACAHAY,0,0,0
42,CARAPEGUA,0,0,0
43,CHORE,0,0,0
44,ENCARNACION,0,0,3
45,FRAM,0,0,2
46,JOSE DOMINGO OCAMPOS,0,0,1
47,JUAN E. OLEARY,0,0,3
48,PARAGUARI,5,2,1
49,REPATRIACION,0,0,1
50,SAN ANTONIO,0,0,2
51,SAN JUAN NEPOMUCENO,0,0,3
52,SANTA ROSA,0,0,3
53,LOMA GRANDE,0,0,1
54,SAN BERNARDINO,0,0,1
55,SAN ESTANISLAO,0,0,0
56,AREGUA,0,0,2
57,ARROYOS Y ESTEROS,0,0,0
58,EUSEBIO AYALA,0,0,0
59,ITACURUBI DE LA CORDILLERA,0,0,1
60,LA PALOMA,0,0,0
61,MINGA PORA,0,0,0
62,PILAR,0,0,3
63,SALTO DEL GUAIRA,0,0,1
64,SAN PEDRO,0,0,0
65,VILLARRICA,0,0,1
66,ALBERDI,0,0,1
67,CAMBYRETA,0,0,3
68,NATALIO,0,0,3
69,NUEVA ALBORADA,0,0,3
70,OBLIGADO,0,0,3
71,SAN JUAN BAUTISTA,0,0,0
72,SANTA RITA,0,0,2
73,TOBATI,0,0,0
74,MBOCAYATY,0,0,1
75,PIRAPO,0,0,2
76,SAPUCAI,0,0,0
77,TACUATI,0,0,3
78,CAAZAPA,0,0,2
79,CURUGUATY,0,0,1
80,PUERTO PINASCO,1,3,1
81,TEBICUARY,0,0,1
82,CORONEL MARTINEZ,0,0,2
83,SAN LAZARO,0,0,1
84,ATYRA,0,0,2
85,ALTOS,0,0,1
86,PIRIBEBUY,0,0,1
87,AYOLAS,0,0,2
88,BENJAMIN ACEVAL,0,0,0
89,QUIINDY,0,0,1
90,GENERAL MORINIGO,0,0,3
91,VALENZUELA,0,0,0
92,YGUAZU,0,0,3
93,NUEVA ESPERANZA,0,0,1
94,CAPITAN MIRANDA,0,0,3
95,FUERTE OLIMPO,0,0,3
96,MBARACAYU,0,0,2
97,NANAWA,3,1,1
98,NARANJAL,0,0,1
99,KATUETE,0,0,1
100,SAN PEDRO DEL PARANA,0,0,3
101,CARLOS ANTONIO LOPEZ,0,0,3
102,EDELIRA,0,0,3
103,HOHENAU,0,0,3
104,SAN IGNACIO,0,0,3
105,ABAI,0,0,3
106,CAPIIBARY,0,0,0
107,CARAGUATAY,0,0,1
108,CORPUS CHRISTI,0,0,0
109,RAUL ARSENIO OVIEDO,0,0,2
110,TOMAS ROMERO PEREIRA,0,0,3
111,TRINIDAD,0,0,1
112,YEGROS,0,0,3
113,CARAYAO,0,0,1
114,CORONEL BOGADO,0,0,3
115,DR. MOISES BERTONI,0,0,3
116,ESCOBAR,0,0,2
117,GENERAL FRANCISCO CABALLERO ALVAREZ,0,0,3
118,GUAYAIBI,0,0,0
119,JUAN EULOGIO ESTIGARRIBIA,0,0,0
120,MAURICIO JOSE TROCHE,0,0,0
121,NUEVA LONDRES,0,0,0
122,SANTA ELENA,0,0,1
123,COLONIA INDEPENDENCIA,0,0,2
124,LA PAZ,0,0,3
125,NUEVA COLOMBIA,5,2,1
126,SAN MIGUEL,0,0,2
127,SANTA ROSA DEL MONDAY,5,2,1
128,VAQUERIA,0,0,3
129,YATAITY,0,0,0
130,ITAPE,0,0,3
131,SANTA ROSA DEL AGUARAY,0,0,3
132,FELIX PEREZ CARDOZO,0,0,1
133,GENERAL ARTIGAS,0,0,3
134,JUAN MANUEL FRUTOS,0,0,3
135,LA PASTORA,0,0,3
136,SAN JUAN DEL PARANA,0,0,3
137,SIMON BOLIVAR,0,0,3
138,CAPITAN MEZA,0,0,0
139,SAN JOAQUIN,0,0,2
140,BORJA,0,0,3
141,ITACURUBI DEL ROSARIO,0,0,1
142,JESUS,0,0,0
143,ISLA PUCU,0,0,1
144,SANTA ROSA DEL MBUTUY,5,2,1
145,VILLA DEL ROSARIO,0,0,3
146,3 DE FEBRERO,0,0,3
147,YUTY,0,0,3
148,YHU,0,0,3
149,TAVAI,0,0,3
150,FILADELFIA,0,0,2
151,MBOCAYATY DEL YHAGUY,0,0,3
152,SAN CARLOS,0,0,-1
153,JOSE FASSARDI,0,0,3
154,JUAN DE MENA,0,0,3
155,NUEVA GERMANIA,0,0,3
156,UNION,0,0,3
157,CARMEN DEL PARANA,0,0,3
158,PASO YOBAI,0,0,3
159,TACUARAS,0,0,3
160,YATAITY DEL NORTE,0,0,3
161,25 DE DICIEMBRE,0,0,3
162,SANTA MARIA,0,0,3
163,SANTIAGO,0,0,3
164,MCAL. FRANCISCO SOLANO LOPEZ,0,0,3
165,SAN JOSE OBRERO,0,0,3
166,ITURBE,0,0,2
167,JOSE FALCON,0,0,3
168,NATALICIO TALAVERA,0,0,3
169,ANTEQUERA,0,0,3
170,ITANARA,0,0,-1
171,SAN COSME Y DAMIAN,0,0,2
172,TEBICUARYMI,0,0,-1
173,ITAPUA POTY,0,0,3
174,MACIEL,0,0,3
175,SAN PATRICIO,0,0,3
176,LAURELES,0,0,3
177,BUENA VISTA,0,0,3
178,LIMA,0,0,3
179,HUMAITA,0,0,3
180,GENERAL DELGADO,0,0,3
