,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
0,CAACUPE,0,2,0
1,CAPIATA,3,0,0
2,CONCEPCION,0,5,0
3,FERNANDO DE LA MORA,4,4,0
4,HORQUETA,0,5,0
5,ITAUGUA,4,2,0
6,LAMBARE,3,0,0
7,LIMPIO,5,2,0
8,LUQUE,4,4,0
9,MARIANO ROQUE ALONSO,4,4,0
10,PARAGUARI,5,2,0
11,PEDRO JUAN CABALLERO,5,2,0
12,SAN ANTONIO,4,4,0
13,SAN LORENZO,4,4,0
14,VILLA ELISA,1,1,0
15,VILLETA,5,2,0
16,CARAPEGUA,0,5,0
17,CORPUS CHRISTI,0,5,1
18,GUARAMBARE,3,0,0
19,ITA,5,2,0
20,VILLARRICA,0,2,0
21,YPANE,3,0,0
22,AREGUA,3,0,0
23,EMBOSCADA,0,5,0
24,HERNANDARIAS,0,5,2
25,J A SALDIVAR,4,4,0
26,PIRAYU,0,5,0
27,CAAGUAZU,0,5,0
28,ACAHAY,0,5,3
29,ALTOS,5,2,0
30,BENJAMIN ACEVAL,0,5,0
31,CAMBYRETA,0,5,2
32,CORONEL OVIEDO,0,5,0
33,MBOCAYATY,0,5,3
34,NUEVA ITALIA,5,2,0
35,YPACARAI,2,3,0
36,ARROYOS Y ESTEROS,0,5,0
37,MAURICIO JOSE TROCHE,0,5,3
38,PIRIBEBUY,0,5,0
39,SANTA ROSA,0,5,2
40,TEBICUARY,5,2,0
41,YAGUARON,0,5,0
42,ENCARNACION,0,5,2
43,ITACURUBI DE LA CORDILLERA,0,5,0
44,LOMA GRANDE,5,2,0
45,PILAR,0,5,2
46,SAN JUAN BAUTISTA,0,5,0
47,ATYRA,0,5,0
48,AYOLAS,0,5,2
49,COLONIA INDEPENDENCIA,0,5,2
50,FELIX PEREZ CARDOZO,0,5,3
51,GUAYAIBI,0,5,0
52,ISLA PUCU,0,5,3
53,JOSE FASSARDI,0,5,5
54,NATALICIO TALAVERA,0,5,4
55,QUIINDY,0,5,1
56,SAN IGNACIO,0,5,2
57,SAN JOSE DE LOS ARROYOS,0,5,0
58,SAN PEDRO,0,5,2
59,SANTA ROSA DEL AGUARAY,0,5,0
60,VILLA DEL ROSARIO,0,5,2
61,YUTY,0,5,2
62,CECILIO BAEZ,0,5,3
63,LORETO,0,5,3
64,SIMON BOLIVAR,0,5,3
65,VILLA HAYES,4,4,0
66,YBY YAU,0,5,0
67,CURUGUATY,0,5,0
68,EUSEBIO AYALA,0,5,0
69,LIMA,0,5,5
70,NUEVA LONDRES,0,5,2
71,YATAITY DEL NORTE,0,5,0
72,YATYTAY,0,5,2
73,ALBERDI,0,5,0
74,BELEN,0,5,0
75,BELLA VISTA,1,1,0
76,CAPITAN BADO,0,5,2
77,CARAGUATAY,0,5,0
78,CHORE,0,5,0
79,CORONEL BOGADO,0,5,2
80,MBOCAYATY DEL YHAGUY,0,5,0
81,PASO YOBAI,0,5,2
82,SAPUCAI,0,5,0
83,TOBATI,0,5,0
84,FUERTE OLIMPO,0,5,4
85,NATALIO,0,5,2
86,REPATRIACION,0,5,0
87,SAN ESTANISLAO,0,5,0
88,FRAM,0,5,2
89,HOHENAU,0,5,2
90,SALTO DEL GUAIRA,0,2,0
91,SAN BERNARDINO,0,5,0
92,SAN PEDRO DEL PARANA,0,5,2
93,EDELIRA,0,5,2
94,FILADELFIA,0,5,4
95,MCAL. ESTIGARRIBIA,0,5,5
96,SAN CARLOS,0,5,-1
97,TACUATI,0,5,5
98,TOMAS ROMERO PEREIRA,0,5,3
99,YATAITY,0,5,4
100,CAPITAN MIRANDA,0,5,2
101,ESCOBAR,0,5,2
102,SAN LAZARO,0,5,4
103,SANTIAGO,0,5,2
104,UNION,0,5,1
105,VALENZUELA,0,5,2
106,HUMAITA,0,5,2
107,MINGA GUAZU,0,5,2
108,SAN ALBERTO,0,5,5
109,SAN COSME Y DAMIAN,0,5,2
110,SANTA ELENA,0,5,0
111,JOSE DOMINGO OCAMPOS,0,5,2
112,LOMA PLATA,0,5,2
113,SAN SALVADOR,0,5,1
114,ITAPE,0,5,5
115,ALTO VERA,0,5,2
116,BUENA VISTA,0,5,3
117,JUAN EULOGIO ESTIGARRIBIA,0,5,2
118,LA PALOMA,0,2,0
119,CARAYAO,0,5,0
120,SANTA ROSA DEL MBUTUY,0,5,4
121,CAPIIBARY,0,5,3
122,CAAZAPA,0,5,2
123,NUEVA GERMANIA,0,5,0
124,ITACURUBI DEL ROSARIO,0,5,2
125,ANTEQUERA,5,2,0
126,GENERAL MORINIGO,0,5,2
127,MACIEL,0,5,2
128,SAN JUAN NEPOMUCENO,0,5,2
129,25 DE DICIEMBRE,0,5,2
130,ABAI,0,5,2
131,AZOTEY,0,5,2
132,CARLOS ANTONIO LOPEZ,0,5,2
133,SAN JUAN DEL PARANA,0,5,2
134,SAN RAFAEL DEL PARANA,0,5,2
135,CERRITO,0,5,0
136,ITAKYRY,0,5,0
137,JUAN LEON MALLORQUIN,0,5,0
138,KATUETE,0,2,0
139,NANAWA,5,2,0
140,NUEVA COLOMBIA,0,5,0
141,SAN JOAQUIN,0,5,4
142,YGUAZU,0,5,0
143,YHU,0,5,2
144,ITURBE,0,5,2
145,SANTA RITA,0,5,2
146,GENERAL BRUGUEZ,5,2,0
147,JUAN E. OLEARY,0,5,2
148,YABEBYRY,0,5,2
149,NUEVA ESPERANZA,0,5,3
150,ZANJA PYTA,0,5,1
151,CAPITAN MEZA,0,5,2
152,OBLIGADO,0,5,2
153,SAN JOSE OBRERO,0,5,2
154,TEBICUARYMI,0,5,2
