,Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KlScore,ChangeIdx
0,ASUNCION,6.904494488474295,52.39361865572006,0.813519297314191,0.9139688646514743,0.03130957266500923,0.24085808760943606,0.06709029930569121,1.0,-0.01227879191838473,0.5978370007556204,9.14858360526249e-05,7.298135351280716e-10,0.07081410666434262,0.0016490202665476019,99.0,2.0,1e-10,1e-10
1,FERNANDO DE LA MORA,44.7816150676538,4841.264885319911,0.9371225968063115,0.9385528945680399,0.012482105645591919,0.6920016261287941,0.064756963877584,1e-07,-0.016415141852533392,0.1698907935538251,0.00016451071265916015,6.576119552399626e-10,0.2962770642026602,0.028006305141990942,26.0,8.0,1e-10,1e-10
2,PEDRO JUAN CABALLERO,44.81912961989436,10423.023812209225,0.9285754154592873,0.9460194414776578,0.009079386328835636,-0.538158676928769,0.027283531799212613,1e-07,-0.012037736275951347,0.13177959789470292,0.0009890734121059282,4.152088086669582e-09,0.14310128458889204,0.00574142782562307,57.0,4.0,1e-10,1e-10
3,YBY YAU,18.306890669018784,827.3700705327514,0.7051710402998819,0.8409935014866445,0.005187992034116816,-0.3956268070087814,0.058162280332768046,1.0,-0.018874835182986847,0.5381565174829619,0.0008619019422543361,5.402215445986788e-09,0.034853471869061736,0.001234532030742815,120.0,5.0,1e-10,1e-10
4,YPANE,59.67684690499759,11917.26964200588,0.9103048739625795,0.9487122658064145,0.009121005037625533,-0.20478562631640396,0.00783027347810139,1e-07,-0.005763335955489541,0.1524749927432804,9.808565486520001e-05,1.7153441829587601e-09,0.23607498643275154,0.01887286592220143,80.0,8.0,1e-10,1e-10
5,CAPIATA,49.59497677037321,13835.529163643805,0.9257310188669043,0.965572066201223,0.011158019853341047,1.0585980625880018,0.008990857277829,1e-07,-0.004016349241943267,0.0883160387420155,1.7788567537640507e-05,7.742242299625509e-10,0.3660778521420594,0.04559226044488507,77.0,8.0,1e-10,1e-10
6,CAPITAN BADO,8.787959663885617,26.65841712148504,0.020324743296626296,0.4998286516595888,0.015704200779434487,0.10514394420925886,0.04549556245308817,1.0,-0.014766376076524689,0.9315582040049435,0.000979087193091956,1.5283501417904572e-08,0.06615454054700998,0.0027935208980317,52.0,4.0,1e-10,1e-10
7,HORQUETA,15.118765788119084,283.64695311054453,0.7357731371688068,0.7980864422840871,0.012703826547467958,-0.7522678636899658,0.013723542829750857,3.0,-0.006970642052852656,0.80496567177172,0.0002310076617251589,3.4948959654577974e-09,0.11937561179450884,0.007914088221716471,52.0,6.0,1e-10,1e-10
8,BELEN,23.805158423285587,507.0622144071085,0.19781633503425564,0.569182251359692,0.005601020635940626,-0.7840627712687926,0.022912340881145465,1e-07,-0.021460672644146157,1.024001424876935,0.0008140297013593945,2.784805285737175e-08,0.09193667636887376,0.003203545995560963,142.0,10.0,1e-10,1e-10
9,CECILIO BAEZ,35.14678819622797,1650.3306772967576,0.3924063003051627,0.6768206935004255,0.0032825712987561845,-0.34361783089474285,0.02789131484688645,1e-07,-0.010436338972201819,1.0216512475319814,0.0004998387784046971,1.2056465605661146e-08,0.03803449390569581,0.0005897202064485993,170.0,2.0,1e-10,1e-10
