,Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KlScore,ChangeIdx
0,ASUNCION,6.904494488474295,52.39361865572006,0.813519297314191,0.917253380675289,0.008598760769797709,-1.0651746859554492,0.05229216464905062,1.0,-0.021335459987399608,0.5978370007556204,0.00034033598308545,1.7422489105839175e-08,0.25543478260879404,0.031212805433056313,77.0,6.0,1e-10,1e-10
1,FERNANDO DE LA MORA,12.90774504188879,398.07324951724905,0.9061211484552153,0.9529877646455042,0.01032227337615637,-0.6325568558886832,0.15110313657647756,1.0,-0.019272598391871253,0.34065488475454864,0.0002940085548211821,3.423245625580086e-09,0.21906040920025865,0.028937541245844044,37.0,6.0,1e-10,1e-10
2,PEDRO JUAN CABALLERO,48.073369396172545,14948.608169197554,0.9328577844689895,0.9634201255892367,0.006952196005806738,-0.27609006434207634,0.04662411728315774,1e-07,-0.01307624429829736,0.0926962012266486,0.0007025693105637208,3.732556933158066e-09,0.06605677143158457,0.003053289167584528,49.0,2.0,1e-10,1e-10
3,YBY YAU,15.419862284965635,679.7604569998064,0.5945889781048227,0.867434824723033,0.004556504319635016,-0.5680451763521853,0.061239145729554134,1.0,-0.021933347851851605,0.6560076336104885,0.0010250233658458683,2.280610607690041e-08,0.03835186632781272,0.0013872314419578378,66.0,3.0,1e-10,1e-10
4,YPANE,9.014653331697113,56.388333958805546,0.4930770545018521,0.7819037593613742,0.013247532828002707,-1.4350578360685713,0.00826185340070873,1.0,-0.014535841718745513,1.9095425048844386,0.0022868151485321096,8.656250050636152e-08,0.16666666666655608,0.02767242538218507,57.0,8.0,1e-10,1e-10
5,CAPIATA,4.550782402678497,25.164890215684846,0.812344269632672,0.9003978812698695,0.015778671597490485,-1.0554709141386034,0.048818442327562606,3.0,-0.020560507539279984,0.48550781578170077,9.921542841907743e-05,2.2645134969044627e-08,0.3051673918331017,0.023809523809546738,36.0,10.0,1e-10,1e-10
6,CAPITAN BADO,9.85162534545991,35.53158084158522,-0.01703624413412788,0.7795509529386946,0.006309571660806236,-0.8756885130019758,0.023688327744822657,1e-07,-0.023109115121326344,1.3862943611198906,0.0012684254724838462,1.157794964548323e-07,0.2487331776980949,0.020552768281814366,85.0,6.0,1e-10,1e-10
7,HORQUETA,14.35675995726919,264.80287359151174,0.676679480930503,0.8239114757302725,0.01422836609250205,-1.1309554003615498,0.04565939521040996,2.0,-0.02700517505329556,0.9188847670512018,0.00041046579613768865,1.986551633646297e-08,0.2444422914318249,0.023078827885461423,29.0,8.0,1e-10,1e-10
8,BELEN,24.69738253337834,455.52485353428995,0.2501907349569827,0.6921520877925127,0.010484571287870465,-1.2592623694449545,0.09582636245037268,1e-07,-0.04894985561892697,1.749199854809259,0.0029790476703910815,1.8304404988125657e-07,0.2152583951154585,0.0138693317916911,71.0,8.0,1e-10,1e-10
9,CECILIO BAEZ,53.88339276074507,2539.9200506281963,0.19816778016849534,0.7199469423119975,0.004317231028290862,-0.6022524556165068,0.09240103439969838,1e-07,-0.024210131185234372,1e-08,0.0015268867962028325,1.1247222577348529e-07,0.08333333333327718,0.0023148148148116944,87.0,4.0,1e-10,1e-10
10,CONCEPCION,49.10119564753869,5778.773146476101,0.8474287306726501,0.8957220272764704,0.012977649483282049,-0.6330302197809985,0.04282825526191458,1e-07,-0.017545564109590905,0.29675536865745566,0.0008630573668339448,5.2379115775172104e-08,0.23364358487662287,0.020622888254758727,30.0,4.0,1e-10,1e-10
11,LAMBARE,9.413712666950566,156.41810436853626,0.8493340680139466,0.8924756733366004,0.015178523812053259,-0.042249859353288746,0.06607747932097219,2.0,-0.023637535884694028,0.45787885079220453,0.00037494024467692785,1.7700409517469862e-08,0.21554753391886258,0.02208161157025574,24.0,6.0,1e-10,1e-10
12,BELLA VISTA,49.95658159153737,3137.3438408215243,0.4686971385768104,0.7413018177268111,0.0072936937041956,-0.7811624090414333,0.028931923165061657,1e-07,-0.017806694270706407,0.8250747236024933,0.0006558209021588262,6.657867970722859e-08,0.09507472732767702,0.005174990345866801,61.0,4.0,1e-10,1e-10
13,HERNANDARIAS,20.379104062369613,1217.0805768508535,0.886280887039658,0.9352590800194469,0.009495938607284763,-0.5830237480506393,0.026508171231998,1.0,-0.013521949455551397,0.2988266370048461,6.945471641261886e-06,4.986524039669579e-09,0.19613610989759056,0.018494050585877147,33.0,4.0,1e-10,1e-10
14,ITAKYRY,4.79015459351004,5.732325647781315,0.19917813996548153,0.8270280930121144,0.012000305701784798,-1.5336508038070344,0.02197913250647876,1.0,-0.015429267276135946,0.5108256237659907,0.0025126637275715226,9.574295377587854e-08,0.3255181995559151,0.03532069941404151,77.0,8.0,1e-10,1e-10
15,ITAUGUA,5.508623070509026,21.387896729286428,0.4493993326223367,0.807157903135949,0.016084357887284954,-1.6594906036557133,0.01225311154725195,1.0,-0.011092860336817108,3.1780538303479458,0.0015117498437792816,9.953775052122906e-08,0.28846153846171824,0.04292703283096195,57.0,12.0,1e-10,1e-10
16,CORONEL OVIEDO,11.008477827915844,94.82953653410878,0.7113388061429604,0.8789135747864256,0.01793630315003563,-1.2281458590032768,0.1551012178818031,1.0,-0.059436789029508705,0.5130957723005298,0.0008974871922042942,3.4229591404059625e-08,0.302690900195146,0.03492681352524002,39.0,10.0,1e-10,1e-10
17,LOMA PLATA,7.265329845975008,1e-07,1e-08,0.984195650610884,0.00015819427453997166,-0.023383334223869925,0.03147163120567398,1e-07,-0.00390625,1e-08,1e-07,2.3017851392877177e-10,1e-07,1e-07,98.0,0.0,1e-10,1e-10
18,LUQUE,4.615539668509322,47.43506095679845,0.8547399377200456,0.9177424282247152,0.011984511940932262,-0.39993393819113654,0.017401922935781244,4.0,-0.011094751548797079,0.3738986421403298,0.002025113917705224,2.285289367027881e-08,0.211538461538538,0.025483234714022356,30.0,4.0,1e-10,1e-10
19,MCAL. ESTIGARRIBIA,4.680061974505987,2.0266849693089273,-0.22974024134689108,0.8805907187505002,0.003705266372156736,-0.5341096373273273,0.04981682951514521,1e-07,-0.01320376951747947,0.6931471805599453,0.0024956597222222225,3.7640020083416583e-08,1e-07,1e-07,92.0,2.0,1e-10,1e-10
20,MINGA GUAZU,7.482621249322881,70.24092092055889,0.6285397131115695,0.8018266142656056,0.012802251625247354,-0.975954516689282,0.03964959470117846,2.0,-0.03094621744630121,0.5518336474933678,0.0006860236908512973,5.537749075776097e-08,0.28125000000008027,0.0364583333333542,44.0,8.0,1e-10,1e-10
21,PIRAYU,24.530438316968166,483.734995546461,0.40376471801595976,0.7532361027658736,0.009516155729867595,-1.170909143632959,0.05902428891792144,1e-07,-0.04056298826212023,1.9459101490553135,0.001999198209226271,1.7040449341767873e-07,0.16666666666658403,0.006365740740732696,75.0,6.0,1e-10,1e-10
22,SAN ALBERTO,35.15468979801677,816.4824551660619,0.6653409319690752,0.9139543579785353,0.005758548444342015,-0.8186995813284366,0.04105093930014991,1e-07,-0.011975632082408632,1e-08,0.00039020800250163645,1.2376326696563808e-08,0.0908730673351601,0.0027548209366328085,85.0,3.0,1e-10,1e-10
23,VILLA ELISA,10.477011509791764,196.11174304613343,0.8645803349189465,0.9288245196824633,0.008799826568729957,-0.7530525342765786,0.011188522922827904,1.0,-0.008497706582019766,0.7884573603642702,0.00015427088581380246,6.195450592167242e-09,0.11931818181820011,0.01364497245179482,48.0,4.0,1e-10,1e-10
24,YAGUARON,7.2119247031424365,45.0078437897931,0.23208388310049993,0.6761648454652672,0.007755077919257097,-0.8474655956082524,0.010371977828989243,2.0,-0.013816444682123665,0.9214058325409255,0.00034911810598359325,1.2900532850315238e-07,0.10000000000002984,0.0033887080648281314,69.0,4.0,1e-10,1e-10
25,YPACARAI,42.73627393274179,2337.875959231617,0.5722717055333337,0.8063755251052703,0.006152179256434961,-0.7907882297018527,0.044897294324993564,1e-07,-0.011479177507072419,0.8522118751896327,0.0014446111557848773,4.575515344163893e-08,0.07098019982168,0.0030666617330561783,69.0,2.0,1e-10,1e-10
26,CAACUPE,6.931040470011793,65.10077193798018,0.8463754246173069,0.9260609729996664,0.01327832458511266,-0.8211933068525504,0.07259144683658902,2.0,-0.02265576824777874,1.0001722158548572,0.000238003433684905,1.53662053824355e-08,0.11666666666670597,0.010240620867503167,41.0,4.0,1e-10,1e-10
27,EMBOSCADA,9.151492511499077,19.175958912126184,0.4073961260958263,0.9161210049692792,0.012565408664073676,-1.6043267195856772,0.08438636976794256,1e-07,-0.023019677608961703,0.3690974639372896,0.0005691625360510049,2.6242997730983525e-08,0.33333333333297743,0.03703703703695795,75.0,4.0,1e-10,1e-10
28,ITA,8.043433779060305,64.20856240049129,0.5227618954549641,0.777002711787588,0.0118578331505932,-1.2810959937876816,0.055856588698960596,1e-07,-0.02850144407397906,0.6684545679695739,0.0028238092288137974,1.4597972751071772e-07,0.15789473684198388,0.022854412103553254,62.0,6.0,1e-10,1e-10
29,LIMPIO,6.955435057770192,106.37932316403,0.8508661740377739,0.9214574230774663,0.009717527677223555,-0.29958130940952715,0.017496361974524977,2.0,-0.01118518789516694,0.5938289793580817,0.002302355848538366,8.406486763058756e-09,0.13236048315291893,0.00977901615904177,40.0,2.0,1e-10,1e-10
30,MARIANO ROQUE ALONSO,25.31589707769991,2221.4484307527846,0.9187518243231988,0.9536862049908932,0.008517389014342087,0.2855790510151335,0.035361145302532426,1.0,-0.009684197181859347,0.26043243000440547,6.464247503035763e-05,5.197329917074921e-09,0.09258035710646687,0.0028908170787773414,25.0,2.0,1e-10,1e-10
31,SAN LORENZO,9.616703958544527,159.8928839897663,0.87319804454654,0.9347512303507526,0.011202132303847553,-0.41554958183106877,0.04132680099902197,3.0,-0.012495498899874228,0.3061668871258839,0.0001461128178129608,1.1266787007343366e-08,0.23335190759850716,0.021255519227642287,31.0,4.0,1e-10,1e-10
32,VILLETA,5.690140747729991,10.188744871613638,0.4026597543733731,0.8704097047780728,0.012714726381863273,-1.5633427371730337,0.00424954259037047,1.0,-0.005945884727225233,0.7435780341868373,0.0014262478068414325,4.042282423427356e-08,0.295141097452073,0.05504358613308139,71.0,6.0,1e-10,1e-10
33,GUARAMBARE,13.07043894307502,134.61676291082085,0.23032814928692258,0.7485547916094613,0.007366323374683743,-0.9487490980980416,0.13520292264777056,1e-07,-0.02369300035885961,1e-08,0.00017905403922333261,8.519297151827114e-08,0.1060863840214945,0.006944444444428964,76.0,6.0,1e-10,1e-10
34,J A SALDIVAR,6.986879635494501,41.893047833072075,0.3822838162918038,0.7426519671641714,0.010031354819311554,-1.069987355183279,0.0033850469702474406,1.0,-0.006143703823664302,1.6094379124341003,0.0019160542182208177,1.2092983943511702e-07,0.21153846153835598,0.01775147928995384,63.0,8.0,1e-10,1e-10
35,SAN JOSE DE LOS ARROYOS,14.744403449935184,180.43513937396978,0.5294954766488784,0.8347203838550775,0.004867181017633343,-0.6724996495606929,0.016406610397526222,1e-07,-0.014207896765581039,1.9459101490553135,0.0033144928842154474,4.071105590660958e-08,0.12499999999979983,0.005208333333316653,86.0,2.0,1e-10,1e-10
36,CAAGUAZU,2.1763851657418236,2.8491717363059115,0.31921249938173696,0.7116562831437603,0.011533014437115761,-1.0149897075465772,0.034710750306905624,9.0,-0.025635979312142426,1.2750687260096663,0.0012064698315521559,6.519680341635693e-08,0.13593908930067544,0.008415166777868785,50.0,4.0,1e-10,1e-10
37,JUAN LEON MALLORQUIN,7.166320844487743,14.616508078408328,-0.010707762242480283,0.7818907688904753,0.005292833133055105,-0.742151342393478,0.07013085706557776,1e-07,-0.025231672407792085,0.8266785731844679,0.003270424933716855,9.81909032421969e-08,0.16431695855059747,0.03600008382309169,88.0,4.0,1e-10,1e-10
38,LORETO,45.06270231067282,3039.0381271106694,0.6736984761605836,0.8362319889964482,0.009560663970978536,-0.8598273945677363,0.07455922615107813,1e-07,-0.030052123928227238,0.4700036292457356,0.0006474901208015007,3.362681339275988e-08,0.20927054471115308,0.01627005588606589,58.0,6.0,1e-10,1e-10
39,NUEVA ITALIA,14.27477283144348,31.92293901179136,-0.23833445239816195,0.8644832413115026,0.008827063818147636,-1.197760922357554,0.02370995393197972,1e-07,-0.017215727391749407,1.0986122886681098,0.0006115934526843184,4.849215146301495e-08,0.3333333333330908,0.037037037036983106,82.0,9.0,1e-10,1e-10
40,VILLA HAYES,16.45213455033257,693.644610162676,0.8860079123325468,0.9315387971864703,0.008317037240168045,-0.29652721547387323,0.015982821621648102,1.0,-0.008713761934616657,0.2844300370654036,3.819638520114862e-05,8.185380622805723e-09,0.12019230769231803,0.0058882752694931545,46.0,2.0,1e-10,1e-10
41,ACAHAY,13.053600585401892,80.68318433430973,0.248984791405918,0.840240617260595,0.003725041804839206,-0.5279121834109005,0.02932259853515129,1e-07,-0.011492326884771184,1e-08,0.0005773802653462712,4.4557709600597087e-08,1e-07,1e-07,89.0,2.0,1e-10,1e-10
42,CARAPEGUA,8.410315677836804,44.05614726810456,0.5462231140108063,0.8602033556662237,0.009362175815179917,-1.1467607720684194,0.03226788275584502,1.0,-0.02213562978704331,0.6931471805599453,0.0004742764574406093,3.7546938319184724e-08,0.18749999999964728,0.010416666666639532,75.0,6.0,1e-10,1e-10
43,CHORE,13.893323832145544,96.26886793766243,-0.19348731453474946,0.7593157052770212,0.0050668693486289945,-0.703836999363029,0.0615832883688433,1e-07,-0.026439430124983797,0.916290731874155,0.0012431431497832962,6.911843220187159e-08,0.16666666666646654,0.009259259259237021,85.0,4.0,1e-10,1e-10
