Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KlScore,ChangeIdx
ASUNCION,6.904494488474295,52.39361865572006,0.813519297314191,0.922998772513809,0.00308179644894221,-0.8632622301820294,0.02577979326572688,1.0,-0.0104946591697512,0.5978370007556204,0.00017727152767701277,2.497263121974617e-09,0.010869565217010426,5.250997689286023e-05,172.0,6.0,1e-10,1e-10
FERNANDO DE LA MORA,44.7816150676538,4841.264885319911,0.9371225968063115,0.9583345676468635,0.007501270599959189,0.39151123124494147,0.046909451001700075,1e-07,-0.01090326490526029,0.1698907935538251,7.906014731097882e-05,5.201406812407101e-10,0.18131557883568805,0.010063630834209799,49.0,10.0,1e-10,1e-10
PEDRO JUAN CABALLERO,44.81912961989436,10423.023812209225,0.9285754154592873,0.9628528536657734,0.0041861456001662176,-0.3612886219523047,0.010941943537820964,1e-07,-0.004989162605726759,0.13177959789470292,0.00036060453571985546,5.397935630521834e-10,0.06596209912536544,0.003044543515032092,58.0,2.0,1e-10,1e-10
YBY YAU,18.306890669018784,827.3700705327514,0.7051710402998819,0.8791859354139586,0.003470071271473493,-0.6774425774677812,0.04920487979618504,1.0,-0.018948842012500803,0.5381565174829619,0.00037567185392403175,3.5763451178978372e-09,0.04999999999998582,0.002083333333335395,120.0,3.0,1e-10,1e-10
YPANE,59.67684690499759,11917.26964200588,0.9103048739625795,0.9403256680989287,0.005569205073239869,-0.1540816852659525,0.019642480994282008,1e-07,-0.005024014451373803,0.1524749927432804,8.255672184615253e-05,1.4057104570865397e-09,0.12345921746044113,0.007082626015094203,84.0,4.0,1e-10,1e-10
CAPIATA,49.59497677037321,13835.529163643805,0.9257310188669043,0.9428995105283032,0.004111496469666371,0.4248614580065724,0.02830953674638026,1e-07,-0.008636234913324065,0.0883160387420155,7.244646943940101e-05,1.165179807361034e-09,0.06195843556534287,0.001403477129740267,79.0,4.0,1e-10,1e-10
CAPITAN BADO,8.787959663885617,26.65841712148504,0.020324743296626296,0.7926476384881053,0.0040826583894647914,-1.1493657261236507,0.030983314511971227,1.0,-0.01685594134445874,0.9315582040049435,0.000839001420956611,1.7989735400170928e-08,0.24395574743624754,0.019838135569059407,166.0,10.0,1e-10,1e-10
HORQUETA,15.118765788119084,283.64695311054453,0.7357731371688068,0.8504773482011376,0.009584638753250992,-1.426465739089207,0.022532500068491945,3.0,-0.00950697895110513,0.80496567177172,0.00038998821441540266,6.5518896262002685e-09,0.3214253394637431,0.031875312713415004,74.0,16.0,1e-10,1e-10
BELEN,23.805158423285587,507.0622144071085,0.19781633503425564,0.6492383737459959,0.004621346566815914,-1.1536719693409558,0.02908921602146919,1e-07,-0.025719689399714363,1.024001424876935,0.001070077936705909,2.9417801154453005e-08,0.10250373060779078,0.006724489464654085,142.0,10.0,1e-10,1e-10
CECILIO BAEZ,35.14678819622797,1650.3306772967576,0.3924063003051627,0.7203913734382759,0.001986813300371766,-0.5764946454100289,0.038283078142425486,1e-07,-0.012294674186744339,1.0216512475319814,0.0007963050636597886,1.7977733810113122e-08,0.08159121171765343,0.0022190419431849834,170.0,4.0,1e-10,1e-10
CONCEPCION,37.633134896282954,3709.3719406942873,0.8467197732046218,0.898497578312777,0.006638865957329964,-0.9631488923677833,0.031350237701560535,1e-07,-0.012006231898767868,0.27824114068410954,0.00046589708863802455,7.34308677116527e-09,0.15037882224040686,0.009393475179114503,55.0,4.0,1e-10,1e-10
LAMBARE,46.06408894290325,9098.87983956852,0.9259305273493615,0.9445375835453695,0.00527775711680158,0.8288497113153034,0.03415028922213459,1e-07,-0.00923811769103302,0.10508916655125634,0.00013689792261309907,1.3429883265880143e-09,0.09057001515262583,0.004272345326589337,101.0,6.0,1e-10,1e-10
BELLA VISTA,85.05546764767195,21525.09684933325,0.795696622385534,0.879600360914563,0.003210081408337483,-0.5789489249655239,0.02814381212925987,1e-07,-0.007962072070816282,0.5139250285052778,0.0005689365838839323,3.2662228867795156e-09,0.0389341710930806,0.000867843136067495,125.0,2.0,1e-10,1e-10
HERNANDARIAS,15.277592311121593,893.8250090859783,0.8905446790377214,0.9402029212917737,0.003959979775971503,-0.8264119722542125,0.012754699351870347,3.0,-0.00680877233225813,0.269926085819154,4.166111233897716e-06,7.052585443371976e-10,0.07492840153391099,0.002538087095713745,128.0,4.0,1e-10,1e-10
ITAKYRY,6.252406836512147,83.00885403668907,-0.018599181130303524,0.4527019486819094,0.001513303725675436,-0.39385526249042124,0.02372021499617194,1.0,-0.007274375284381356,0.7014459833746404,0.0016637746095921567,3.1093420051767895e-08,0.04999999999983783,0.0008333333333279271,164.0,2.0,1e-10,1e-10
ITAUGUA,32.53261916112249,4386.911608083207,0.8471604298923862,0.8885770277665258,0.00341501090324989,-0.06681875287776867,0.05903356283771943,2.0,-0.01226257989638802,0.15275536026301986,0.0006617371748091943,3.348690132376199e-09,0.07640083260719745,0.0016032490827346652,80.0,4.0,1e-10,1e-10
CORONEL OVIEDO,10.464480412476068,157.29251347522882,0.8497854117937427,0.927605789571873,0.0065954205904065555,-0.8517952436914084,0.0826497076001671,4.0,-0.018946944314744127,0.40742397259349744,0.00021349416166740502,8.790073455678834e-10,0.16860761027334226,0.010837137450911104,86.0,6.0,1e-10,1e-10
LOMA PLATA,8.490013180503512,8.446755587949523,0.03308655529798803,0.8983122279983624,0.002441615066547522,-0.7350892507385121,0.023018271199402474,1e-07,-0.009503356676401481,1.5040773967762742,0.00040089378291536403,4.5795963039667734e-09,1e-07,1e-07,183.0,5.0,1e-10,1e-10
LUQUE,36.008476399680625,5016.280976362708,0.9005793835020991,0.9165476036959729,0.005396158934840623,0.5398380074199145,0.04444702499065878,1.0,-0.010165540234496524,0.11595988109486834,6.26632513730571e-05,2.562072921496307e-09,0.10387488328665041,0.004071979857999389,82.0,10.0,1e-10,1e-10
MCAL. ESTIGARRIBIA,6.753023393381322,25.337068377970187,0.1632690164152971,0.7674966585791932,0.002577600506922232,-0.726278375200967,0.015607504785417281,1.0,-0.010082746533882494,0.7221347174331976,0.0003321719136650308,9.63236893188794e-09,0.1666666666663033,0.009259259259218887,171.0,2.0,1e-10,1e-10
MINGA GUAZU,6.040492576945059,56.33081092420297,0.6573411469963544,0.8239555295473835,0.005448438040263394,-1.2060737177788554,0.025829420696634298,3.0,-0.017252047481431984,0.5070803010358287,0.00037458624627251794,8.111376060032843e-09,0.12500000000003575,0.00868055555556052,122.0,8.0,1e-10,1e-10
PIRAYU,24.23774636600347,526.0997036249656,0.5170409034371631,0.7902543375148212,0.005507635481841015,-1.1757925643520162,0.042116786196848444,1.0,-0.017379005936524472,0.8183103235139514,0.00040312796921174177,8.164939499118195e-09,0.1546805367783413,0.009637188208618353,128.0,8.0,1e-10,1e-10
SAN ALBERTO,27.248615047289576,680.7057885889268,0.7261804386548639,0.9167301279487245,0.0023040572272914743,-0.6857873067265006,0.02531032239687714,1e-07,-0.007028133021871862,1.0296194171811581,0.0002056441997470655,1.827445192657268e-09,0.022691249153419985,0.0020595711525703327,175.0,3.0,1e-10,1e-10
VILLA ELISA,81.68557296301,25418.941689314386,0.8809907483562595,0.9136446386093883,0.005358969629800997,0.07900709995312587,0.001388009565387538,1e-07,-0.0029221716125829842,0.11332868530700312,0.001055639015868736,3.524496995692601e-09,0.13386646587336348,0.009147517323722801,71.0,8.0,1e-10,1e-10
YAGUARON,16.718993171387524,586.3780747557452,0.6842789754485591,0.8218655041790721,0.0032030589111463944,-0.5057901734952206,0.01353911945933306,1.0,-0.007505419289688443,0.5245244681241525,0.0006736992805083264,5.405566517943716e-09,0.07608695652174413,0.0016146817895402225,121.0,4.0,1e-10,1e-10
YPACARAI,134.4797907955767,65668.85803550134,0.8942712199000128,0.9373645196986475,0.003308009674005977,-0.41607686169840785,0.0293003222431365,1e-07,-0.008055436123678988,0.24281031827460542,8.606223020602279e-05,1.8282909773638262e-09,0.06000187190865125,0.0017729989419200112,114.0,2.0,1e-10,1e-10
CAACUPE,19.979874184441755,959.2943307086204,0.8433666562789119,0.8996920055160054,0.0054548338977363445,-0.25387105027097073,0.01285010642144846,2.0,-0.008648135693394107,0.20852619540246,0.0002555943073770339,3.8683167183918194e-09,0.131681981473792,0.005579855411697769,72.0,6.0,1e-10,1e-10
EMBOSCADA,14.014338872835737,127.20158301798772,0.4754295839063141,0.8278066093652809,0.005846690788455217,-1.3233449962704573,0.020470401170945896,1.0,-0.011011204515497265,0.7123785424878329,0.00041231895009697137,8.819931966088345e-09,0.16666666666651087,0.012345679012329497,135.0,8.0,1e-10,1e-10
