,Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KlScore,ChangeIdx
0,CAACUPE,30.79176497639799,1442.2180175385793,0.8156804110567838,0.8882997321236835,0.011684972655455875,-0.7298541945986589,0.030543603373311745,1e-07,-0.019223219272196213,0.4980458971195917,0.00010603592272241964,2.372002639394495e-08,0.19602272727273887,0.015495867768596882,40.0,6.0,1e-10,1e-10
1,CAPIATA,79.77021377397449,20817.368245870286,0.9191889185429502,0.9357437669023149,0.00986583443068442,0.2824621302837862,0.0485731096691735,1e-07,-0.015371653575928748,0.17060443310620085,0.0003820084705365677,6.886434133115153e-09,0.2423389618511602,0.014883474831766087,35.0,4.0,1e-10,1e-10
2,CONCEPCION,22.863662716635396,656.7195114715503,0.7703362526051685,0.8582517974586643,0.012862733375443542,-1.2054016563835752,0.05006789074532303,1e-07,-0.016317760878071574,0.40736805825425043,0.0006831052133630376,1.7326052888431036e-08,0.2500000000000219,0.015151515151517853,48.0,8.0,1e-10,1e-10
3,FERNANDO DE LA MORA,65.92870191167097,6667.912864210807,0.9281097377831652,0.9490922222300815,0.016443757723656725,-0.014661940173756884,0.05139222087460249,1e-07,-0.016430742537277387,0.213201822574581,0.0001056129193867955,3.1237682571097118e-09,0.34813876891120854,0.03211781726286999,28.0,10.0,1e-10,1e-10
4,HORQUETA,16.081299469192643,305.79007355949113,0.8351115387561312,0.9196234621460939,0.013560133504112185,-1.704198929180487,0.10931040918080948,1.0,-0.027727395552007435,0.49513429397131514,0.0006101401204449227,2.3762550842352244e-08,0.20945945945949193,0.01728755782810372,49.0,7.0,1e-10,1e-10
5,ITAUGUA,44.91861736932032,5899.644523683589,0.8358979772084031,0.8783002172665434,0.008254887946647874,-0.005049322168999749,0.10819221407823654,1e-07,-0.023108649347755788,0.2141699538759135,0.0011880288273450298,1.920786535767852e-08,0.1151053493040978,0.003225800765657176,34.0,4.0,1e-10,1e-10
6,LAMBARE,78.44451846825953,14764.25423028144,0.916528851732402,0.9368461825389361,0.011789453211428698,0.3110835568870063,0.05217166400591111,1e-07,-0.015620821224406122,0.23176983220793584,6.044178486301098e-05,8.03443351317374e-09,0.23193069306931063,0.017019920380314697,32.0,6.0,1e-10,1e-10
7,LIMPIO,35.630967537132406,3204.978900024717,0.8739134425865248,0.9008561698142387,0.011460890082902934,0.21885468737024633,0.02283555842083873,1e-07,-0.008694530581569602,0.19450818912323797,0.0003366780559220015,1.6992473818475194e-08,0.17279411764706482,0.008357837222318953,34.0,2.0,1e-10,1e-10
8,LUQUE,58.25783932565641,7344.383224122738,0.8850126237978657,0.9027217025372269,0.012792690883302846,0.1710022204333192,0.08065840489631482,1e-07,-0.018056719318713804,0.22122232113631587,0.000662513575681188,1.4211965277262624e-08,0.23817992680016842,0.018846726222105335,30.0,10.0,1e-10,1e-10
9,MARIANO ROQUE ALONSO,57.587348513502356,8244.107175152125,0.8905184955033021,0.9192937623910872,0.01431075675424771,0.3309997336943049,0.07599125392150707,1e-07,-0.033060848280258084,0.18869825797333914,0.00026291367891893185,1.5379759761187973e-08,0.31686930091186283,0.028463490421068192,32.0,8.0,1e-10,1e-10
10,PARAGUARI,35.65991670025785,2189.7761283213667,0.8562073396001729,0.9189240766972598,0.006992468309098819,-0.572034930046617,0.11498126365302708,1e-07,-0.020994157898186525,0.4769240720903093,0.00014772923345799448,9.564217353681843e-09,0.13207547169811917,0.006496974012104547,63.0,4.0,1e-10,1e-10
11,PEDRO JUAN CABALLERO,39.785227465964084,3380.7888144783365,0.9243993370055514,0.9609668286973415,0.009963095972180317,-0.6158357660979775,0.04188028523276721,1e-07,-0.014695418601242231,0.24686007793152578,5.422829554397906e-05,3.590829250848311e-09,0.1834398123258961,0.010433741874832873,52.0,2.0,1e-10,1e-10
12,SAN ANTONIO,68.13016941091047,7851.036413772321,0.8164671517742895,0.8649557121900668,0.012196112216154763,-0.22217277217621792,0.03845973059307306,1e-07,-0.014760443341951587,0.3282370086181989,0.0001149821241061072,3.106004482801117e-08,0.17501807901029948,0.008479495195070746,30.0,6.0,1e-10,1e-10
13,SAN LORENZO,59.8375857412652,7876.341303221466,0.9345315047676713,0.9429846500633332,0.015258024949955477,0.4585675308634803,0.03033753335311873,1e-07,-0.009386750616740987,0.23098101055211628,0.0003472557894749074,7.898300897124155e-09,0.3772030479130789,0.04503652196361625,31.0,4.0,1e-10,1e-10
14,VILLA ELISA,120.52660648294722,34902.4089255256,0.8668110006575287,0.8979287916140556,0.012961438649763811,-0.08589898453525033,0.0027414318918556058,1e-07,-0.005619053389399711,0.14968715310337172,6.88651398687005e-05,2.2452550263385485e-08,0.2905517964521022,0.027604695128246936,35.0,8.0,1e-10,1e-10
15,VILLETA,38.98976676635227,2752.6118889433014,0.8118395474322956,0.8844356243795896,0.007977922113165585,-0.4563358640453629,0.03461221263491665,1e-07,-0.0076738487175588895,0.31355416227737626,0.00016001888763707636,1.7095782982949124e-08,0.18638008160990105,0.012961821957670653,53.0,2.0,1e-10,1e-10
16,CARAPEGUA,18.803978836478656,459.7517174232521,0.6805924141176063,0.8503125422999631,0.007090800287313514,-0.6881923254307988,0.05302015525386039,1e-07,-0.021850381497380805,0.9894129967031177,0.00011891540852223946,2.2529033522719546e-08,0.13888888888887804,0.004886831275724736,66.0,4.0,1e-10,1e-10
17,CORPUS CHRISTI,18.920749863838513,133.96997675442367,0.22425178189493913,0.799194004879751,0.0040122290424666335,-0.5961835547943592,0.014669495068015959,1e-07,-0.008997637547251743,1.6094379124341003,0.0005775147928997528,4.705251478038551e-08,1e-07,1e-07,93.0,2.0,1e-10,1e-10
18,GUARAMBARE,70.11332597805158,15173.740353568317,0.9284472935118496,0.952826799554805,0.007789275875276325,-0.44296669334161765,0.03522815080125308,1e-07,-0.009768088877935292,0.15961218985278033,3.0403665432254753e-05,5.56648148412722e-09,0.21987951807229306,0.013569337591329646,57.0,4.0,1e-10,1e-10
19,ITA,38.661854650431515,4034.7634773479485,0.8510034582568644,0.8844348875351373,0.008498241461704642,-0.17972162302930617,0.07524119385999539,1e-07,-0.01580487396305431,0.17684771486765494,0.0007246334543727667,1.982847270619228e-08,0.1796049821297646,0.0137222820940493,48.0,4.0,1e-10,1e-10
20,VILLARRICA,28.612185758010725,1183.6705528297077,0.8012723441030052,0.8915553011334933,0.009891821108469095,-1.0048190204670067,0.04250678849429901,1e-07,-0.018957195662891183,0.24005402346252627,0.0008254572176281263,5.783703875078473e-08,0.24991277984380297,0.013683413677029688,68.0,6.0,1e-10,1e-10
21,YPANE,81.84155659331653,15492.2180459834,0.9017077851217208,0.9313400006856765,0.013507445998348543,-0.05378770903412242,0.04075489349502637,1e-07,-0.009698198627576126,0.19388589747867105,0.0003578678926474405,8.41076543702143e-09,0.2619565217391353,0.024000739706221543,36.0,4.0,1e-10,1e-10
22,AREGUA,82.03610002466331,21900.797094263635,0.8980305452691137,0.9232741372518313,0.008481691879747604,-0.001485809876626773,0.06701992028449866,1e-07,-0.018695105260329394,0.1787171112893061,0.0004559349643781295,1.0008402262487098e-08,0.23103112840467213,0.015876785921563694,41.0,4.0,1e-10,1e-10
23,EMBOSCADA,17.348862092038008,173.94197748788878,0.3915092395464257,0.8084906873385811,0.011354116968707657,-1.4350946736515615,0.04405205910081944,1e-07,-0.01922925804093647,1.8325814637483102,0.000700781854321141,5.222486219553592e-08,0.16666666666651087,0.012345679012350298,69.0,8.0,1e-10,1e-10
