,Excluded metric,EUCLIDEAN-HAC,CORRELATION-HAC,SPEARMAN-HAC,DTW-HAC,EUCLIDEAN-KM,CORRELATION-KM,SPEARMAN-KM,DTW-KM,EUCLIDEAN-DB,CORRELATION-DB,SPEARMAN-DB,DTW-DB
0,None,4832.653979260851,1987.9599932990527,500.7527415728119,4751.164672246601,4832.653979260851,2464.545829490123,500.752741572812,4751.164672246601,9.652855285662229,441.5240501773218,167.0595478511408,5.177029775070374
1,Mean,4822.602478486275,2253.0102753417864,551.2706501221726,4762.5516701468005,4822.602478486275,2704.4100260250375,551.5886777070307,4762.5516701468005,10.350070901188278,888.7276542927838,172.47932790820408,7.245519639544235
2,Var,343.3210537426536,1420.2669918455613,560.9074785008792,258.3895578088353,379.6459669926937,1666.1066964061788,560.9074785008792,279.7376280435291,136.1728505431522,251.1466453707161,226.14641134277286,81.86813149555137
3,ACF1,4832.643370177837,2005.5401931607212,472.67858556514693,4752.086000876008,4832.643370177837,2491.904849349092,479.06434586109276,4752.086000876008,9.652871496862602,442.6862792516242,267.9937095287729,5.176238905987854
4,Trend,4832.653653160917,1992.6585032967082,555.5136258200451,4751.688299897961,4832.653653160915,2491.6357646184047,555.5136258200449,4751.688299897961,9.652855831032149,442.6065955597667,164.20559810167953,5.176865605886173
5,Linearity,4832.653979147608,2005.8552090509124,448.5463314919728,4751.162568052785,4832.65397914761,2503.9576945234544,475.3037433683641,4751.162568052786,9.65285528582365,442.711151247854,151.164989495495,5.177043882826009
6,Curvature,4832.64500072537,2006.699013891454,656.4048375892439,4751.23171194575,4832.645000725371,2504.7069506268226,656.9611584347288,4751.231711945749,9.65286957249796,442.85417352996035,199.49505791119395,5.176893360620147
7,Season,4832.653972883436,2005.8394105633322,452.68837457212925,4751.050136180945,4832.653972883436,2476.678513358886,469.5246613372872,4751.050136180945,9.652855293002007,442.70777894052424,129.5694767861671,5.177181146024318
8,Peak,4832.627954000762,2003.9956824502608,750.8517506247288,4751.521384709563,4832.627954000763,2495.5703725721373,750.8517506247285,4751.521384709564,9.652863901738257,442.6357677104556,248.75976467005336,5.176115969788602
9,Trough,4832.653978469579,2005.8656717834713,472.01657227351205,4751.1791279074005,4832.653978469579,2476.4417186601745,472.01657227351205,4751.1791279074005,9.652855286634079,442.71336157964794,161.3671400633624,5.177035230569957
10,Entropy,4832.641643631542,2005.183141662004,576.7515568366811,4751.297540091124,4832.641643631542,2503.3697669514663,585.8312702922804,4751.297540091124,9.652875464500037,442.5709693388879,464.716672586533,5.177208719724269
11,Lumpiness,4832.653979195111,2005.8585494468882,502.21376930089076,4751.178986787933,4832.653979195112,2492.0530332746625,504.8855219699023,4751.178986787933,9.652855285764954,442.7116449569229,340.1191970710904,5.17702905085108
12,Spikiness,4832.653979260851,2005.8588132097234,431.3808291408948,4751.1788627993255,4832.653979260852,2503.960477177469,430.9640014635743,4751.1788627993255,9.652855285662229,442.71170895279755,172.71369004858593,5.1770272118604455
13,Lshift,4832.653699675468,1992.6243480958428,451.31391975436225,4751.244235809042,4832.653699675467,2481.2573899875347,476.0144059124412,4751.244235809041,9.652855750873599,442.6955699058427,159.9321499341713,5.176964006385077
14,Vchange,4832.653977140177,2005.8540400020852,448.3498046495148,4751.160742690952,4832.653977140176,2492.0504812694285,453.3894635550929,4751.16074269095,9.652855289167316,442.71075910876374,159.34356245239496,5.177036670930796
15,Fspots,4824.172813243212,2949.784677100411,521.0935461714923,4797.25352488267,4824.172813243212,2988.459243077692,521.0935461714923,4797.25352488267,6.589668555462759,1109.018355479831,155.24805104424016,4.389028371550722
16,Cpoints,4832.278969466766,2000.8154082936476,592.484598574648,4751.669933971794,4832.2789694667645,2500.3271201248294,592.5615510309109,4751.669933971794,9.653446196036368,441.7766189586328,359.22754803551754,10.401538359660934
17,KlScore,4832.653979260851,2005.8588132177308,442.9079374830637,4751.164672246601,4832.653979260851,2481.276964382942,443.3953518349392,4751.164672246601,9.652855285662229,442.7117089546557,177.42510586814038,5.177029775070374
18,ChangeIdx,4832.653979260851,2005.8588132177308,442.9079374830637,4751.164672246601,4832.653979260852,2503.9604771881714,443.3953518349392,4751.164672246601,9.652855285662229,442.7117089546557,177.42510586814038,5.177029775070374
