,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
0,ASUNCION,0,4,-1
1,FERNANDO DE LA MORA,3,0,0
2,PEDRO JUAN CABALLERO,4,1,1
3,YBY YAU,0,4,2
4,YPANE,4,1,1
5,CAPIATA,4,1,0
6,CAPITAN BADO,0,4,3
7,HORQUETA,0,4,-1
8,BELEN,0,4,4
9,CECILIO BAEZ,0,0,4
10,CONCEPCION,3,0,1
11,LAMBARE,4,1,0
12,BELLA VISTA,2,2,1
13,HERNANDARIAS,0,4,2
14,ITAKYRY,0,4,5
15,ITAUGUA,3,0,2
16,CORONEL OVIEDO,0,4,2
17,LOMA PLATA,0,4,-1
18,LUQUE,3,0,-1
19,MCAL. ESTIGARRIBIA,0,4,5
20,MINGA GUAZU,0,4,-1
21,PIRAYU,0,4,6
22,SAN ALBERTO,0,4,4
23,VILLA ELISA,5,5,-1
24,YAGUARON,0,4,2
25,YPACARAI,1,3,-1
26,CAACUPE,0,4,2
27,EMBOSCADA,0,4,5
28,ITA,3,0,2
29,LIMPIO,0,0,-1
30,MARIANO ROQUE ALONSO,3,0,-1
31,SAN LORENZO,3,0,-1
32,VILLETA,0,0,1
33,GUARAMBARE,4,1,1
34,J A SALDIVAR,3,0,1
35,SAN JOSE DE LOS ARROYOS,0,4,4
36,CAAGUAZU,0,4,-1
37,JUAN LEON MALLORQUIN,0,4,7
38,LORETO,0,0,2
39,NUEVA ITALIA,0,0,1
40,VILLA HAYES,3,0,1
41,ACAHAY,0,4,7
42,CARAPEGUA,0,4,2
43,CHORE,0,4,4
44,ENCARNACION,0,4,-1
45,FRAM,0,4,8
46,JOSE DOMINGO OCAMPOS,0,4,-1
47,JUAN E. OLEARY,0,4,-1
48,PARAGUARI,0,0,1
49,REPATRIACION,0,4,1
50,SAN ANTONIO,3,0,1
51,SAN JUAN NEPOMUCENO,0,4,-1
52,SANTA ROSA,0,4,-1
53,LOMA GRANDE,0,0,4
54,SAN BERNARDINO,0,4,4
55,SAN ESTANISLAO,0,4,1
56,AREGUA,2,2,1
57,ARROYOS Y ESTEROS,0,4,5
58,EUSEBIO AYALA,0,4,6
59,ITACURUBI DE LA CORDILLERA,0,4,4
60,LA PALOMA,0,4,4
61,MINGA PORA,0,4,7
62,PILAR,0,4,3
63,SALTO DEL GUAIRA,0,4,4
64,SAN PEDRO,0,4,5
65,VILLARRICA,0,4,2
66,ALBERDI,0,4,4
67,CAMBYRETA,0,4,-1
68,NATALIO,0,4,-1
69,NUEVA ALBORADA,0,4,9
70,OBLIGADO,0,4,10
71,SAN JUAN BAUTISTA,0,4,4
72,SANTA RITA,0,4,5
73,TOBATI,0,4,11
74,MBOCAYATY,0,4,11
75,PIRAPO,0,4,-1
76,SAPUCAI,0,4,12
77,TACUATI,0,4,12
78,CAAZAPA,0,4,3
79,CURUGUATY,0,4,2
