,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
0,ASUNCION,3,1,-1
1,FERNANDO DE LA MORA,6,4,-1
2,PEDRO JUAN CABALLERO,4,0,0
3,YBY YAU,3,1,1
4,YPANE,4,0,0
5,CAPIATA,4,0,-1
6,CAPITAN BADO,3,1,-1
7,HORQUETA,3,1,-1
8,BELEN,3,1,2
9,CECILIO BAEZ,0,6,2
10,CONCEPCION,0,6,0
11,LAMBARE,4,0,-1
12,BELLA VISTA,2,2,0
13,HERNANDARIAS,3,1,1
14,ITAKYRY,3,1,3
15,ITAUGUA,6,4,1
16,CORONEL OVIEDO,3,1,1
17,LOMA PLATA,3,1,-1
18,LUQUE,6,4,-1
19,MCAL. ESTIGARRIBIA,3,1,3
20,MINGA GUAZU,3,1,-1
21,PIRAYU,3,1,4
22,SAN ALBERTO,3,1,2
23,VILLA ELISA,5,5,-1
24,YAGUARON,3,1,1
25,YPACARAI,1,3,-1
26,CAACUPE,3,1,1
27,EMBOSCADA,3,1,3
28,ITA,0,6,1
29,LIMPIO,0,6,-1
30,MARIANO ROQUE ALONSO,6,4,-1
31,SAN LORENZO,6,4,-1
32,VILLETA,0,6,0
33,GUARAMBARE,4,0,0
34,J A SALDIVAR,6,4,0
35,SAN JOSE DE LOS ARROYOS,3,1,2
36,CAAGUAZU,3,1,-1
37,JUAN LEON MALLORQUIN,3,1,5
38,LORETO,0,6,1
39,NUEVA ITALIA,0,6,0
40,VILLA HAYES,6,4,0
41,ACAHAY,3,1,5
42,CARAPEGUA,3,1,1
43,CHORE,3,1,2
44,ENCARNACION,3,1,-1
45,FRAM,3,1,6
46,JOSE DOMINGO OCAMPOS,3,1,-1
47,JUAN E. OLEARY,3,1,-1
48,PARAGUARI,0,6,0
49,REPATRIACION,3,1,0
50,SAN ANTONIO,6,4,0
51,SAN JUAN NEPOMUCENO,3,1,-1
52,SANTA ROSA,3,1,-1
53,LOMA GRANDE,0,6,2
54,SAN BERNARDINO,3,1,2
55,SAN ESTANISLAO,3,1,0
56,AREGUA,2,2,0
57,ARROYOS Y ESTEROS,3,1,3
58,EUSEBIO AYALA,3,1,4
59,ITACURUBI DE LA CORDILLERA,3,1,2
60,LA PALOMA,3,1,2
61,MINGA PORA,3,1,5
62,PILAR,3,1,-1
63,SALTO DEL GUAIRA,3,1,2
64,SAN PEDRO,3,1,3
65,VILLARRICA,3,1,1
66,ALBERDI,3,1,2
67,CAMBYRETA,3,1,-1
