,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
0,ASUNCION,0,4,0
1,FERNANDO DE LA MORA,4,2,-1
2,PEDRO JUAN CABALLERO,3,1,1
3,YBY YAU,0,4,2
4,YPANE,3,1,1
5,CAPIATA,3,1,-1
6,CAPITAN BADO,0,4,3
7,HORQUETA,0,4,-1
8,BELEN,0,4,1
9,CECILIO BAEZ,0,2,1
10,CONCEPCION,4,2,1
11,LAMBARE,3,1,-1
12,BELLA VISTA,1,0,1
13,HERNANDARIAS,0,4,2
14,ITAKYRY,0,4,0
15,ITAUGUA,4,2,2
16,CORONEL OVIEDO,0,4,2
17,LOMA PLATA,0,4,-1
18,LUQUE,4,2,-1
19,MCAL. ESTIGARRIBIA,0,4,0
20,MINGA GUAZU,0,4,3
21,PIRAYU,0,4,2
22,SAN ALBERTO,0,4,1
23,VILLA ELISA,1,0,-1
24,YAGUARON,0,4,2
25,YPACARAI,2,3,1
26,CAACUPE,0,4,2
27,EMBOSCADA,0,4,0
28,ITA,4,2,2
29,LIMPIO,0,2,-1
30,MARIANO ROQUE ALONSO,4,2,-1
31,SAN LORENZO,4,2,-1
32,VILLETA,0,2,1
33,GUARAMBARE,3,1,1
34,J A SALDIVAR,4,2,1
35,SAN JOSE DE LOS ARROYOS,0,4,1
36,CAAGUAZU,0,4,-1
37,JUAN LEON MALLORQUIN,0,4,4
38,LORETO,0,2,2
39,NUEVA ITALIA,0,2,1
40,VILLA HAYES,4,2,1
41,ACAHAY,0,4,4
42,CARAPEGUA,0,4,2
43,CHORE,0,4,1
44,ENCARNACION,0,4,-1
45,FRAM,0,4,-1
46,JOSE DOMINGO OCAMPOS,0,4,-1
47,JUAN E. OLEARY,0,4,-1
48,PARAGUARI,0,2,1
49,REPATRIACION,0,4,1
50,SAN ANTONIO,4,2,1
51,SAN JUAN NEPOMUCENO,0,4,-1
52,SANTA ROSA,0,4,-1
53,LOMA GRANDE,0,2,1
54,SAN BERNARDINO,0,4,1
55,SAN ESTANISLAO,0,4,1
56,AREGUA,3,0,1
57,ARROYOS Y ESTEROS,0,4,0
58,EUSEBIO AYALA,0,4,2
59,ITACURUBI DE LA CORDILLERA,0,4,1
60,LA PALOMA,0,4,1
61,MINGA PORA,0,4,4
62,PILAR,0,4,3
63,SALTO DEL GUAIRA,0,4,1
64,SAN PEDRO,0,4,0
65,VILLARRICA,0,4,2
66,ALBERDI,0,4,1
67,CAMBYRETA,0,4,-1
68,NATALIO,0,4,-1
69,NUEVA ALBORADA,0,4,-1
70,OBLIGADO,0,4,-1
71,SAN JUAN BAUTISTA,0,4,1
72,SANTA RITA,0,4,0
73,TOBATI,0,4,-1
74,MBOCAYATY,0,4,-1
75,PIRAPO,0,4,-1
76,SAPUCAI,0,4,5
77,TACUATI,0,4,5
78,CAAZAPA,0,4,3
79,CURUGUATY,0,4,2
80,PUERTO PINASCO,1,0,1
81,TEBICUARY,0,2,1
82,CORONEL MARTINEZ,0,4,4
83,SAN LAZARO,0,4,0
84,ATYRA,0,4,2
85,ALTOS,0,2,1
86,PIRIBEBUY,0,4,2
87,AYOLAS,0,4,4
88,BENJAMIN ACEVAL,0,4,2
89,QUIINDY,0,4,5
90,GENERAL MORINIGO,0,4,-1
91,VALENZUELA,0,4,5
92,YGUAZU,0,4,2
93,NUEVA ESPERANZA,0,4,1
94,CAPITAN MIRANDA,0,4,-1
95,FUERTE OLIMPO,0,4,5
96,MBARACAYU,0,4,-1
97,NANAWA,4,2,1
98,NARANJAL,0,4,-1
99,KATUETE,0,4,1
100,SAN PEDRO DEL PARANA,0,4,-1
101,CARLOS ANTONIO LOPEZ,0,4,-1
102,EDELIRA,0,4,-1
103,HOHENAU,0,4,-1
104,SAN IGNACIO,0,4,0
105,ABAI,0,4,-1
106,CAPIIBARY,0,4,-1
107,CARAGUATAY,0,4,4
108,CORPUS CHRISTI,0,4,4
109,RAUL ARSENIO OVIEDO,0,4,4
110,TOMAS ROMERO PEREIRA,0,4,0
111,TRINIDAD,0,4,-1
112,YEGROS,0,4,-1
113,CARAYAO,0,4,1
114,CORONEL BOGADO,0,4,0
115,DR. MOISES BERTONI,0,4,6
116,ESCOBAR,0,4,5
117,GENERAL FRANCISCO CABALLERO ALVAREZ,0,4,-1
118,GUAYAIBI,0,4,1
119,JUAN EULOGIO ESTIGARRIBIA,0,4,0
120,MAURICIO JOSE TROCHE,0,4,5
121,NUEVA LONDRES,0,4,-1
122,SANTA ELENA,0,4,1
123,COLONIA INDEPENDENCIA,0,4,4
124,LA PAZ,0,4,6
125,NUEVA COLOMBIA,0,4,1
126,SAN MIGUEL,0,4,5
127,SANTA ROSA DEL MONDAY,0,4,-1
128,VAQUERIA,0,4,-1
129,YATAITY,0,4,5
130,ITAPE,0,4,5
131,SANTA ROSA DEL AGUARAY,0,4,2
132,FELIX PEREZ CARDOZO,0,4,4
133,GENERAL ARTIGAS,0,4,5
134,JUAN MANUEL FRUTOS,0,4,-1
135,LA PASTORA,0,4,-1
136,SAN JUAN DEL PARANA,0,4,5
137,SIMON BOLIVAR,0,4,4
138,CAPITAN MEZA,0,4,-1
139,SAN JOAQUIN,0,4,-1
140,BORJA,0,4,-1
141,ITACURUBI DEL ROSARIO,0,4,-1
142,JESUS,0,4,3
143,ISLA PUCU,0,4,4
144,SANTA ROSA DEL MBUTUY,0,4,1
145,VILLA DEL ROSARIO,0,4,-1
146,3 DE FEBRERO,0,4,-1
147,YUTY,0,4,-1
148,YHU,0,4,-1
149,TAVAI,0,4,-1
150,FILADELFIA,0,4,5
151,MBOCAYATY DEL YHAGUY,0,4,-1
152,SAN CARLOS,0,4,-1
153,JOSE FASSARDI,0,4,5
154,JUAN DE MENA,0,4,2
155,NUEVA GERMANIA,0,4,1
156,UNION,0,4,5
157,CARMEN DEL PARANA,0,4,3
158,PASO YOBAI,0,4,-1
159,TACUARAS,0,4,-1
160,YATAITY DEL NORTE,0,4,1
161,25 DE DICIEMBRE,0,4,-1
162,SANTA MARIA,0,4,-1
163,SANTIAGO,0,4,-1
164,MCAL. FRANCISCO SOLANO LOPEZ,0,4,3
165,SAN JOSE OBRERO,0,4,-1
166,ITURBE,0,4,4
167,JOSE FALCON,0,4,-1
168,NATALICIO TALAVERA,0,4,3
169,ANTEQUERA,4,2,-1
170,ITANARA,0,4,6
171,SAN COSME Y DAMIAN,0,4,-1
172,TEBICUARYMI,0,4,-1
173,ITAPUA POTY,0,4,-1
174,MACIEL,0,4,-1
175,SAN PATRICIO,0,4,-1
176,LAURELES,0,4,6
177,BUENA VISTA,0,4,-1
178,LIMA,0,4,5
179,HUMAITA,0,4,-1
180,GENERAL DELGADO,0,4,0
181,YATYTAY,0,4,-1
182,SAN SALVADOR,0,4,-1
183,ALTO VERA,0,4,-1
184,AZOTEY,0,4,6
185,SAN RAFAEL DEL PARANA,0,4,-1
186,CERRITO,0,4,-1
187,GENERAL BRUGUEZ,0,2,-1
188,YABEBYRY,0,4,6
189,ZANJA PYTA,0,4,4
190,VILLALBIN,0,4,6
191,BAHIA NEGRA,0,4,6
192,TEMBIAPORA,0,4,6
193,TAVAPY,0,4,3
194,LEANDRO OVIEDO,0,4,-1
195,ISLA UMBU,0,4,6
196,VILLA OLIVA,0,4,6
197,CARMELO PERALTA,0,4,-1
198,DESMOCHADOS,0,4,6
199,R I 3 CORRALES,0,4,6
