,Excluded metric,EUCLIDEAN-HAC,CORRELATION-HAC,SPEARMAN-HAC,DTW-HAC,EUCLIDEAN-KM,CORRELATION-KM,SPEARMAN-KM,DTW-KM,EUCLIDEAN-DB,CORRELATION-DB,SPEARMAN-DB,DTW-DB
0,None,0.7838787127522115,5.039794930806593,0.0,0.8145417911325443,0.7838787127522115,5.099530540610797,0.0,0.8145417911325443,0.0031521752701380375,2.9421707863037447,0.0,0.0016401508618928292
1,Mean,0.7834566957274987,24.817887770670957,0.0,0.8092648833059294,0.7834566957274987,21.22715040073001,0.0,0.8092648833059294,0.0030915449031010483,3.405580146158699,0.0,0.002495543816413065
2,Var,0.21848207609255474,0.0,0.0,0.3167911004198308,0.6268633436596527,0.0,0.0,0.4314913264339074,0.4476218144335268,0.0,0.0,0.2837106969808963
3,ACF1,0.7838787127522121,5.0733753449498,0.0,0.8143319458721271,0.7838787127522121,5.0733753449498,0.0,0.8143319458721271,0.003152175270430317,2.9213422322601117,0.0,0.0016553521611406988
4,Trend,0.7838787127522584,5.013186648980799,0.0,0.814332191739386,0.7838787127522584,5.075087507578876,0.0,0.814332191739386,0.0031521752701388415,2.9234013279458013,0.0,0.0016401527808946634
5,Linearity,0.7838787127522353,5.068774685854653,0.0,0.8145419905112755,0.7838787127522353,5.068774685854653,0.0,0.8145419905112755,0.003152175270138041,2.920912794304258,0.0,0.001640150919617022
6,Curvature,0.7838787156032573,5.062314225232209,0.0,0.8144009638506421,0.7838787156032573,5.062314225232209,0.0,0.8144009638506421,0.0031521752701965003,2.9199004907483523,0.0,0.0016249902427463998
7,Season,0.7838787127528074,5.06932772252201,0.0,0.8145427896425794,0.7838787127528074,5.06932772252201,0.0,0.8145427896425794,0.0031521752701381047,2.920954756337396,0.0,0.0016401504563906962
8,Peak,0.7838787127522115,5.23263993305881,0.0,0.8145417911325443,0.7838787127522115,5.23263993305881,0.0,0.8145417911325443,0.003152175270138037,2.921874273340457,0.0,0.0016401753448384926
9,Trough,0.7838787127522179,5.068569115613092,0.0,0.8145418940277339,0.7838787127522179,5.068569115613092,0.0,0.8145418940277339,0.003152175270138051,2.9208944219443542,0.0,0.0016401558780396674
10,Entropy,0.7838787127571263,5.074381251602071,0.0,0.8143347785036844,0.7838787127571263,5.074381251602071,0.0,0.8143347785036844,0.003152175270159585,2.9215757342125857,0.0,0.0016401595040799863
11,Lumpiness,0.7838787127522117,5.068737878340212,0.0,0.8145418021508755,0.7838787127522117,5.068737878340212,0.0,0.8145418021508755,0.0031521752701380375,2.920907984602639,0.0,0.0016401508744726394
12,Spikiness,0.7838787127522115,5.068728885721384,0.0,0.8145417911325749,0.7838787127522115,5.068728885721384,0.0,0.8145417911325749,0.0031521752701380375,2.9209076271217516,0.0,0.001640150861893017
13,Lshift,0.7838787127665121,5.009615287101949,0.0,0.8145466824690615,0.7838787127665121,5.069900498223531,0.0,0.8145466824690615,0.003152175270139353,2.9210548296396714,0.0,0.0016401543490136075
14,Vchange,0.7838787127523553,5.068789613384509,0.0,0.8145422815816619,0.7838787127523553,5.068789613384509,0.0,0.8145422815816619,0.0031521752701380384,2.920918340375524,0.0,0.0016401511498409908
15,Fspots,0.7832538089839917,2.798162614207321,0.0,0.7906985237221666,0.7832538089839917,2.798162614207321,0.0,0.7906985237221666,0.0015075631766055004,1.2608786890066264,0.0,0.0012634160597533933
16,Cpoints,0.7838787826280074,5.147807511283441,0.0,0.8142539432472935,0.7838787826280074,5.147807511283441,0.0,0.8142539432472935,0.003152175271599946,2.9334271875976325,0.0,1.0005680449315082
17,KlScore,0.7838787127522115,5.068728885673898,0.0,0.8145417911325443,0.7838787127522115,5.068728885673898,0.0,0.8145417911325443,0.0031521752701380375,2.9209076271143215,0.0,0.0016401508618928292
18,ChangeIdx,0.7838787127522115,5.068728885673898,0.0,0.8145417911325443,0.7838787127522115,5.068728885673898,0.0,0.8145417911325443,0.0031521752701380375,2.9209076271143215,0.0,0.0016401508618928292
