,Excluded metric,EUCLIDEAN-HAC,CORRELATION-HAC,SPEARMAN-HAC,DTW-HAC,EUCLIDEAN-KM,CORRELATION-KM,SPEARMAN-KM,DTW-KM,EUCLIDEAN-DB,CORRELATION-DB,SPEARMAN-DB,DTW-DB
0,None,0.3581044752950816,0.4528808655672349,0.5842226427619026,0.35624400020526054,0.35810447529508166,0.45807400879853816,0.5842226427619026,0.35624400020526054,1.3381557108212467,0.5695085856700487,1.0985015256626027,1.4524860882626622
1,Mean,0.35812189644932385,0.4484543217622106,0.5877204463900714,0.35526234171989707,0.35812189644932385,0.44803904603399497,0.5762048845356647,0.35526234171989707,1.320039949965775,0.4050471045936225,1.120516588384459,1.393281994680044
2,Var,0.8143113559586233,0.38452177435776086,0.5292498843666904,0.8791853746553281,0.698439283772612,0.36699737696474793,0.5292498843666904,0.8100961910763015,0.9675306179282102,0.20787585129153052,0.9782186780152784,1.5153650714645608
3,ACF1,0.35810452240755924,0.4693920035077907,0.5369792347596517,0.35624627781844687,0.35810452240755924,0.4566165787686192,0.5255125961442795,0.3562462778184468,1.3381554100865076,0.5669881045129314,0.8983882679734946,1.4525639544734512
4,Trend,0.35810448135514683,0.4529140766073562,0.6011625629033448,0.35623796238130784,0.35810448135514683,0.4566348858021337,0.6011625629033449,0.35623796238130784,1.3381556905963923,0.567056126225505,1.1022628117604027,1.4524961676016943
5,Linearity,0.35810447529538275,0.4693658182610285,0.6333156864985184,0.3562397822374904,0.35810447529538275,0.4562490368007032,0.5955875107712012,0.3562397822374904,1.338155710814166,0.5670909299079429,1.1264315672377139,1.4524871444629064
6,Curvature,0.35810451855048125,0.46929897073202415,0.5474407503104597,0.35626593040775034,0.35810451855048125,0.4562589515507707,0.5467588521459722,0.35626593040775034,1.3381551501354074,0.5671743671311743,1.117940799637428,1.4524593557607257
7,Season,0.35810447532516454,0.46936773585226327,0.6466620204971091,0.35624583116852737,0.35810447532516454,0.4844432563476837,0.6198649252330188,0.35624583116852737,1.3381557107620319,0.5670913410268232,1.108062310373855,1.4524557578356783
8,Peak,0.3581045143828784,0.46948782608731465,0.5017733850360542,0.35624516862606426,0.3581045143828784,0.4576207029459732,0.5017733850360543,0.35624516862606426,1.3381570533611897,0.5668633962837238,1.1740874500083065,1.4526159254316051
9,Trough,0.3581044752988016,0.46936496616264173,0.5902073545377783,0.35623527926680126,0.3581044752988016,0.47419125721837785,0.5902073545377783,0.35623527926680126,1.338155710771866,0.5670905626529315,1.0321269055908957,1.4524891951252092
10,Entropy,0.35810452782513924,0.46940492001323636,0.40135622566522045,0.3562368765782815,0.35810452782513924,0.456210785994041,0.6641744350923678,0.3562368765782815,1.3381551182299922,0.5670423200387932,0.7662315389994382,1.452436762165407
11,Lumpiness,0.3581044752953676,0.4693655206668425,0.5420479463479138,0.3562405364499965,0.3581044752953676,0.4566442405584677,0.5396093407977669,0.3562405364499965,1.3381557108198432,0.5670916913298466,0.6924499732342723,1.4524873630189326
12,Spikiness,0.3581044752950833,0.46936548820490204,0.5920620714197621,0.3562408549764485,0.3581044752950833,0.4562491255782141,0.5918028765482067,0.3562408549764485,1.3381557108212094,0.5670911350280919,1.0323322317876729,1.452487610745383
13,Lshift,0.35810447613061674,0.4529170603448406,0.5813377446277653,0.356244186919274,0.35810447613061674,0.48618553037329804,0.5773792462406406,0.356244186919274,1.338155698029652,0.5670900585283969,1.1176550233933975,1.4524851576634077
14,Vchange,0.3581044787482983,0.4693661042911831,0.582000674555114,0.356243911939062,0.3581044787482983,0.45664281540021034,0.5824678037483123,0.35624391193906185,1.3381557107495177,0.5670907500602532,1.1146847137233815,1.4524837556845502
15,Fspots,0.3581794052186834,0.5501231231993031,0.5867709865786184,0.35898902160391316,0.3581794052186834,0.5600545054107194,0.5867709865786185,0.3589890216039131,1.2803874479540105,0.5638113329903119,1.058590834177089,1.3545546668057284
16,Cpoints,0.35810565022194846,0.4697975957970354,0.552931160020545,0.3563545668998947,0.35810565022194846,0.45612550857787043,0.5417134603735713,0.3563545668998947,1.3381241557797254,0.5672411283336446,0.854554307152841,1.4554424206501857
17,KlScore,0.3581044752950816,0.46936548820475416,0.5761850113550467,0.35624400020526054,0.35810447529508166,0.48621060735441407,0.5826117201321717,0.35624400020526054,1.3381557108212467,0.5670912128861544,1.016180230872524,1.4524860882626622
18,ChangeIdx,0.3581044752950816,0.46936548820475416,0.5761850113550467,0.35624400020526054,0.35810447529508166,0.45624912557783903,0.5826117201321717,0.35624400020526054,1.3381557108212467,0.5670912128861544,1.016180230872524,1.4524860882626622
