,Excluded metric,EUCLIDEAN-HAC,CORRELATION-HAC,SPEARMAN-HAC,DTW-HAC,EUCLIDEAN-KM,CORRELATION-KM,SPEARMAN-KM,DTW-KM,EUCLIDEAN-DB,CORRELATION-DB,SPEARMAN-DB,DTW-DB
0,None,0.8319207960553356,0.6236251867605513,0.6411621386175673,0.8276127498948194,0.8319207960553356,0.6378120248256091,0.6411621386175673,0.8276127498948194,0.13173913865436176,0.4029628208952798,0.6038965163935747,-0.1343137758249278
1,Mean,0.8315934530369973,0.6404100205410503,0.6534870265954876,0.8272416549959626,0.8315934530369973,0.6623593004545724,0.65336756533146,0.8272416549959626,0.15793918024272632,0.7250974513644912,0.6237136109459415,0.02114909147748637
2,Var,0.38991568895463635,0.5149967126731709,0.659379113271878,0.35194066676330027,0.43938239274014684,0.5824160261141834,0.659379113271878,0.3969219950954074,0.6112190940495252,0.8697065256340764,0.6692761797864136,0.3907092596318785
3,ACF1,0.8319197305959701,0.601429757553143,0.6278776760336915,0.8276476016434549,0.8319197305959701,0.6366161680513455,0.6324428581336405,0.8276476016434549,0.13173002250053625,0.40512484198791165,0.5939995290916313,-0.13375480563539657
4,Trend,0.831920773757083,0.6237358992132738,0.6226099535149793,0.8276397133250185,0.831920773757083,0.6365909465894839,0.6226099535149793,0.8276397133250185,0.13173913537795864,0.40499277826318214,0.58183463315629,-0.13443483351893495
5,Linearity,0.8319207960493507,0.6014587879177096,0.6107684629914825,0.8276155626231142,0.8319207960493507,0.6366854103655976,0.620830610526823,0.8276155626231142,0.13173913865548073,0.40505471764772943,0.5877941246708798,-0.1342715925985237
6,Curvature,0.8319202415268123,0.6015698532396421,0.6594675468073257,0.8276446622224349,0.8319202415268123,0.6367623192342674,0.6594922623191236,0.8276446622224349,0.13173826396798896,0.4051863200509695,0.5919826769962075,-0.13330916627413297
7,Season,0.8319207955709783,0.6014562054473488,0.6078888887501617,0.8276088204757239,0.8319207955709783,0.6365151938689252,0.6139091080530673,0.8276088204757239,0.13173913589380448,0.4050505439844681,0.5629349296900247,-0.13416174792719085
8,Peak,0.8319203952359993,0.6011593228062092,0.7200081089011138,0.8276742418289769,0.8319203952359993,0.6367844861961626,0.7200081089011138,0.8276742418289769,0.1317437178452049,0.4049900259810703,0.6681811325635104,-0.13403597262472539
9,Trough,0.8319207960003567,0.6014600122331776,0.6470771591604728,0.8276183947881692,0.8319207960003567,0.6293263558688352,0.6470771591604728,0.8276183947881692,0.1317391384033844,0.40505751677497037,0.5927685106435954,-0.13423201462148301
10,Entropy,0.8319197989730414,0.6013790667402888,0.7304449275998514,0.8276317462169779,0.8319197989730414,0.6365790429972208,0.631840113128225,0.8276317462169779,0.13173482367643635,0.4048994553688192,0.6526514820416555,-0.13356854382050742
11,Lumpiness,0.8319207960481255,0.6014592275572898,0.6383290005124613,0.82761360607663,0.8319207960481255,0.6365948813958587,0.6393622505541277,0.82761360607663,0.13173913858613687,0.40505487281236385,0.6547775100257955,-0.13431098964185625
12,Spikiness,0.8319207960553306,0.6014592544545512,0.6400437418403642,0.8276136234788445,0.8319207960553306,0.6366857257662997,0.6398514063152845,0.8276136234788445,0.13173913865429812,0.40505525232726763,0.5895531304360123,-0.1343114355520585
13,Lshift,0.8319207779412914,0.623728564930646,0.635916356848646,0.8276215488373723,0.8319207779412914,0.6328837286384366,0.6495820300141655,0.8276215488373723,0.1317391100165729,0.4050336878420579,0.6217243542707248,-0.13416214268409338
14,Vchange,0.8319207959044084,0.6014589374174122,0.6218480350821836,0.8276133540807643,0.8319207959044084,0.6365952786355525,0.6257176520122327,0.8276133540807643,0.13173913817737035,0.40505392046302363,0.5944997912724231,-0.1342903387787566
15,Fspots,0.8317173034209729,0.6697647445558197,0.6511994200825473,0.8309802994971949,0.8317173034209729,0.6805654577692292,0.6511994200825473,0.8309802994971949,0.2259518061307579,0.748222879794226,0.6044110041977925,0.07428374839002921
16,Cpoints,0.831898953109877,0.6009926117586004,0.6724825695957389,0.8278898655145107,0.831898953109877,0.6362539607063666,0.6722115514639537,0.8278898655145107,0.13173784777985287,0.4039028773993877,0.6529961823118461,0.0731911331013298
17,KlScore,0.8319207960553356,0.6014592544549777,0.647309819345475,0.8276127498948194,0.8319207960553356,0.6328831234334992,0.6458213558725183,0.8276127498948194,0.13173913865436176,0.40505525233012535,0.5969463602685295,-0.1343137758249278
18,ChangeIdx,0.8319207960553356,0.6014592544549777,0.647309819345475,0.8276127498948194,0.8319207960553356,0.6366857257675823,0.6458213558725183,0.8276127498948194,0.13173913865436176,0.40505525233012535,0.5969463602685295,-0.1343137758249278
