,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
0,ASUNCION,0,1,0
1,FERNANDO DE LA MORA,6,4,1
2,PEDRO JUAN CABALLERO,3,0,1
3,YBY YAU,0,1,1
4,YPANE,3,0,1
5,CAPIATA,3,0,1
6,CAPITAN BADO,0,1,0
7,HORQUETA,0,1,-1
8,BELEN,0,1,1
9,CECILIO BAEZ,4,6,1
10,CONCEPCION,4,6,1
11,LAMBARE,3,0,1
12,BELLA VISTA,5,2,1
13,HERNANDARIAS,0,1,1
14,ITAKYRY,0,1,-1
15,ITAUGUA,6,4,1
16,CORONEL OVIEDO,0,1,-1
17,LOMA PLATA,0,1,0
18,LUQUE,6,4,1
19,MCAL. ESTIGARRIBIA,0,1,0
20,MINGA GUAZU,0,1,-1
21,PIRAYU,0,1,1
22,SAN ALBERTO,0,1,1
23,VILLA ELISA,1,5,1
24,YAGUARON,0,1,1
25,YPACARAI,2,3,1
26,CAACUPE,0,1,1
27,EMBOSCADA,0,1,-1
28,ITA,4,6,1
29,LIMPIO,4,6,1
30,MARIANO ROQUE ALONSO,6,4,1
31,SAN LORENZO,6,4,1
32,VILLETA,4,6,1
33,GUARAMBARE,3,0,1
34,J A SALDIVAR,6,4,1
35,SAN JOSE DE LOS ARROYOS,0,1,2
36,CAAGUAZU,0,1,1
37,JUAN LEON MALLORQUIN,0,1,-1
38,LORETO,4,6,1
39,NUEVA ITALIA,4,6,1
40,VILLA HAYES,6,4,1
41,ACAHAY,0,1,0
42,CARAPEGUA,0,1,3
43,CHORE,0,1,2
44,ENCARNACION,0,1,-1
45,FRAM,0,1,0
46,JOSE DOMINGO OCAMPOS,0,1,-1
47,JUAN E. OLEARY,0,1,0
48,PARAGUARI,4,6,1
49,REPATRIACION,0,1,3
50,SAN ANTONIO,6,4,1
51,SAN JUAN NEPOMUCENO,0,1,0
52,SANTA ROSA,0,1,0
53,LOMA GRANDE,4,6,1
54,SAN BERNARDINO,0,1,-1
55,SAN ESTANISLAO,0,1,1
56,AREGUA,5,2,1
57,ARROYOS Y ESTEROS,0,1,-1
58,EUSEBIO AYALA,0,1,2
59,ITACURUBI DE LA CORDILLERA,0,1,3
60,LA PALOMA,0,1,1
61,MINGA PORA,0,1,0
62,PILAR,0,1,-1
63,SALTO DEL GUAIRA,0,1,1
64,SAN PEDRO,0,1,0
65,VILLARRICA,0,1,1
66,ALBERDI,0,1,3
67,CAMBYRETA,0,1,0
68,NATALIO,0,1,0
69,NUEVA ALBORADA,0,1,0
70,OBLIGADO,0,1,0
71,SAN JUAN BAUTISTA,0,1,2
72,SANTA RITA,0,1,0
73,TOBATI,0,1,2
74,MBOCAYATY,0,1,2
75,PIRAPO,0,1,0
76,SAPUCAI,0,1,-1
77,TACUATI,0,1,0
78,CAAZAPA,0,1,0
79,CURUGUATY,0,1,1
80,PUERTO PINASCO,1,5,1
81,TEBICUARY,4,6,1
82,CORONEL MARTINEZ,0,1,0
83,SAN LAZARO,0,1,4
84,ATYRA,0,1,3
85,ALTOS,4,6,1
86,PIRIBEBUY,0,1,3
87,AYOLAS,0,1,0
88,BENJAMIN ACEVAL,0,1,1
89,QUIINDY,0,1,-1
90,GENERAL MORINIGO,0,1,0
91,VALENZUELA,0,1,0
92,YGUAZU,0,1,-1
93,NUEVA ESPERANZA,0,1,3
94,CAPITAN MIRANDA,0,1,0
95,FUERTE OLIMPO,0,1,0
96,MBARACAYU,0,1,0
97,NANAWA,6,4,1
98,NARANJAL,0,1,-1
99,KATUETE,0,1,1
100,SAN PEDRO DEL PARANA,0,1,0
101,CARLOS ANTONIO LOPEZ,0,1,0
102,EDELIRA,0,1,0
103,HOHENAU,0,1,0
104,SAN IGNACIO,0,1,0
105,ABAI,0,1,0
106,CAPIIBARY,0,1,0
107,CARAGUATAY,0,1,-1
108,CORPUS CHRISTI,0,1,4
109,RAUL ARSENIO OVIEDO,0,1,0
110,TOMAS ROMERO PEREIRA,0,1,0
111,TRINIDAD,0,1,2
112,YEGROS,0,1,0
113,CARAYAO,0,1,2
114,CORONEL BOGADO,0,1,0
115,DR. MOISES BERTONI,0,1,0
116,ESCOBAR,0,1,0
117,GENERAL FRANCISCO CABALLERO ALVAREZ,0,1,0
118,GUAYAIBI,0,1,2
119,JUAN EULOGIO ESTIGARRIBIA,0,1,0
120,MAURICIO JOSE TROCHE,0,1,0
121,NUEVA LONDRES,0,1,0
122,SANTA ELENA,0,1,3
123,COLONIA INDEPENDENCIA,0,1,0
124,LA PAZ,0,1,0
125,NUEVA COLOMBIA,0,1,1
126,SAN MIGUEL,0,1,0
127,SANTA ROSA DEL MONDAY,0,1,1
128,VAQUERIA,0,1,0
129,YATAITY,0,1,4
130,ITAPE,0,1,0
131,SANTA ROSA DEL AGUARAY,0,1,1
132,FELIX PEREZ CARDOZO,0,1,4
133,GENERAL ARTIGAS,0,1,4
134,JUAN MANUEL FRUTOS,0,1,0
135,LA PASTORA,0,1,0
136,SAN JUAN DEL PARANA,0,1,0
137,SIMON BOLIVAR,0,1,0
138,CAPITAN MEZA,0,1,0
139,SAN JOAQUIN,0,1,0
140,BORJA,0,1,0
141,ITACURUBI DEL ROSARIO,0,1,3
142,JESUS,0,1,0
143,ISLA PUCU,0,1,0
144,SANTA ROSA DEL MBUTUY,0,1,1
145,VILLA DEL ROSARIO,0,1,0
146,3 DE FEBRERO,0,1,0
147,YUTY,0,1,0
148,YHU,0,1,0
149,TAVAI,0,1,0
150,FILADELFIA,0,1,0
151,MBOCAYATY DEL YHAGUY,0,1,1
152,SAN CARLOS,0,1,-1
153,JOSE FASSARDI,0,1,0
154,JUAN DE MENA,0,1,3
155,NUEVA GERMANIA,0,1,3
156,UNION,0,1,4
157,CARMEN DEL PARANA,0,1,0
158,PASO YOBAI,0,1,0
159,TACUARAS,0,1,0
160,YATAITY DEL NORTE,0,1,3
161,25 DE DICIEMBRE,0,1,0
162,SANTA MARIA,0,1,0
163,SANTIAGO,0,1,0
164,MCAL. FRANCISCO SOLANO LOPEZ,0,1,0
165,SAN JOSE OBRERO,0,1,0
166,ITURBE,0,1,0
167,JOSE FALCON,0,1,0
168,NATALICIO TALAVERA,0,1,0
169,ANTEQUERA,4,6,1
170,ITANARA,0,1,0
171,SAN COSME Y DAMIAN,0,1,0
172,TEBICUARYMI,0,1,2
173,ITAPUA POTY,0,1,0
174,MACIEL,0,1,0
175,SAN PATRICIO,0,1,0
176,LAURELES,0,1,0
177,BUENA VISTA,0,1,0
178,LIMA,0,1,0
179,HUMAITA,0,1,0
180,GENERAL DELGADO,0,1,4
181,YATYTAY,0,1,0
182,SAN SALVADOR,0,1,4
183,ALTO VERA,0,1,0
184,AZOTEY,0,1,0
185,SAN RAFAEL DEL PARANA,0,1,0
186,CERRITO,0,1,1
187,GENERAL BRUGUEZ,4,6,1
188,YABEBYRY,0,1,0
189,ZANJA PYTA,0,1,4
190,VILLALBIN,0,1,0
191,BAHIA NEGRA,0,1,0
192,TEMBIAPORA,0,1,0
193,TAVAPY,0,1,4
194,LEANDRO OVIEDO,0,1,4
195,ISLA UMBU,0,1,0
196,VILLA OLIVA,0,1,0
197,CARMELO PERALTA,0,1,0
198,DESMOCHADOS,0,1,0
199,R I 3 CORRALES,0,1,0
