,Distrito,Mean,Var,ACF1,Curvature,Peak,Entropy,Fspots,Cpoints,Semanas no Nulas,Semana del MAX
0,ASUNCION,6.904494488474295,52.39361865572006,0.813519297314191,-0.8632622301820294,1.0,0.5978370007556204,172.0,6.0,29.0,15.0
1,FERNANDO DE LA MORA,44.7816150676538,4841.264885319911,0.9371225968063115,0.39151123124494147,1e-07,0.1698907935538251,49.0,10.0,173.0,135.0
2,PEDRO JUAN CABALLERO,44.81912961989436,10423.023812209225,0.9285754154592873,-0.3612886219523047,1e-07,0.13177959789470292,58.0,2.0,163.0,42.0
3,YBY YAU,18.306890669018784,827.3700705327514,0.7051710402998819,-0.6774425774677812,1.0,0.5381565174829619,120.0,3.0,78.0,57.0
4,YPANE,59.67684690499759,11917.26964200588,0.9103048739625795,-0.1540816852659525,1e-07,0.1524749927432804,84.0,4.0,138.0,102.0
5,CAPIATA,49.59497677037321,13835.529163643805,0.9257310188669043,0.4248614580065724,1e-07,0.0883160387420155,79.0,4.0,172.0,134.0
6,CAPITAN BADO,8.787959663885617,26.65841712148504,0.020324743296626296,-1.1493657261236507,1.0,0.9315582040049435,166.0,10.0,28.0,2.0
7,HORQUETA,15.118765788119084,283.64695311054453,0.7357731371688068,-1.426465739089207,3.0,0.80496567177172,74.0,16.0,129.0,5.0
8,BELEN,23.805158423285587,507.0622144071085,0.19781633503425564,-1.1536719693409558,1e-07,1.024001424876935,142.0,10.0,52.0,29.0
9,CECILIO BAEZ,35.14678819622797,1650.3306772967576,0.3924063003051627,-0.5764946454100289,1e-07,1.0216512475319814,170.0,4.0,26.0,10.0
10,CONCEPCION,37.633134896282954,3709.3719406942873,0.8467197732046218,-0.9631488923677833,1e-07,0.27824114068410954,55.0,4.0,151.0,33.0
11,LAMBARE,46.06408894290325,9098.87983956852,0.9259305273493615,0.8288497113153034,1e-07,0.10508916655125634,101.0,6.0,194.0,157.0
12,BELLA VISTA,85.05546764767195,21525.09684933325,0.795696622385534,-0.5789489249655239,1e-07,0.5139250285052778,125.0,2.0,75.0,62.0
13,HERNANDARIAS,15.277592311121593,893.8250090859783,0.8905446790377214,-0.8264119722542125,3.0,0.269926085819154,128.0,4.0,105.0,27.0
14,ITAKYRY,6.252406836512147,83.00885403668907,-0.018599181130303524,-0.39385526249042124,1.0,0.7014459833746404,164.0,2.0,37.0,29.0
15,ITAUGUA,32.53261916112249,4386.911608083207,0.8471604298923862,-0.06681875287776867,2.0,0.15275536026301986,80.0,4.0,140.0,105.0
16,CORONEL OVIEDO,10.464480412476068,157.29251347522882,0.8497854117937427,-0.8517952436914084,4.0,0.40742397259349744,86.0,6.0,122.0,99.0
17,LOMA PLATA,8.490013180503512,8.446755587949523,0.03308655529798803,-0.7350892507385121,1e-07,1.5040773967762742,183.0,5.0,11.0,3.0
18,LUQUE,36.008476399680625,5016.280976362708,0.9005793835020991,0.5398380074199145,1.0,0.11595988109486834,82.0,10.0,176.0,138.0
19,MCAL. ESTIGARRIBIA,6.753023393381322,25.337068377970187,0.1632690164152971,-0.726278375200967,1.0,0.7221347174331976,171.0,2.0,23.0,16.0
20,MINGA GUAZU,6.040492576945059,56.33081092420297,0.6573411469963544,-1.2060737177788554,3.0,0.5070803010358287,122.0,8.0,83.0,16.0
21,PIRAYU,24.23774636600347,526.0997036249656,0.5170409034371631,-1.1757925643520162,1.0,0.8183103235139514,128.0,8.0,73.0,46.0
22,SAN ALBERTO,27.248615047289576,680.7057885889268,0.7261804386548639,-0.6857873067265006,1e-07,1.0296194171811581,175.0,3.0,21.0,2.0
