anio;semana;distrito_notif;tmax;tmin;tmed;td;pres_est;pres_nm;prcp;hr;helio;nub;vmax_d;vmax_f;vmed;id_estacion;casos
2009;2;ASUNCION;29.7;20.5;23.9;16.85;1001.05;1010.55;2;68;6.6;4.5;??;??;??;86218;2
2009;2;FERNANDO DE LA MORA;38;24.6;29.2;22.1;998.3;1007.6;0;68;11.1;5;??;??;??;86218;1
2009;2;PEDRO JUAN CABALLERO;27.7;21.3;23.1;20.9;947;1008.3;32.6;88.5;1.85;6.5;??;??;??;86097;2
2009;2;YBY YAU;27.4;20.65;22.65;20.475;947.1;1008.5;16.775;88.5;2.875;6.5;??;??;??;86097;4
2009;2;YPANE;29;20.2;23.3;16;1001.6;1011.2;0;66;7.5;6;??;??;??;86218;1
2009;3;ASUNCION;37;20;28.7;16.4;1000.3;1009.7;0;51;10.6;1;??;??;??;86218;1
2009;3;CAPIATA;34.66666667;19.7;27.03333333;16.86666667;1001.8;1011.233333;0;57;10.26666667;2.666666667;??;??;??;86218;3
2009;3;CAPITAN BADO;32.4;20.4;25.9;16.8;949.8;1010.5;0;59;11.4;1;??;??;??;86097;1
2009;3;HORQUETA;31.8;18.4;25.3;18.7;1000.9;1010;0;70;12.5;1;??;??;??;86134;2
2009;3;PEDRO JUAN CABALLERO;29.2;16.6;22.5;16;948.1;1009.8;0;69;??;1;??;??;??;86097;1
2009;3;YBY YAU;31.66;19.07333333;25.10333333;17.34333333;949.9;1010.896667;0.013333333;64.16666667;10.86;2.166666667;??;??;??;86097;30
2009;4;ASUNCION;32.66666667;21.8;25.43333333;21.13333333;999.7333333;1009.166667;0.8;79.33333333;4.666666667;6.666666667;??;??;??;86218;3
2009;4;BELEN;31.6;21.5;22;20.9;1001.3;1010.6;13.2;94;0;8;??;??;??;86134;1
2009;4;CAPIATA;29.4;25.4;24.7;22.7;999;1008.4;19.6;89;2.4;7;??;??;??;86218;1
2009;4;CAPITAN BADO;24.2;19.2;21;20.4;947.7;1009.6;24.2;97;0.4;7;??;??;??;86097;2
2009;4;CECILIO BAEZ;33.5;23.5;27.8;16.4;990.5;1012.4;2;51;??;6;??;??;??;86192;1
2009;4;CONCEPCION;38.5;26.6;29.9;23.1;1000;1009;0.8;69;8.5;7;??;??;??;86134;1
2009;4;HORQUETA;33.5;23.05;27.65;22.4;1000.35;1009.45;0;75.5;7.05;5.5;??;??;??;86134;2
2009;4;LAMBARE;38.2;25.8;31.3;21.2;999.4;1008.7;13.6;57;2.1;6;??;??;??;86218;1
2009;4;PEDRO JUAN CABALLERO;28.575;20.775;23.075;20.65;947.5375;1008.8875;17.5875;88.5;4.0125;6.375;??;??;??;86097;8
2009;4;YBY YAU;33.49032258;21.8516129;26.78709677;20.45806452;948.9774194;1009.532258;14.03870968;71.06451613;9.129032258;4.483870968;??;??;??;86097;31
