Dep-Prov-Distrito,Cluster KM Eu,Cluster HAC Eu,Cluster DB Pear
"AMAZONAS, BAGUA, ARAMANGO",0,3,0
"AMAZONAS, BAGUA, BAGUA",4,0,-1
"AMAZONAS, BAGUA, COPALLIN",0,3,1
"AMAZONAS, BAGUA, EL PARCO",0,3,1
"AMAZONAS, BAGUA, IMAZA",0,3,-1
"AMAZONAS, BAGUA, LA PECA",0,3,1
"AMAZONAS, BONGARA, FLORIDA",0,3,1
"AMAZONAS, BONGARA, JAZAN",0,3,1
"AMAZONAS, CHACHAPOYAS, CHACHAPOYAS",4,0,2
"AMAZONAS, CONDORCANQUI, EL CENEPA",0,3,1
"AMAZONAS, CONDORCANQUI, NIEVA",0,3,2
"AMAZONAS, CONDORCANQUI, RIO SANTIAGO",0,3,1
"AMAZONAS, UTCUBAMBA, BAGUA GRANDE",1,4,0
"AMAZONAS, UTCUBAMBA, CAJARURO",4,0,-1
"AMAZONAS, UTCUBAMBA, CUMBA",0,3,1
"AMAZONAS, UTCUBAMBA, EL MILAGRO",0,3,1
"AMAZONAS, UTCUBAMBA, JAMALCA",0,3,1
"AMAZONAS, UTCUBAMBA, YAMON",0,3,1
"ANCASH, CASMA, BUENA VISTA ALTA",0,3,1
"ANCASH, CASMA, CASMA",3,2,0
"ANCASH, CASMA, COMANDANTE NOEL",0,3,1
"ANCASH, HUARMEY, HUARMEY",5,5,0
"ANCASH, SANTA, CHIMBOTE",2,5,2
"ANCASH, SANTA, COISHCO",0,3,1
"ANCASH, SANTA, NEPEÑA",0,3,1
"ANCASH, SANTA, NUEVO CHIMBOTE",0,3,2
"ANCASH, SANTA, SANTA",0,3,1
"AREQUIPA, CARAVELI, BELLA UNION",0,3,1
"AYACUCHO, CANGALLO, CANGALLO",0,3,1
"AYACUCHO, HUAMANGA, AYACUCHO",0,3,2
"AYACUCHO, HUAMANGA, JESUS NAZARENO",0,3,1
"AYACUCHO, HUAMANGA, SAN JUAN BAUTISTA",0,3,1
"AYACUCHO, HUANTA, CANAYRE",0,3,0
"AYACUCHO, HUANTA, HUANTA",0,3,1
"AYACUCHO, HUANTA, LLOCHEGUA",0,3,1
"AYACUCHO, HUANTA, SANTILLANA",0,3,1
"AYACUCHO, HUANTA, SIVIA",0,3,-1
"AYACUCHO, LA MAR, ANCHIHUAY",0,3,-1
"AYACUCHO, LA MAR, ANCO",0,3,-1
"AYACUCHO, LA MAR, AYNA",0,3,2
"AYACUCHO, LA MAR, CHUNGUI",0,3,1
"AYACUCHO, LA MAR, SAMUGARI",0,3,1
"AYACUCHO, LA MAR, SAN MIGUEL",0,3,1
"AYACUCHO, LA MAR, SANTA ROSA",2,5,3
"AYACUCHO, LUCANAS, LUCANAS",0,3,1
"AYACUCHO, PAUCAR DEL SARA SARA, SAN JAVIER DE ALPABAMBA",0,3,1
"AYACUCHO, SUCRE, SAN PEDRO DE LARCAY",0,3,1
"CAJAMARCA, CAJAMARCA, CAJAMARCA",0,3,-1
"CAJAMARCA, CAJAMARCA, MAGDALENA",0,3,1
"CAJAMARCA, CHOTA, CHOTA",0,3,1
"CAJAMARCA, CHOTA, HUAMBOS",0,3,1
"CAJAMARCA, CONTUMAZA, CHILETE",4,0,2
"CAJAMARCA, CONTUMAZA, CONTUMAZA",0,3,1
"CAJAMARCA, CONTUMAZA, TANTARICA",0,3,0
"CAJAMARCA, CONTUMAZA, YONAN",0,3,1
"CAJAMARCA, CUTERVO, CALLAYUC",0,3,1
"CAJAMARCA, CUTERVO, CUTERVO",0,3,1
"CAJAMARCA, CUTERVO, QUEROCOTILLO",0,3,1
"CAJAMARCA, CUTERVO, SANTO TOMAS",0,3,1
"CAJAMARCA, HUALGAYOC, HUALGAYOC",0,3,1
"CAJAMARCA, JAEN, BELLAVISTA",0,3,1
"CAJAMARCA, JAEN, COLASAY",0,3,1
"CAJAMARCA, JAEN, HUABAL",0,3,1
"CAJAMARCA, JAEN, JAEN",0,3,2
"CAJAMARCA, JAEN, PUCARA",0,3,2
"CAJAMARCA, JAEN, SAN JOSE DEL ALTO",4,0,2
"CAJAMARCA, JAEN, SANTA ROSA",0,3,1
"CAJAMARCA, SAN IGNACIO, CHIRINOS",4,3,2
"CAJAMARCA, SAN IGNACIO, HUARANGO",2,0,2
"CAJAMARCA, SAN IGNACIO, LA COIPA",0,3,1
"CAJAMARCA, SAN IGNACIO, NAMBALLE",0,3,0
"CAJAMARCA, SAN IGNACIO, SAN IGNACIO",0,3,2
"CAJAMARCA, SAN IGNACIO, SAN JOSE DE LOURDES",0,3,1
"CAJAMARCA, SANTA CRUZ, NINABAMBA",0,3,-1
"CALLAO, CALLAO, VENTANILLA",0,3,1
"CUSCO, CALCA, YANATILE",0,3,1
"CUSCO, CUSCO, CUSCO",0,3,1
"CUSCO, LA CONVENCION, ECHARATE",0,3,2
"CUSCO, LA CONVENCION, HUAYOPATA",0,3,1
"CUSCO, LA CONVENCION, KIMBIRI",0,3,2
"CUSCO, LA CONVENCION, MARANURA",0,3,1
"CUSCO, LA CONVENCION, MEGANTONI",0,3,1
"CUSCO, LA CONVENCION, PICHARI",1,4,0
"CUSCO, LA CONVENCION, QUELLOUNO",0,3,1
"CUSCO, LA CONVENCION, SANTA ANA",0,3,2
"CUSCO, LA CONVENCION, SANTA TERESA",0,3,1
"CUSCO, LA CONVENCION, VILCABAMBA",0,3,1
"CUSCO, LA CONVENCION, VILLA KINTIARINA",0,3,1
"CUSCO, LA CONVENCION, VILLA VIRGEN",0,3,1
"CUSCO, PAUCARTAMBO, KOSÑIPATA",0,3,1
"CUSCO, QUISPICANCHI, CAMANTI",0,3,1
"HUANUCO, AMBO, AMBO",0,3,-1
"HUANUCO, HUAMALIES, MONZON",5,1,2
"HUANUCO, HUANUCO, AMARILIS",0,3,4
"HUANUCO, HUANUCO, CHINCHAO",0,3,1
"HUANUCO, HUANUCO, HUANUCO",0,3,2
"HUANUCO, HUANUCO, PILLCO MARCA",0,3,-1
"HUANUCO, HUANUCO, SANTA MARIA DEL VALLE",0,3,1
"HUANUCO, LAURICOCHA, JIVIA",0,3,1
"HUANUCO, LEONCIO PRADO, CASTILLO GRANDE",0,3,1
"HUANUCO, LEONCIO PRADO, DANIEL ALOMIA ROBLES",0,3,2
"HUANUCO, LEONCIO PRADO, HERMILIO VALDIZAN",2,0,2
"HUANUCO, LEONCIO PRADO, JOSE CRESPO Y CASTILLO",0,3,3
"HUANUCO, LEONCIO PRADO, LUYANDO",4,0,2
"HUANUCO, LEONCIO PRADO, MARIANO DAMASO BERAUN",5,1,-1
"HUANUCO, LEONCIO PRADO, PUEBLO NUEVO",0,3,1
"HUANUCO, LEONCIO PRADO, RUPA-RUPA",4,0,2
"HUANUCO, MARAÑON, CHOLON",0,3,1
"HUANUCO, PACHITEA, PANAO",0,3,1
"HUANUCO, PACHITEA, UMARI",0,3,1
"HUANUCO, PUERTO INCA, CODO DEL POZUZO",0,3,2
"HUANUCO, PUERTO INCA, HONORIA",0,3,2
"HUANUCO, PUERTO INCA, PUERTO INCA",2,5,3
"HUANUCO, PUERTO INCA, TOURNAVISTA",0,3,1
"HUANUCO, PUERTO INCA, YUYAPICHIS",4,0,2
"ICA, CHINCHA, ALTO LARAN",0,3,1
"ICA, CHINCHA, CHINCHA ALTA",0,3,1
"ICA, CHINCHA, CHINCHA BAJA",0,3,1
"ICA, CHINCHA, EL CARMEN",0,3,1
"ICA, CHINCHA, GROCIO PRADO",0,3,1
"ICA, CHINCHA, PUEBLO NUEVO",0,3,1
"ICA, CHINCHA, SUNAMPE",0,3,1
"ICA, CHINCHA, TAMBO DE MORA",0,3,1
"ICA, ICA, ICA",0,3,2
"ICA, ICA, LA TINGUIÑA",5,5,2
"ICA, ICA, LOS AQUIJES",0,3,1
"ICA, ICA, OCUCAJE",0,3,1
"ICA, ICA, PACHACUTEC",0,3,-1
"ICA, ICA, PARCONA",0,3,2
"ICA, ICA, PUEBLO NUEVO",0,3,1
"ICA, ICA, SALAS",0,3,1
"ICA, ICA, SAN JOSE DE LOS MOLINOS",0,3,1
"ICA, ICA, SAN JUAN BAUTISTA",0,3,2
"ICA, ICA, SANTIAGO",0,3,1
"ICA, ICA, SUBTANJALLA",2,0,2
"ICA, ICA, TATE",0,3,2
"ICA, ICA, YAUCA DEL ROSARIO",0,3,1
"ICA, NASCA, CHANGUILLO",0,3,1
"ICA, NASCA, EL INGENIO",0,3,1
"ICA, NASCA, MARCONA",0,3,1
"ICA, NASCA, NASCA",0,3,2
"ICA, NASCA, VISTA ALEGRE",0,3,1
"ICA, PALPA, LLIPATA",0,3,1
"ICA, PALPA, PALPA",0,3,1
"ICA, PALPA, RIO GRANDE",0,3,1
"ICA, PALPA, SANTA CRUZ",0,3,1
"ICA, PISCO, HUANCANO",0,3,1
"ICA, PISCO, HUMAY",0,3,1
"ICA, PISCO, INDEPENDENCIA",0,3,1
"ICA, PISCO, PARACAS",0,3,1
"ICA, PISCO, PISCO",0,3,1
"ICA, PISCO, SAN ANDRES",0,3,1
"ICA, PISCO, SAN CLEMENTE",0,3,1
"ICA, PISCO, TUPAC AMARU INCA",0,3,1
"JUNIN, CHANCHAMAYO, CHANCHAMAYO",2,0,-1
"JUNIN, CHANCHAMAYO, PERENE",0,3,0
"JUNIN, CHANCHAMAYO, PICHANAQUI",4,0,-1
"JUNIN, CHANCHAMAYO, SAN LUIS DE SHUARO",0,3,1
"JUNIN, CHANCHAMAYO, SAN RAMON",0,3,2
"JUNIN, CHANCHAMAYO, VITOC",0,3,1
"JUNIN, HUANCAYO, EL TAMBO",0,3,1
"JUNIN, HUANCAYO, SANTO DOMINGO DE ACOBAMBA",0,3,1
"JUNIN, HUANCAYO, SAPALLANGA",0,3,1
"JUNIN, JUNIN, JUNIN",0,3,1
"JUNIN, SATIPO, COVIRIALI",2,0,-1
"JUNIN, SATIPO, LLAYLLA",0,3,1
"JUNIN, SATIPO, MAZAMARI",0,3,2
"JUNIN, SATIPO, PAMPA HERMOSA",0,3,1
"JUNIN, SATIPO, PANGOA",2,5,3
"JUNIN, SATIPO, RIO NEGRO",0,3,0
"JUNIN, SATIPO, RIO TAMBO",0,3,-1
"JUNIN, SATIPO, SATIPO",5,1,2
"JUNIN, SATIPO, VIZCATAN DEL ENE",0,3,1
"JUNIN, YAULI, LA OROYA",0,3,1
"LA LIBERTAD, ASCOPE, ASCOPE",0,3,2
"LA LIBERTAD, ASCOPE, CASA GRANDE",4,0,2
"LA LIBERTAD, ASCOPE, CHICAMA",0,3,-1
"LA LIBERTAD, ASCOPE, CHOCOPE",0,3,2
"LA LIBERTAD, ASCOPE, PAIJAN",4,0,2
"LA LIBERTAD, ASCOPE, SANTIAGO DE CAO",0,3,1
"LA LIBERTAD, CHEPEN, CHEPEN",0,3,2
"LA LIBERTAD, CHEPEN, PACANGA",0,3,2
"LA LIBERTAD, CHEPEN, PUEBLO NUEVO",0,3,1
"LA LIBERTAD, GRAN CHIMU, CASCAS",4,0,2
"LA LIBERTAD, PACASMAYO, GUADALUPE",0,3,1
"LA LIBERTAD, PACASMAYO, JEQUETEPEQUE",0,3,1
"LA LIBERTAD, PACASMAYO, PACASMAYO",0,3,1
