Dep-Prov-Distrito,Cluster KM Eu,Cluster HAC Eu,Cluster DB Pear
"AMAZONAS, BAGUA, ARAMANGO",1,3,0
"AMAZONAS, BAGUA, BAGUA",0,0,-1
"AMAZONAS, BAGUA, COPALLIN",1,3,1
"AMAZONAS, BAGUA, EL PARCO",1,3,1
"AMAZONAS, BAGUA, IMAZA",1,3,-1
"AMAZONAS, BAGUA, LA PECA",1,3,1
"AMAZONAS, BONGARA, FLORIDA",1,3,1
"AMAZONAS, BONGARA, JAZAN",1,3,1
"AMAZONAS, CHACHAPOYAS, CHACHAPOYAS",0,0,2
"AMAZONAS, CONDORCANQUI, EL CENEPA",1,3,1
"AMAZONAS, CONDORCANQUI, NIEVA",1,3,2
"AMAZONAS, CONDORCANQUI, RIO SANTIAGO",1,3,1
"AMAZONAS, UTCUBAMBA, BAGUA GRANDE",2,4,0
"AMAZONAS, UTCUBAMBA, CAJARURO",0,0,-1
"AMAZONAS, UTCUBAMBA, CUMBA",1,3,1
"AMAZONAS, UTCUBAMBA, EL MILAGRO",1,3,1
"AMAZONAS, UTCUBAMBA, JAMALCA",1,3,1
"AMAZONAS, UTCUBAMBA, YAMON",1,3,1
"ANCASH, CASMA, BUENA VISTA ALTA",1,3,1
"ANCASH, CASMA, CASMA",3,2,0
"ANCASH, CASMA, COMANDANTE NOEL",1,3,1
"ANCASH, HUARMEY, HUARMEY",4,5,0
"ANCASH, SANTA, CHIMBOTE",5,5,2
"ANCASH, SANTA, COISHCO",1,3,1
"ANCASH, SANTA, NEPEÑA",1,3,1
"ANCASH, SANTA, NUEVO CHIMBOTE",1,3,2
"ANCASH, SANTA, SANTA",1,3,1
"AREQUIPA, CARAVELI, BELLA UNION",1,3,1
"AYACUCHO, CANGALLO, CANGALLO",1,3,1
"AYACUCHO, HUAMANGA, AYACUCHO",1,3,2
"AYACUCHO, HUAMANGA, JESUS NAZARENO",1,3,1
"AYACUCHO, HUAMANGA, SAN JUAN BAUTISTA",1,3,1
"AYACUCHO, HUANTA, CANAYRE",1,3,0
"AYACUCHO, HUANTA, HUANTA",1,3,1
"AYACUCHO, HUANTA, LLOCHEGUA",1,3,1
"AYACUCHO, HUANTA, SANTILLANA",1,3,1
"AYACUCHO, HUANTA, SIVIA",1,3,-1
"AYACUCHO, LA MAR, ANCHIHUAY",1,3,-1
"AYACUCHO, LA MAR, ANCO",1,3,-1
"AYACUCHO, LA MAR, AYNA",1,3,2
"AYACUCHO, LA MAR, CHUNGUI",1,3,1
"AYACUCHO, LA MAR, SAMUGARI",1,3,1
"AYACUCHO, LA MAR, SAN MIGUEL",1,3,1
"AYACUCHO, LA MAR, SANTA ROSA",5,5,3
"AYACUCHO, LUCANAS, LUCANAS",1,3,1
"AYACUCHO, PAUCAR DEL SARA SARA, SAN JAVIER DE ALPABAMBA",1,3,1
"AYACUCHO, SUCRE, SAN PEDRO DE LARCAY",1,3,1
"CAJAMARCA, CAJAMARCA, CAJAMARCA",1,3,-1
"CAJAMARCA, CAJAMARCA, MAGDALENA",1,3,1
"CAJAMARCA, CHOTA, CHOTA",1,3,1
"CAJAMARCA, CHOTA, HUAMBOS",1,3,1
"CAJAMARCA, CONTUMAZA, CHILETE",0,0,2
"CAJAMARCA, CONTUMAZA, CONTUMAZA",1,3,1
"CAJAMARCA, CONTUMAZA, TANTARICA",1,3,0
"CAJAMARCA, CONTUMAZA, YONAN",1,3,1
"CAJAMARCA, CUTERVO, CALLAYUC",1,3,1
"CAJAMARCA, CUTERVO, CUTERVO",1,3,1
"CAJAMARCA, CUTERVO, QUEROCOTILLO",1,3,1
"CAJAMARCA, CUTERVO, SANTO TOMAS",1,3,1
"CAJAMARCA, HUALGAYOC, HUALGAYOC",1,3,1
"CAJAMARCA, JAEN, BELLAVISTA",1,3,-1
"CAJAMARCA, JAEN, COLASAY",1,3,1
"CAJAMARCA, JAEN, HUABAL",1,3,1
"CAJAMARCA, JAEN, JAEN",1,3,2
"CAJAMARCA, JAEN, PUCARA",1,3,2
"CAJAMARCA, JAEN, SAN JOSE DEL ALTO",0,0,2
"CAJAMARCA, JAEN, SANTA ROSA",1,3,1
"CAJAMARCA, SAN IGNACIO, CHIRINOS",0,3,2
"CAJAMARCA, SAN IGNACIO, HUARANGO",0,0,2
"CAJAMARCA, SAN IGNACIO, LA COIPA",1,3,1
"CAJAMARCA, SAN IGNACIO, NAMBALLE",1,3,0
"CAJAMARCA, SAN IGNACIO, SAN IGNACIO",1,3,2
"CAJAMARCA, SAN IGNACIO, SAN JOSE DE LOURDES",1,3,1
"CAJAMARCA, SANTA CRUZ, NINABAMBA",1,3,-1
"CALLAO, CALLAO, VENTANILLA",1,3,1
"CUSCO, CALCA, YANATILE",1,3,1
"CUSCO, CUSCO, CUSCO",1,3,1
"CUSCO, LA CONVENCION, ECHARATE",1,3,2
"CUSCO, LA CONVENCION, HUAYOPATA",1,3,1
"CUSCO, LA CONVENCION, KIMBIRI",1,3,2
"CUSCO, LA CONVENCION, MARANURA",1,3,1
"CUSCO, LA CONVENCION, MEGANTONI",1,3,1
"CUSCO, LA CONVENCION, PICHARI",2,4,0
"CUSCO, LA CONVENCION, QUELLOUNO",1,3,1
"CUSCO, LA CONVENCION, SANTA ANA",1,3,2
"CUSCO, LA CONVENCION, SANTA TERESA",1,3,1
"CUSCO, LA CONVENCION, VILCABAMBA",1,3,1
"CUSCO, LA CONVENCION, VILLA KINTIARINA",1,3,1
"CUSCO, LA CONVENCION, VILLA VIRGEN",1,3,1
"CUSCO, PAUCARTAMBO, KOSÑIPATA",1,3,1
"CUSCO, QUISPICANCHI, CAMANTI",1,3,1
"HUANUCO, AMBO, AMBO",1,3,-1
"HUANUCO, HUAMALIES, MONZON",4,1,2
"HUANUCO, HUANUCO, AMARILIS",1,3,4
"HUANUCO, HUANUCO, CHINCHAO",1,3,1
"HUANUCO, HUANUCO, HUANUCO",1,3,2
"HUANUCO, HUANUCO, PILLCO MARCA",1,3,-1
"HUANUCO, HUANUCO, SANTA MARIA DEL VALLE",1,3,1
"HUANUCO, LAURICOCHA, JIVIA",1,3,1
"HUANUCO, LEONCIO PRADO, CASTILLO GRANDE",1,3,1
"HUANUCO, LEONCIO PRADO, DANIEL ALOMIA ROBLES",1,3,2
"HUANUCO, LEONCIO PRADO, HERMILIO VALDIZAN",5,0,2
"HUANUCO, LEONCIO PRADO, JOSE CRESPO Y CASTILLO",1,3,3
"HUANUCO, LEONCIO PRADO, LUYANDO",0,0,2
"HUANUCO, LEONCIO PRADO, MARIANO DAMASO BERAUN",4,1,-1
"HUANUCO, LEONCIO PRADO, PUEBLO NUEVO",1,3,1
"HUANUCO, LEONCIO PRADO, RUPA-RUPA",0,0,2
"HUANUCO, MARAÑON, CHOLON",1,3,1
"HUANUCO, PACHITEA, PANAO",1,3,1
"HUANUCO, PACHITEA, UMARI",1,3,1
"HUANUCO, PUERTO INCA, CODO DEL POZUZO",1,3,2
"HUANUCO, PUERTO INCA, HONORIA",1,3,2
"HUANUCO, PUERTO INCA, PUERTO INCA",5,5,3
"HUANUCO, PUERTO INCA, TOURNAVISTA",1,3,1
"HUANUCO, PUERTO INCA, YUYAPICHIS",0,0,2
"ICA, CHINCHA, ALTO LARAN",1,3,1
"ICA, CHINCHA, CHINCHA ALTA",1,3,1
"ICA, CHINCHA, CHINCHA BAJA",1,3,1
"ICA, CHINCHA, EL CARMEN",1,3,1
"ICA, CHINCHA, GROCIO PRADO",1,3,1
"ICA, CHINCHA, PUEBLO NUEVO",1,3,1
"ICA, CHINCHA, SUNAMPE",1,3,1
"ICA, CHINCHA, TAMBO DE MORA",1,3,1
"ICA, ICA, ICA",1,3,2
"ICA, ICA, LA TINGUIÑA",5,5,2
"ICA, ICA, LOS AQUIJES",1,3,1
"ICA, ICA, OCUCAJE",1,3,1
"ICA, ICA, PACHACUTEC",1,3,-1
"ICA, ICA, PARCONA",1,3,2
"ICA, ICA, PUEBLO NUEVO",1,3,1
"ICA, ICA, SALAS",1,3,1
"ICA, ICA, SAN JOSE DE LOS MOLINOS",1,3,1
"ICA, ICA, SAN JUAN BAUTISTA",1,3,2
"ICA, ICA, SANTIAGO",1,3,1
"ICA, ICA, SUBTANJALLA",0,0,2
"ICA, ICA, TATE",1,3,2
"ICA, ICA, YAUCA DEL ROSARIO",1,3,1
"ICA, NASCA, CHANGUILLO",1,3,1
"ICA, NASCA, EL INGENIO",1,3,1
"ICA, NASCA, MARCONA",1,3,1
"ICA, NASCA, NASCA",1,3,2
"ICA, NASCA, VISTA ALEGRE",1,3,1
"ICA, PALPA, LLIPATA",1,3,1
"ICA, PALPA, PALPA",1,3,1
"ICA, PALPA, RIO GRANDE",1,3,1
"ICA, PALPA, SANTA CRUZ",1,3,1
"ICA, PISCO, HUANCANO",1,3,1
"ICA, PISCO, HUMAY",1,3,1
"ICA, PISCO, INDEPENDENCIA",1,3,1
"ICA, PISCO, PARACAS",1,3,1
"ICA, PISCO, PISCO",1,3,1
"ICA, PISCO, SAN ANDRES",1,3,1
"ICA, PISCO, SAN CLEMENTE",1,3,1
"ICA, PISCO, TUPAC AMARU INCA",1,3,1
"JUNIN, CHANCHAMAYO, CHANCHAMAYO",5,0,-1
"JUNIN, CHANCHAMAYO, PERENE",1,3,0
"JUNIN, CHANCHAMAYO, PICHANAQUI",0,0,-1
"JUNIN, CHANCHAMAYO, SAN LUIS DE SHUARO",1,3,1
"JUNIN, CHANCHAMAYO, SAN RAMON",1,3,2
"JUNIN, CHANCHAMAYO, VITOC",1,3,1
"JUNIN, HUANCAYO, EL TAMBO",1,3,1
"JUNIN, HUANCAYO, SANTO DOMINGO DE ACOBAMBA",1,3,1
"JUNIN, HUANCAYO, SAPALLANGA",1,3,1
"JUNIN, JUNIN, JUNIN",1,3,1
"JUNIN, SATIPO, COVIRIALI",5,0,-1
"JUNIN, SATIPO, LLAYLLA",1,3,1
"JUNIN, SATIPO, MAZAMARI",1,3,2
"JUNIN, SATIPO, PAMPA HERMOSA",1,3,1
"JUNIN, SATIPO, PANGOA",5,5,3
"JUNIN, SATIPO, RIO NEGRO",1,3,0
"JUNIN, SATIPO, RIO TAMBO",1,3,-1
"JUNIN, SATIPO, SATIPO",4,1,2
"JUNIN, SATIPO, VIZCATAN DEL ENE",1,3,1
"JUNIN, YAULI, LA OROYA",1,3,1
"LA LIBERTAD, ASCOPE, ASCOPE",1,3,2
"LA LIBERTAD, ASCOPE, CASA GRANDE",0,0,2
"LA LIBERTAD, ASCOPE, CHICAMA",1,3,-1
"LA LIBERTAD, ASCOPE, CHOCOPE",1,3,2
"LA LIBERTAD, ASCOPE, PAIJAN",0,0,2
"LA LIBERTAD, ASCOPE, SANTIAGO DE CAO",1,3,1
"LA LIBERTAD, CHEPEN, CHEPEN",1,3,2
"LA LIBERTAD, CHEPEN, PACANGA",1,3,2
"LA LIBERTAD, CHEPEN, PUEBLO NUEVO",1,3,1
"LA LIBERTAD, GRAN CHIMU, CASCAS",0,0,2
"LA LIBERTAD, PACASMAYO, GUADALUPE",1,3,1
"LA LIBERTAD, PACASMAYO, JEQUETEPEQUE",1,3,1
"LA LIBERTAD, PACASMAYO, PACASMAYO",1,3,1
"LA LIBERTAD, PACASMAYO, SAN JOSE",1,3,1
"LA LIBERTAD, PACASMAYO, SAN PEDRO DE LLOC",1,3,1
"LA LIBERTAD, PATAZ, PATAZ",0,0,2
"LA LIBERTAD, SANCHEZ CARRION, COCHORCO",1,3,1
"LA LIBERTAD, TRUJILLO, EL PORVENIR",1,3,0
"LA LIBERTAD, TRUJILLO, FLORENCIA DE MORA",1,3,0
"LA LIBERTAD, TRUJILLO, HUANCHACO",1,3,2
"LA LIBERTAD, TRUJILLO, LA ESPERANZA",2,4,-1
"LA LIBERTAD, TRUJILLO, LAREDO",1,3,-1
"LA LIBERTAD, TRUJILLO, MOCHE",1,3,2
"LA LIBERTAD, TRUJILLO, SALAVERRY",1,3,1
"LA LIBERTAD, TRUJILLO, TRUJILLO",0,0,0
"LA LIBERTAD, TRUJILLO, VICTOR LARCO HERRERA",1,3,1
"LA LIBERTAD, VIRU, CHAO",1,3,1
"LA LIBERTAD, VIRU, GUADALUPITO",1,3,1
"LA LIBERTAD, VIRU, VIRU",5,5,-1
"LAMBAYEQUE, CHICLAYO, CAYALTI",1,3,1
