Dep-Prov-Distrito,Mean,Var,aCF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KlScore,ChangeIdx
"AMAZONAS, BAGUA, ARAMANGO",0.12240754717974903,2.367410001450038,1e-11,0.21739054282455983,0.002190153821502967,-0.980098640173376,0.3503701453476382,4.0,6.0,0.9971294601207289,35.41005201324613,0.005685961310624115,0.973139999999501,94.70014595990268,15,1.0,222.52721129792997,47.0
"AMAZONAS, BAGUA, BAGUA",2.358744654097205,104.0622909314857,1e-11,0.7455036623298721,0.12428852740223363,-56.78866392921452,0.42003056630230706,3.0,1e-11,0.8062825436824619,32179.645286176332,0.14446104007281887,3.8047599999995008,1683.9668204220297,31,4.0,701.4666000794837,22.0
"AMAZONAS, BAGUA, COPALLIN",9.999999999999978e-12,4.4111058203670026e-52,1e-11,0.0006084145142233321,1e-11,9.087677628146056e-27,0.5582115014824858,1e-11,6.0,9.078781069687787e-32,1e-11,1.3211062673825093e-108,1e-11,1e-11,15,1e-11,1e-11,1e-11
"AMAZONAS, BAGUA, EL PARCO",9.999999999999985e-12,2.114198647631522e-52,1e-11,0.19492161832347688,1e-11,1.0097419586828951e-27,0.5973979278588473,1e-11,6.0,2.9268022614948985e-31,1.5139412764473426e-108,3.0363184809039343e-108,1e-11,1e-11,10,1e-11,1e-11,1e-11
"AMAZONAS, BAGUA, IMAZA",0.015866716991094338,0.06646271484815068,1e-11,0.3672825172304174,0.010771375753433184,-0.3980237143518994,0.6866408674903011,3.0,1e-11,0.9984567143495281,0.05154062537460391,4.0707027275253333e-07,0.2102339999995,4.419833475578977,26,1.0,29.39821504429667,3.0
"AMAZONAS, BAGUA, LA PECA",1.0000000000000001e-11,2.61012178719941e-54,1e-11,0.4172757458612155,1e-11,-1.6155871338926322e-27,0.6685401568764624,1e-11,6.0,2.503561761068131e-31,1e-11,1.3576987901545211e-107,1e-11,1e-11,21,1e-11,1e-11,1e-11
"AMAZONAS, BONGARA, FLORIDA",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"AMAZONAS, BONGARA, JAZAN",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"AMAZONAS, CHACHAPOYAS, CHACHAPOYAS",3.5405344811413246,284.3071811508872,1e-11,0.9752131551764714,0.12105499876707307,-65.0092214986758,0.8280367451459074,1e-11,1.0,0.7779786706248853,249655.9158597423,0.015615097908945495,7.7266999999994965,1959.604103276666,21,1e-11,1012.5567741460079,10.0
"AMAZONAS, CONDORCANQUI, EL CENEPA",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"AMAZONAS, CONDORCANQUI, NIEVA",0.3036230188775137,2.8393546414318713,1e-11,0.9506818537653375,0.09146932099984323,-5.72718651220802,0.5603558845645279,1e-11,4.0,0.7987115909758901,34.947288562847305,8.379506437728365e-06,0.8045999999994997,20.230587494991653,26,1e-11,233.58231509006413,6.0
"AMAZONAS, CONDORCANQUI, RIO SANTIAGO",0.04867509434955975,0.3743438398164743,1e-11,0.2137214249406425,0.007510815574427224,-0.7217297927740508,0.3348132393327714,5.0,1.0,0.9971294601207288,0.8853622288302037,0.00014223633878856007,0.3869669999995,14.974345908861306,15,1.0,109.20419020973907,24.0
"AMAZONAS, UTCUBAMBA, BAGUA GRANDE",14.682394402524494,4316.413543298338,1e-11,0.848190689607647,0.07634375139078907,-336.2438559448283,0.36422851201330675,1e-11,4.0,0.7348694629230501,66207004.47172574,144.58154365251434,29.401299999999505,102528.27257479378,31,4.0,4570.537370603624,25.0
"AMAZONAS, UTCUBAMBA, CAJARURO",1.7507375849147213,64.97666415016758,1e-11,0.5575777241387443,0.0450057127967912,-19.864583549090618,0.3232560886851359,1e-11,4.0,0.9010233345054324,12294.683018149748,0.5671905860046943,4.4179999999995,1951.8723999995582,26,4.0,669.0079422646334,5.0
"AMAZONAS, UTCUBAMBA, CUMBA",9.999999999999985e-12,2.114198647631522e-52,1e-11,0.19492161832347688,1e-11,1.0097419586828951e-27,0.5973979278588473,1e-11,6.0,2.9268022614948985e-31,1.5139412764473426e-108,3.0363184809039343e-108,1e-11,1e-11,10,1e-11,1e-11,1e-11
"AMAZONAS, UTCUBAMBA, EL MILAGRO",1.0000000000000001e-11,2.61012178719941e-54,1e-11,0.4172757458612155,1e-11,-1.6155871338926322e-27,0.6685401568764624,1e-11,6.0,2.503561761068131e-31,1e-11,1.3576987901545211e-107,1e-11,1e-11,21,1e-11,1e-11,1e-11
"AMAZONAS, UTCUBAMBA, JAMALCA",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"AMAZONAS, UTCUBAMBA, YAMON",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"ANCASH, CASMA, BUENA VISTA ALTA",9.999999999999978e-12,4.4111058203670026e-52,1e-11,0.0006084145142233321,1e-11,9.087677628146056e-27,0.5582115014824858,1e-11,6.0,9.078781069687787e-32,1e-11,1.3211062673825093e-108,1e-11,1e-11,15,1e-11,1e-11,1e-11
"ANCASH, CASMA, CASMA",33.877984433971044,15067.421271201918,1e-11,0.8023276407596401,0.08006820070965841,-497.67374218804844,0.32804948914039134,1e-11,1.0,0.7355612428982549,390139109.6751707,4458.500115407767,42.95534999999949,173494.44891224525,21,1.0,7831.396928332926,31.0
"ANCASH, CASMA, COMANDANTE NOEL",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"ANCASH, HUARMEY, HUARMEY",21.045481132083022,2822.5710699285814,1e-11,0.7534886789704154,0.010239693762011065,-62.12108487063166,0.31924089073164263,5.0,4.0,0.7210524004557483,6482159.536102303,432.78384940420176,14.796249999999505,25217.85298224818,10,1.0,2079.364971196461,37.0
"ANCASH, SANTA, CHIMBOTE",9.702911169818568,776.4140704223742,1e-11,0.9436264512663496,0.23474722509348203,-203.6834782994776,0.24269561934178607,3.0,4.0,0.6171661579539031,430970.94091298693,0.7200401136448675,9.132399999999503,2490.4409949624924,26,1.0,1664.9716963011333,9.0
"ANCASH, SANTA, COISHCO",9.999999999999985e-12,2.114198647631522e-52,1e-11,0.19492161832347688,1e-11,1.0097419586828951e-27,0.5973979278588473,1e-11,6.0,2.9268022614948985e-31,1.5139412764473426e-108,3.0363184809039343e-108,1e-11,1e-11,10,1e-11,1e-11,1e-11
"ANCASH, SANTA, NEPEÑA",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"ANCASH, SANTA, NUEVO CHIMBOTE",0.26035471699094076,3.5247980900198397,1e-11,0.8533994141413994,0.055537974683543885,-2.2133009676538737,0.6402984307451485,2.0,3.0,0.8669173794551963,64.4619910699451,5.681419405415544e-05,0.6899399999995016,63.46896047990802,15,1e-11,1.0508658731220482e-05,53.0
"ANCASH, SANTA, SANTA",9.999999999999985e-12,2.114198647631522e-52,1e-11,0.19492161832347688,1e-11,1.0097419586828951e-27,0.5973979278588473,1e-11,6.0,2.9268022614948985e-31,1.5139412764473426e-108,3.0363184809039343e-108,1e-11,1e-11,10,1e-11,1e-11,1e-11
"AREQUIPA, CARAVELI, BELLA UNION",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"AYACUCHO, CANGALLO, CANGALLO",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"AYACUCHO, HUAMANGA, AYACUCHO",1.6630554717073618,95.60901678096195,1e-11,0.8204112976993678,0.08120690286528312,-11.275847895222254,0.6798173591909251,1e-11,2.0,0.916378811541546,32455.54204424203,0.12527608837282675,4.113289999999496,1484.7422747937999,10,1e-11,644.3716981473054,1.0
"AYACUCHO, HUAMANGA, JESUS NAZARENO",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"AYACUCHO, HUAMANGA, SAN JUAN BAUTISTA",9.999999999999985e-12,2.114198647631522e-52,1e-11,0.19492161832347688,1e-11,1.0097419586828951e-27,0.5973979278588473,1e-11,6.0,2.9268022614948985e-31,1.5139412764473426e-108,3.0363184809039343e-108,1e-11,1e-11,10,1e-11,1e-11,1e-11
"AYACUCHO, HUANTA, CANAYRE",0.3317146226514656,23.217298674449577,1e-11,0.21914334047312267,0.0036219653899678622,-4.470580050414489,0.3503701453550062,4.0,6.0,0.9976817417881607,4560.4086282037815,0.407512709024941,3.516174999999504,1236.3486630621483,21,1.0,187.14898228565738,47.0
"AYACUCHO, HUANTA, HUANTA",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"AYACUCHO, HUANTA, LLOCHEGUA",0.05020993711685453,0.44286208094931506,1e-11,0.38061759990835964,0.01228108406806914,-1.3660251214648331,0.37962663890545767,1e-11,3.0,0.9633460259056502,2.4333007392028287,4.871074883294297e-05,0.5322249999995,28.326345062446787,31,1.0,150.09182731886077,19.0
"AYACUCHO, HUANTA, SANTILLANA",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"AYACUCHO, HUANTA, SIVIA",1.2322181886876267,18.735839946635814,1e-11,0.7268206621958757,0.1520412138283433,-28.371193721643337,0.47343020856556983,1.0,6.0,0.7488463898657177,991.5742591345505,0.003707419074965,1.6215049999995,284.7083624065074,26,2.0,1e-11,1e-11
"AYACUCHO, LA MAR, ANCHIHUAY",1.213712578625853,33.294304499064175,1e-11,0.8330319607769145,0.11326655345702343,-25.774102788172527,0.5969386175040672,3.0,1.0,0.7442080806860919,3674.772785841736,0.01363009142197235,1.8091899999995,339.439959770592,15,1.0,666.8123449067509,6.0
"AYACUCHO, LA MAR, ANCO",0.2508196226514375,8.27272852791176,1e-11,0.18758549869446295,0.009278619119523702,-4.720687892969276,0.29898400141572024,6.0,1e-11,0.9355347868944377,717.6955687323346,0.026076878224044846,1.6616799999995027,276.11804223983387,26,2.0,189.81581698940565,38.0
"AYACUCHO, LA MAR, AYNA",0.09091687107896315,0.9162452397602564,1e-11,0.7284621949993331,0.02283609182717634,-0.8640750074036405,0.6494674937631888,1.0,2.0,0.9355181967050009,9.909028514047032,6.164332823273945e-06,0.6013249999995016,48.21223408325315,31,3.0,4.105537078438823,54.0
"AYACUCHO, LA MAR, CHUNGUI",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"AYACUCHO, LA MAR, SAMUGARI",1.0000000000000001e-11,2.61012178719941e-54,1e-11,0.4172757458612155,1e-11,-1.6155871338926322e-27,0.6685401568764624,1e-11,6.0,2.503561761068131e-31,1e-11,1.3576987901545211e-107,1e-11,1e-11,21,1e-11,1e-11,1e-11
"AYACUCHO, LA MAR, SAN MIGUEL",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"AYACUCHO, LA MAR, SANTA ROSA",5.317769056612429,596.1988806330897,1e-11,0.8449256114893214,0.05308808695813208,-104.04749511642993,0.29119806240713497,1.0,2.0,0.7306016657457268,1832191.8510754907,2.2655282575711366,10.373449999999494,5509.138806593336,31,1.0,1597.568428693766,93.0
"AYACUCHO, LUCANAS, LUCANAS",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"AYACUCHO, PAUCAR DEL SARA SARA, SAN JAVIER DE ALPABAMBA",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"AYACUCHO, SUCRE, SAN PEDRO DE LARCAY",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CAJAMARCA, CAJAMARCA, CAJAMARCA",0.0787135471789618,0.08607593149759912,1e-11,0.5800936539960861,0.07584665264841488,-0.4183501191417308,0.5240495139433488,1e-11,3.0,0.9018073268303181,0.011798956534830948,2.788830376535284e-07,0.11377699999950003,0.9109592587816793,10,4.0,2.9000662434219877,19.0
"CAJAMARCA, CAJAMARCA, MAGDALENA",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CAJAMARCA, CHOTA, CHOTA",9.999999999999985e-12,2.114198647631522e-52,1e-11,0.19492161832347688,1e-11,1.0097419586828951e-27,0.5973979278588473,1e-11,6.0,2.9268022614948985e-31,1.5139412764473426e-108,3.0363184809039343e-108,1e-11,1e-11,10,1e-11,1e-11,1e-11
"CAJAMARCA, CHOTA, HUAMBOS",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CAJAMARCA, CONTUMAZA, CHILETE",3.3493339622738723,698.9458845770893,1e-11,0.6699772969360003,0.04665172370555322,-13.2281228335285,0.6604122780362084,1e-11,3.0,0.9789585934790587,1998221.8911332833,39.92289287965587,13.3135999999995,14588.635692036072,10,1e-11,1145.5753957804695,2.0
"CAJAMARCA, CONTUMAZA, CONTUMAZA",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CAJAMARCA, CONTUMAZA, TANTARICA",0.12105660378349013,1.5387436383030477,1e-11,0.21385241968616486,2.5430733040879915e-06,-0.022857865823356457,0.3503695821485603,4.0,6.0,0.9945927396561901,10.3669911948784,0.00364998770146158,0.6415999999995,41.16505599993585,10,1.0,256.43930201215835,47.0
"CAJAMARCA, CONTUMAZA, YONAN",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CAJAMARCA, CUTERVO, CALLAYUC",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CAJAMARCA, CUTERVO, CUTERVO",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CAJAMARCA, CUTERVO, QUEROCOTILLO",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CAJAMARCA, CUTERVO, SANTO TOMAS",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CAJAMARCA, HUALGAYOC, HUALGAYOC",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CAJAMARCA, JAEN, BELLAVISTA",0.05726915724226491,0.10213261887691703,1e-11,0.7419393023184886,0.059132759611186816,-1.289321255626065,0.6463802273836516,1e-11,2.0,0.8582930904817839,0.04289434234212319,1.0541999682866915e-07,0.15699649999950005,2.2347428157696907,31,5.0,1e-11,1e-11
"CAJAMARCA, JAEN, COLASAY",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CAJAMARCA, JAEN, HUABAL",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CAJAMARCA, JAEN, JAEN",0.24372138365767668,5.129263149160651,1e-11,0.536534791488984,0.019933398817004337,-3.2848659417586004,0.5470749130069292,1e-11,1.0,0.9352155804656523,155.59462153657788,0.0006284366056259821,1.496109999999501,223.8345132098504,31,1.0,722.2809307115986,61.0
"CAJAMARCA, JAEN, PUCARA",0.5424215849149855,5.70336579071118,1e-11,0.9590951141468147,0.14042244182133898,-12.183525868361015,0.5183086291498895,1.0,3.0,0.6905224322903087,46.28291374068777,1.9382858868364156e-05,0.8292799999994998,21.013084456208322,26,1e-11,445.7051264899849,8.0
"CAJAMARCA, JAEN, SAN JOSE DEL ALTO",10.175658490573019,452.0141823483245,1e-11,0.9089467904057114,0.44459974373288264,-88.18309551454013,0.5429960418261657,1.0,2.0,0.706973572241447,121067.80147427398,7.221000206021329,5.3930999999994995,1436.3231500891663,5,1e-11,765.3590173797206,2.0
"CAJAMARCA, JAEN, SANTA ROSA",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CAJAMARCA, SAN IGNACIO, CHIRINOS",3.0729509434058535,240.7972012631951,1e-11,0.725308038341782,0.10897435897435875,-10.988917357702618,0.6583558525490515,1.0,2.0,0.8941543959965705,95324.25661704817,2.4985383487817985,4.071659999999504,2210.455354079457,5,1e-11,1.5127381634946414e-06,53.0
"CAJAMARCA, SAN IGNACIO, HUARANGO",11.53978113208198,759.7997614689242,1e-11,0.9317293386767336,0.3687206224128262,-163.7288051441769,0.54944570617335,1.0,1e-11,0.6083052905913043,311544.00986224186,3.7072651986162146,6.24092000000001,1187.2098048900004,10,1e-11,794.5221978760461,6.0
"CAJAMARCA, SAN IGNACIO, LA COIPA",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CAJAMARCA, SAN IGNACIO, NAMBALLE",0.09455754717971654,0.9388186213090898,1e-11,0.21385241968616475,2.5430733040879673e-06,-0.01785432317129318,0.3503695821485603,4.0,6.0,0.9945927396561897,3.8590782000670636,0.0013586958553781713,0.5011549999995,25.115633402449884,10,1.0,174.56106767189226,47.0
"CAJAMARCA, SAN IGNACIO, SAN IGNACIO",0.07334764151938591,1.1351539446627787,1e-11,0.4963451402779898,0.014084507042253652,-0.23904628224223937,0.6694771182089791,1e-11,1.0,0.9976817417881605,10.901591577391368,8.684040668390402e-05,0.7774849999994992,60.44829252242225,21,1e-11,1.0073198920885902e-05,53.0
"CAJAMARCA, SAN IGNACIO, SAN JOSE DE LOURDES",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CAJAMARCA, SANTA CRUZ, NINABAMBA",2.6963792452922664,125.18833519782127,1e-11,0.2367165786749894,0.0006553681936205366,-2.0299637709667513,0.30307849642608176,4.0,6.0,0.9231549823011316,13424.666007761632,32.09443108070089,3.572704999999503,1276.4221017021425,5,3.0,752.2769656809786,52.0
"CALLAO, CALLAO, VENTANILLA",9.999999999999985e-12,2.114198647631522e-52,1e-11,0.19492161832347688,1e-11,1.0097419586828951e-27,0.5973979278588473,1e-11,6.0,2.9268022614948985e-31,1.5139412764473426e-108,3.0363184809039343e-108,1e-11,1e-11,10,1e-11,1e-11,1e-11
"CUSCO, CALCA, YANATILE",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CUSCO, CUSCO, CUSCO",9.999999999999985e-12,2.114198647631522e-52,1e-11,0.19492161832347688,1e-11,1.0097419586828951e-27,0.5973979278588473,1e-11,6.0,2.9268022614948985e-31,1.5139412764473426e-108,3.0363184809039343e-108,1e-11,1e-11,10,1e-11,1e-11,1e-11
"CUSCO, LA CONVENCION, ECHARATE",0.024787071707962266,0.12019373340132244,1e-11,0.49129935695772864,0.012753790801304992,-0.11916248271938921,0.6653702719721835,1e-11,1.0,0.9966314936490802,0.16571457411757412,7.649930213954818e-07,0.2816109999995,7.930475532071838,26,3.0,0.6515780079977695,64.0
"CUSCO, LA CONVENCION, HUAYOPATA",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CUSCO, LA CONVENCION, KIMBIRI",0.17032327045006032,1.6654124560840893,1e-11,0.7766490900382695,0.04925053292301014,-4.627007440515916,0.5489249325894283,2.0,1.0,0.8460585993720395,22.526133944840822,6.422020370718037e-05,0.7737549999995001,54.880527106322624,31,1.0,235.81156476705888,3.0
"CUSCO, LA CONVENCION, MARANURA",9.999999999999985e-12,2.114198647631522e-52,1e-11,0.19492161832347688,1e-11,1.0097419586828951e-27,0.5973979278588473,1e-11,6.0,2.9268022614948985e-31,1.5139412764473426e-108,3.0363184809039343e-108,1e-11,1e-11,10,1e-11,1e-11,1e-11
"CUSCO, LA CONVENCION, MEGANTONI",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CUSCO, LA CONVENCION, PICHARI",26.037988867930817,4147.892662092313,1e-11,0.8790090035921995,0.23795325843741233,-581.9231955958551,0.36790743076732224,2.0,5.0,0.5477062235336422,10296758.37697349,43.41719194377057,18.817335000000014,31735.46300958916,31,1.0,3985.836880899601,57.0
"CUSCO, LA CONVENCION, QUELLOUNO",1.0000000000000003e-11,1.044048714879764e-53,1e-11,0.4492343743687124,1e-11,8.077935669463161e-28,0.5583838343488312,1e-11,6.0,1.5286464012818888e-31,1.5139412764473426e-108,5.5105656367988215e-109,1e-11,1e-11,5,1e-11,1e-11,1e-11
"CUSCO, LA CONVENCION, SANTA ANA",0.35475283019823073,3.579721117202246,1e-11,0.9156219366977083,0.09817173215347431,-6.840886821609509,0.5035620142163684,1e-11,5.0,0.8144970660466796,49.07664093291921,3.105604057354516e-05,1.0445499999995018,36.36949008333333,26,1e-11,122.22230234407988,2.0
