Dep-Prov-Distrito,Cluster KM Eu,Cluster HAC DTW,Cluster DB SP
"AMAZONAS, BAGUA, ARAMANGO",3,2,0
"AMAZONAS, BAGUA, BAGUA",1,5,0
"AMAZONAS, BAGUA, COPALLIN",4,0,0
"AMAZONAS, BAGUA, EL PARCO",0,0,1
"AMAZONAS, BAGUA, IMAZA",1,5,0
"AMAZONAS, BAGUA, LA PECA",2,2,1
"AMAZONAS, BONGARA, FLORIDA",0,0,1
"AMAZONAS, BONGARA, JAZAN",3,1,0
"AMAZONAS, CHACHAPOYAS, CHACHAPOYAS",2,2,1
"AMAZONAS, CONDORCANQUI, EL CENEPA",4,0,0
"AMAZONAS, CONDORCANQUI, NIEVA",1,5,1
"AMAZONAS, CONDORCANQUI, RIO SANTIAGO",4,2,0
"AMAZONAS, UTCUBAMBA, BAGUA GRANDE",1,4,1
"AMAZONAS, UTCUBAMBA, CAJARURO",2,2,1
"AMAZONAS, UTCUBAMBA, CUMBA",0,0,1
"AMAZONAS, UTCUBAMBA, EL MILAGRO",2,2,0
"AMAZONAS, UTCUBAMBA, JAMALCA",4,1,0
"AMAZONAS, UTCUBAMBA, YAMON",0,0,1
"ANCASH, CASMA, BUENA VISTA ALTA",4,2,0
"ANCASH, CASMA, CASMA",2,5,1
"ANCASH, CASMA, COMANDANTE NOEL",3,1,0
"ANCASH, HUARMEY, HUARMEY",3,2,0
"ANCASH, SANTA, CHIMBOTE",1,4,0
"ANCASH, SANTA, COISHCO",3,2,0
"ANCASH, SANTA, NEPEÑA",0,0,1
"ANCASH, SANTA, NUEVO CHIMBOTE",2,2,0
"ANCASH, SANTA, SANTA",2,2,1
"AREQUIPA, CARAVELI, BELLA UNION",4,0,0
"AYACUCHO, CANGALLO, CANGALLO",0,0,1
"AYACUCHO, HUAMANGA, AYACUCHO",0,2,1
"AYACUCHO, HUAMANGA, JESUS NAZARENO",4,0,0
"AYACUCHO, HUAMANGA, SAN JUAN BAUTISTA",3,1,0
"AYACUCHO, HUANTA, CANAYRE",1,4,0
"AYACUCHO, HUANTA, HUANTA",4,0,0
"AYACUCHO, HUANTA, LLOCHEGUA",1,5,1
"AYACUCHO, HUANTA, SANTILLANA",0,0,1
"AYACUCHO, HUANTA, SIVIA",1,5,0
"AYACUCHO, LA MAR, ANCHIHUAY",2,2,0
"AYACUCHO, LA MAR, ANCO",4,2,2
"AYACUCHO, LA MAR, AYNA",1,4,0
"AYACUCHO, LA MAR, CHUNGUI",4,0,0
"AYACUCHO, LA MAR, SAMUGARI",1,4,0
"AYACUCHO, LA MAR, SAN MIGUEL",4,0,0
"AYACUCHO, LA MAR, SANTA ROSA",1,4,0
"AYACUCHO, LUCANAS, LUCANAS",0,0,1
"AYACUCHO, PAUCAR DEL SARA SARA, SAN JAVIER DE ALPABAMBA",4,0,0
"AYACUCHO, SUCRE, SAN PEDRO DE LARCAY",4,0,0
"CAJAMARCA, CAJAMARCA, CAJAMARCA",0,0,1
"CAJAMARCA, CAJAMARCA, MAGDALENA",4,0,0
"CAJAMARCA, CHOTA, CHOTA",3,1,0
"CAJAMARCA, CHOTA, HUAMBOS",4,0,0
"CAJAMARCA, CONTUMAZA, CHILETE",2,1,1
"CAJAMARCA, CONTUMAZA, CONTUMAZA",0,0,1
"CAJAMARCA, CONTUMAZA, TANTARICA",3,1,0
"CAJAMARCA, CONTUMAZA, YONAN",4,1,2
"CAJAMARCA, CUTERVO, CALLAYUC",0,0,1
"CAJAMARCA, CUTERVO, CUTERVO",4,1,2
"CAJAMARCA, CUTERVO, QUEROCOTILLO",0,0,1
"CAJAMARCA, CUTERVO, SANTO TOMAS",4,0,0
"CAJAMARCA, HUALGAYOC, HUALGAYOC",4,0,0
