Dep-Prov-Distrito,Cluster KM Eu,Cluster HAC DTW,Cluster DB SP
"AMAZONAS, BAGUA, ARAMANGO",0,2,0
"AMAZONAS, BAGUA, BAGUA",0,2,0
"AMAZONAS, BAGUA, COPALLIN",0,2,0
"AMAZONAS, BAGUA, EL PARCO",0,2,0
"AMAZONAS, BAGUA, IMAZA",0,2,0
"AMAZONAS, BAGUA, LA PECA",0,2,0
"AMAZONAS, BONGARA, FLORIDA",0,2,1
"AMAZONAS, BONGARA, JAZAN",0,2,0
"AMAZONAS, CHACHAPOYAS, CHACHAPOYAS",0,2,0
"AMAZONAS, CONDORCANQUI, EL CENEPA",0,2,0
"AMAZONAS, CONDORCANQUI, NIEVA",0,2,0
"AMAZONAS, CONDORCANQUI, RIO SANTIAGO",0,2,0
"AMAZONAS, UTCUBAMBA, BAGUA GRANDE",0,2,0
"AMAZONAS, UTCUBAMBA, CAJARURO",0,2,0
"AMAZONAS, UTCUBAMBA, CUMBA",0,2,0
"AMAZONAS, UTCUBAMBA, EL MILAGRO",0,2,0
"AMAZONAS, UTCUBAMBA, JAMALCA",0,2,0
"AMAZONAS, UTCUBAMBA, YAMON",0,2,0
"ANCASH, CASMA, BUENA VISTA ALTA",0,2,0
"ANCASH, CASMA, CASMA",0,2,0
"ANCASH, CASMA, COMANDANTE NOEL",0,2,0
"ANCASH, HUARMEY, HUARMEY",0,2,0
"ANCASH, SANTA, CHIMBOTE",0,2,0
"ANCASH, SANTA, COISHCO",0,2,0
"ANCASH, SANTA, NEPEÑA",0,2,0
"ANCASH, SANTA, NUEVO CHIMBOTE",0,2,0
"ANCASH, SANTA, SANTA",0,2,0
"AREQUIPA, CARAVELI, BELLA UNION",0,2,0
"AYACUCHO, CANGALLO, CANGALLO",0,2,2
"AYACUCHO, HUAMANGA, AYACUCHO",0,2,0
"AYACUCHO, HUAMANGA, JESUS NAZARENO",0,2,0
"AYACUCHO, HUAMANGA, SAN JUAN BAUTISTA",0,2,0
"AYACUCHO, HUANTA, CANAYRE",0,2,0
"AYACUCHO, HUANTA, HUANTA",0,2,1
