Dep-Prov-Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KlScore,ChangeIdx
"AMAZONAS, BAGUA, ARAMANGO",1.9406023726435655,37.725273141485204,0.40338491239463425,0.4868458212787443,0.047243064563825383,13.954886619745235,0.24768183126211818,4.0,6.0,0.8629347239203371,2197.3945816197615,0.42331468508293735,2.235336194563163,453.03666318034414,10.0,7.0,1e-08,1e-08
"AMAZONAS, BAGUA, BAGUA",9.412379519498968,121.19988760361315,0.5866959607955249,0.7127439799403454,0.13411158716651192,58.718308615057445,0.4531593848506038,1.0,2.0,0.7896382029035123,2170.8886088299887,0.16422686251651192,2.317049623478935,533.1436187124721,13.0,23.0,1e-08,1e-08
"AMAZONAS, BAGUA, COPALLIN",0.8968029024144855,16.483864536445523,0.5232871250164841,0.5115410489856196,0.0008779641512491721,-1.3423715043256035,0.4482050482538945,4.0,1e-07,0.8536130930818235,481.6986246073144,0.024675494022884534,1.5639662183291843,244.599033207489,15.0,3.0,1e-08,1e-08
"AMAZONAS, BAGUA, EL PARCO",1.2779733788332888,84.93343377470214,-0.009877488934083528,0.3088811856382454,0.013645593087825716,-1.388676760230161,0.4876219009402306,1e-07,1.0,0.8169668283574946,12883.532662793681,3.156451504948505,3.415300546447592,1166.427782256519,10.0,1.0,1e-08,1e-08
"AMAZONAS, BAGUA, IMAZA",1.0995992920279078,10.347266311512342,0.6624182891630087,0.7724560807083074,0.13551114410546253,15.608139691648933,0.3542765191780951,2.0,3.0,0.763732356043566,227.82022638332663,0.0017826881122661661,0.9958969047519197,109.76037803497704,15.0,7.0,1e-08,1e-08
"AMAZONAS, BAGUA, LA PECA",1.5743549491687692,31.021600283265517,0.619412531485106,0.6953713597597856,0.01522611764180912,9.35453982010915,0.35722251457796794,6.0,3.0,0.8120799003733372,1627.816119701867,0.03899684330978499,1.8813495547467718,353.9476147145877,15.0,4.0,1e-08,1e-08
"AMAZONAS, BONGARA, JAZAN",0.6187557234998765,6.38097742252467,0.3122012578616352,0.36690477747172334,0.03900284900284896,1.7390884371216435,0.3752175958864289,2.0,4.0,0.8910508076581852,23.327712273296555,0.02152646802891021,0.5465675557493922,39.83147906638175,5.0,2.0,1e-08,1e-08
"AMAZONAS, CHACHAPOYAS, CHACHAPOYAS",0.06391638325485814,0.21274126415188724,-0.01932393228759726,0.2945350870789498,0.0009646140242093726,0.1949837382014486,0.33763801903306323,4.0,6.0,0.9203702326858161,0.13890653202915737,1.2294033578521997e-05,0.17538936438844344,4.027283316963913,15.0,3.0,1e-08,1e-08
"AMAZONAS, CONDORCANQUI, EL CENEPA",0.18911420797114128,1.8597375499440294,-0.0003628447024673265,0.486359118563505,0.05555555555555554,0.341696924844016,0.6700482623529178,4.0,1e-07,0.98854909101475,6.874353753897492,0.0009610622870805274,0.5011526510970243,25.11539797015759,5.0,1.0,1e-08,1e-08
"AMAZONAS, CONDORCANQUI, NIEVA",3.4326966860631054,101.8514733277502,0.7255307970231234,0.8353243304037332,0.17253427950691946,43.76024117669284,0.3634201479578405,4.0,6.0,0.7630068090110861,14334.004733109037,0.07994062411040778,2.9945100648805525,538.7634638624467,15.0,6.0,1e-08,1e-08
