,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
0,"AMAZONAS, BAGUA, ARAMANGO",0,4,0
1,"AMAZONAS, BAGUA, BAGUA",0,4,0
2,"AMAZONAS, BAGUA, IMAZA",0,4,1
3,"AMAZONAS, BAGUA, LA PECA",0,4,1
4,"AMAZONAS, BONGARA, FLORIDA",0,4,1
5,"AMAZONAS, CHACHAPOYAS, CHACHAPOYAS",0,4,0
6,"AMAZONAS, CONDORCANQUI, NIEVA",0,4,0
7,"AMAZONAS, CONDORCANQUI, RIO SANTIAGO",0,4,1
8,"AMAZONAS, UTCUBAMBA, BAGUA GRANDE",0,4,0
9,"AMAZONAS, UTCUBAMBA, CAJARURO",0,4,0
10,"AMAZONAS, UTCUBAMBA, CUMBA",0,4,1
11,"AMAZONAS, UTCUBAMBA, EL MILAGRO",0,4,0
12,"ANCASH, CASMA, BUENA VISTA ALTA",0,4,0
13,"ANCASH, CASMA, CASMA",0,4,0
14,"ANCASH, CASMA, COMANDANTE NOEL",0,4,0
15,"ANCASH, HUARMEY, HUARMEY",0,4,0
16,"ANCASH, SANTA, CHIMBOTE",0,4,0
17,"ANCASH, SANTA, COISHCO",0,4,0
18,"ANCASH, SANTA, NEPEÑA",0,4,0
19,"ANCASH, SANTA, NUEVO CHIMBOTE",0,4,0
20,"ANCASH, SANTA, SANTA",0,4,0
21,"AYACUCHO, HUAMANGA, AYACUCHO",0,4,0
22,"AYACUCHO, HUAMANGA, SAN JUAN BAUTISTA",0,4,1
23,"AYACUCHO, HUANTA, CANAYRE",5,2,0
24,"AYACUCHO, HUANTA, LLOCHEGUA",0,4,0
25,"AYACUCHO, HUANTA, SIVIA",0,4,0
26,"AYACUCHO, LA MAR, ANCHIHUAY",0,4,0
27,"AYACUCHO, LA MAR, ANCO",0,4,0
28,"AYACUCHO, LA MAR, AYNA",0,4,0
29,"AYACUCHO, LA MAR, SAMUGARI",3,1,0
30,"AYACUCHO, LA MAR, SAN MIGUEL",0,4,1
31,"AYACUCHO, LA MAR, SANTA ROSA",0,4,0
32,"CAJAMARCA, CAJAMARCA, CAJAMARCA",0,4,1
33,"CAJAMARCA, CHOTA, CHOTA",0,4,1
34,"CAJAMARCA, CONTUMAZA, CHILETE",0,4,0
35,"CAJAMARCA, CONTUMAZA, CONTUMAZA",0,4,0
36,"CAJAMARCA, CONTUMAZA, TANTARICA",0,4,0
37,"CAJAMARCA, CONTUMAZA, YONAN",0,4,0
38,"CAJAMARCA, JAEN, BELLAVISTA",0,4,-1
39,"CAJAMARCA, JAEN, JAEN",0,4,0
40,"CAJAMARCA, JAEN, PUCARA",0,4,0
41,"CAJAMARCA, JAEN, SAN JOSE DEL ALTO",0,4,0
42,"CAJAMARCA, SAN IGNACIO, CHIRINOS",0,4,0
43,"CAJAMARCA, SAN IGNACIO, HUARANGO",0,4,0
44,"CAJAMARCA, SAN IGNACIO, NAMBALLE",0,4,0
45,"CAJAMARCA, SAN IGNACIO, SAN IGNACIO",0,4,1
46,"CAJAMARCA, SANTA CRUZ, NINABAMBA",0,4,0
