,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
0,"AMAZONAS, BAGUA, ARAMANGO",3,0,-1
1,"AMAZONAS, BAGUA, BAGUA",3,0,-1
2,"AMAZONAS, BAGUA, COPALLIN",3,0,-1
3,"AMAZONAS, BAGUA, EL PARCO",3,0,0
4,"AMAZONAS, BAGUA, IMAZA",3,0,-1
5,"AMAZONAS, BAGUA, LA PECA",3,0,-1
6,"AMAZONAS, BONGARA, FLORIDA",3,0,1
7,"AMAZONAS, BONGARA, JAZAN",3,0,-1
8,"AMAZONAS, CHACHAPOYAS, CHACHAPOYAS",3,0,-1
9,"AMAZONAS, CONDORCANQUI, EL CENEPA",3,0,2
10,"AMAZONAS, CONDORCANQUI, NIEVA",3,0,-1
11,"AMAZONAS, CONDORCANQUI, RIO SANTIAGO",3,0,-1
12,"AMAZONAS, UTCUBAMBA, BAGUA GRANDE",0,1,0
13,"AMAZONAS, UTCUBAMBA, CAJARURO",3,0,-1
14,"AMAZONAS, UTCUBAMBA, CUMBA",3,0,3
15,"AMAZONAS, UTCUBAMBA, EL MILAGRO",3,0,-1
16,"AMAZONAS, UTCUBAMBA, JAMALCA",3,0,-1
17,"AMAZONAS, UTCUBAMBA, YAMON",3,0,4
18,"ANCASH, CASMA, BUENA VISTA ALTA",3,0,-1
19,"ANCASH, CASMA, CASMA",0,1,-1
20,"ANCASH, CASMA, COMANDANTE NOEL",3,0,-1
21,"ANCASH, HUARMEY, HUARMEY",3,0,-1
22,"ANCASH, SANTA, CHIMBOTE",3,0,-1
23,"ANCASH, SANTA, COISHCO",0,1,5
24,"ANCASH, SANTA, NEPEÑA",3,0,6
25,"ANCASH, SANTA, NUEVO CHIMBOTE",3,0,-1
26,"ANCASH, SANTA, SANTA",3,0,-1
27,"AREQUIPA, CARAVELI, BELLA UNION",3,0,2
28,"AYACUCHO, CANGALLO, CANGALLO",3,0,-1
29,"AYACUCHO, HUAMANGA, AYACUCHO",3,0,-1
30,"AYACUCHO, HUAMANGA, JESUS NAZARENO",3,0,2
31,"AYACUCHO, HUAMANGA, SAN JUAN BAUTISTA",3,0,-1
32,"AYACUCHO, HUANTA, CANAYRE",2,4,5
33,"AYACUCHO, HUANTA, HUANTA",3,0,-1
34,"AYACUCHO, HUANTA, LLOCHEGUA",0,1,-1
35,"AYACUCHO, HUANTA, SANTILLANA",3,0,4
36,"AYACUCHO, HUANTA, SIVIA",3,0,-1
37,"AYACUCHO, LA MAR, ANCHIHUAY",3,0,7
38,"AYACUCHO, LA MAR, ANCO",3,0,-1
39,"AYACUCHO, LA MAR, AYNA",0,0,8
40,"AYACUCHO, LA MAR, CHUNGUI",3,0,-1
41,"AYACUCHO, LA MAR, SAMUGARI",4,3,-1
42,"AYACUCHO, LA MAR, SAN MIGUEL",3,0,2
43,"AYACUCHO, LA MAR, SANTA ROSA",0,1,9
44,"AYACUCHO, LUCANAS, LUCANAS",3,0,4
45,"AYACUCHO, PAUCAR DEL SARA SARA, SAN JAVIER DE ALPABAMBA",3,0,-1
46,"AYACUCHO, SUCRE, SAN PEDRO DE LARCAY",3,0,-1
47,"CAJAMARCA, CAJAMARCA, CAJAMARCA",3,0,-1
48,"CAJAMARCA, CAJAMARCA, MAGDALENA",3,0,2
49,"CAJAMARCA, CHOTA, CHOTA",3,0,-1
50,"CAJAMARCA, CHOTA, HUAMBOS",3,0,2
51,"CAJAMARCA, CONTUMAZA, CHILETE",0,1,5
52,"CAJAMARCA, CONTUMAZA, CONTUMAZA",3,0,9
53,"CAJAMARCA, CONTUMAZA, TANTARICA",0,1,5
54,"CAJAMARCA, CONTUMAZA, YONAN",3,0,-1
55,"CAJAMARCA, CUTERVO, CALLAYUC",3,0,1
56,"CAJAMARCA, CUTERVO, CUTERVO",3,0,-1
57,"CAJAMARCA, CUTERVO, QUEROCOTILLO",3,0,1
58,"CAJAMARCA, CUTERVO, SANTO TOMAS",3,0,2
59,"CAJAMARCA, HUALGAYOC, HUALGAYOC",3,0,2
60,"CAJAMARCA, JAEN, BELLAVISTA",3,0,-1
61,"CAJAMARCA, JAEN, COLASAY",3,0,-1
62,"CAJAMARCA, JAEN, HUABAL",3,0,1
63,"CAJAMARCA, JAEN, JAEN",3,0,6
64,"CAJAMARCA, JAEN, PUCARA",3,0,10
65,"CAJAMARCA, JAEN, SAN JOSE DEL ALTO",3,0,-1
66,"CAJAMARCA, JAEN, SANTA ROSA",3,0,-1
67,"CAJAMARCA, SAN IGNACIO, CHIRINOS",3,0,11
68,"CAJAMARCA, SAN IGNACIO, HUARANGO",3,0,-1
69,"CAJAMARCA, SAN IGNACIO, LA COIPA",3,0,1
70,"CAJAMARCA, SAN IGNACIO, NAMBALLE",3,0,-1
71,"CAJAMARCA, SAN IGNACIO, SAN IGNACIO",3,0,-1
72,"CAJAMARCA, SAN IGNACIO, SAN JOSE DE LOURDES",3,0,1
73,"CAJAMARCA, SANTA CRUZ, NINABAMBA",3,0,-1
74,"CALLAO, CALLAO, VENTANILLA",3,0,-1
75,"CUSCO, CALCA, YANATILE",3,0,-1
76,"CUSCO, CUSCO, CUSCO",3,0,-1
77,"CUSCO, LA CONVENCION, ECHARATE",3,0,-1
78,"CUSCO, LA CONVENCION, HUAYOPATA",3,0,12
79,"CUSCO, LA CONVENCION, KIMBIRI",3,0,-1
80,"CUSCO, LA CONVENCION, MARANURA",3,0,-1
81,"CUSCO, LA CONVENCION, MEGANTONI",3,0,-1
82,"CUSCO, LA CONVENCION, PICHARI",3,0,-1
83,"CUSCO, LA CONVENCION, QUELLOUNO",3,0,-1
84,"CUSCO, LA CONVENCION, SANTA ANA",3,0,14
85,"CUSCO, LA CONVENCION, SANTA TERESA",3,0,-1
86,"CUSCO, LA CONVENCION, VILCABAMBA",3,0,-1
87,"CUSCO, LA CONVENCION, VILLA KINTIARINA",3,0,-1
88,"CUSCO, LA CONVENCION, VILLA VIRGEN",3,0,-1
89,"CUSCO, PAUCARTAMBO, KOSÑIPATA",3,0,-1
90,"CUSCO, QUISPICANCHI, CAMANTI",3,0,13
91,"HUANUCO, AMBO, AMBO",3,0,-1
92,"HUANUCO, HUAMALIES, MONZON",3,0,-1
93,"HUANUCO, HUANUCO, AMARILIS",3,0,-1
94,"HUANUCO, HUANUCO, CHINCHAO",3,0,1
95,"HUANUCO, HUANUCO, HUANUCO",3,0,-1
96,"HUANUCO, HUANUCO, PILLCO MARCA",3,0,-1
97,"HUANUCO, HUANUCO, SANTA MARIA DEL VALLE",3,0,1
98,"HUANUCO, LAURICOCHA, JIVIA",3,0,-1
99,"HUANUCO, LEONCIO PRADO, CASTILLO GRANDE",3,0,14
100,"HUANUCO, LEONCIO PRADO, DANIEL ALOMIA ROBLES",3,0,10
101,"HUANUCO, LEONCIO PRADO, HERMILIO VALDIZAN",3,0,-1
102,"HUANUCO, LEONCIO PRADO, JOSE CRESPO Y CASTILLO",3,0,-1
103,"HUANUCO, LEONCIO PRADO, LUYANDO",3,0,15
104,"HUANUCO, LEONCIO PRADO, MARIANO DAMASO BERAUN",3,0,-1
105,"HUANUCO, LEONCIO PRADO, PUEBLO NUEVO",3,0,-1
106,"HUANUCO, LEONCIO PRADO, RUPA-RUPA",3,0,-1
107,"HUANUCO, MARAÑON, CHOLON",3,0,-1
108,"HUANUCO, PACHITEA, PANAO",3,0,-1
109,"HUANUCO, PACHITEA, UMARI",3,0,2
110,"HUANUCO, PUERTO INCA, CODO DEL POZUZO",3,0,15
111,"HUANUCO, PUERTO INCA, HONORIA",3,0,14
112,"HUANUCO, PUERTO INCA, PUERTO INCA",3,0,8
113,"HUANUCO, PUERTO INCA, TOURNAVISTA",3,0,9
114,"HUANUCO, PUERTO INCA, YUYAPICHIS",3,0,-1
115,"ICA, CHINCHA, ALTO LARAN",3,0,-1
116,"ICA, CHINCHA, CHINCHA ALTA",3,0,-1
117,"ICA, CHINCHA, CHINCHA BAJA",3,0,10
118,"ICA, CHINCHA, EL CARMEN",3,0,10
119,"ICA, CHINCHA, GROCIO PRADO",3,0,-1
120,"ICA, CHINCHA, PUEBLO NUEVO",3,0,0
121,"ICA, CHINCHA, SUNAMPE",3,0,-1
122,"ICA, CHINCHA, TAMBO DE MORA",3,0,-1
123,"ICA, ICA, ICA",3,0,16
124,"ICA, ICA, LA TINGUIÑA",3,0,17
125,"ICA, ICA, LOS AQUIJES",3,0,7
126,"ICA, ICA, OCUCAJE",0,1,-1
127,"ICA, ICA, PACHACUTEC",3,0,-1
128,"ICA, ICA, PARCONA",3,0,14
129,"ICA, ICA, PUEBLO NUEVO",3,0,14
130,"ICA, ICA, SALAS",3,0,-1
131,"ICA, ICA, SAN JOSE DE LOS MOLINOS",3,0,-1
132,"ICA, ICA, SAN JUAN BAUTISTA",3,0,14
133,"ICA, ICA, SANTIAGO",3,0,-1
134,"ICA, ICA, SUBTANJALLA",3,0,14
135,"ICA, ICA, TATE",3,0,18
136,"ICA, ICA, YAUCA DEL ROSARIO",3,0,11
137,"ICA, NASCA, CHANGUILLO",3,0,0
138,"ICA, NASCA, EL INGENIO",3,0,-1
139,"ICA, NASCA, MARCONA",3,0,-1
140,"ICA, NASCA, NASCA",3,0,-1
141,"ICA, NASCA, VISTA ALEGRE",3,0,0
142,"ICA, PALPA, LLIPATA",5,5,-1
143,"ICA, PALPA, PALPA",2,4,-1
144,"ICA, PALPA, RIO GRANDE",2,1,-1
145,"ICA, PALPA, SANTA CRUZ",3,0,-1
146,"ICA, PISCO, HUANCANO",3,0,-1
147,"ICA, PISCO, HUMAY",3,0,-1
148,"ICA, PISCO, INDEPENDENCIA",3,0,-1
149,"ICA, PISCO, PARACAS",3,0,-1
150,"ICA, PISCO, PISCO",3,0,-1
151,"ICA, PISCO, SAN ANDRES",3,0,19
152,"ICA, PISCO, SAN CLEMENTE",3,0,-1
153,"ICA, PISCO, TUPAC AMARU INCA",3,0,-1
154,"JUNIN, CHANCHAMAYO, CHANCHAMAYO",3,0,14
155,"JUNIN, CHANCHAMAYO, PERENE",3,0,-1
156,"JUNIN, CHANCHAMAYO, PICHANAQUI",3,0,-1
157,"JUNIN, CHANCHAMAYO, SAN LUIS DE SHUARO",3,0,-1
158,"JUNIN, CHANCHAMAYO, SAN RAMON",3,0,16
159,"JUNIN, CHANCHAMAYO, VITOC",3,0,-1
160,"JUNIN, HUANCAYO, EL TAMBO",3,0,-1
161,"JUNIN, HUANCAYO, SANTO DOMINGO DE ACOBAMBA",3,0,2
162,"JUNIN, HUANCAYO, SAPALLANGA",3,0,-1
163,"JUNIN, JUNIN, JUNIN",3,0,-1
164,"JUNIN, SATIPO, COVIRIALI",3,0,-1
165,"JUNIN, SATIPO, LLAYLLA",3,0,-1
166,"JUNIN, SATIPO, MAZAMARI",3,0,6
167,"JUNIN, SATIPO, PAMPA HERMOSA",3,0,20
168,"JUNIN, SATIPO, PANGOA",3,0,21
169,"JUNIN, SATIPO, RIO NEGRO",3,0,-1
170,"JUNIN, SATIPO, RIO TAMBO",3,0,-1
171,"JUNIN, SATIPO, SATIPO",3,0,22
172,"JUNIN, SATIPO, VIZCATAN DEL ENE",3,0,-1
173,"JUNIN, YAULI, LA OROYA",3,0,2
174,"LA LIBERTAD, ASCOPE, ASCOPE",3,0,23
175,"LA LIBERTAD, ASCOPE, CASA GRANDE",3,0,6
176,"LA LIBERTAD, ASCOPE, CHICAMA",3,0,-1
177,"LA LIBERTAD, ASCOPE, CHOCOPE",3,0,15
178,"LA LIBERTAD, ASCOPE, PAIJAN",3,0,-1
179,"LA LIBERTAD, ASCOPE, SANTIAGO DE CAO",3,0,1
180,"LA LIBERTAD, CHEPEN, CHEPEN",0,0,-1
181,"LA LIBERTAD, CHEPEN, PACANGA",3,0,-1
182,"LA LIBERTAD, CHEPEN, PUEBLO NUEVO",3,0,1
183,"LA LIBERTAD, GRAN CHIMU, CASCAS",3,0,-1
184,"LA LIBERTAD, PACASMAYO, GUADALUPE",3,0,-1
185,"LA LIBERTAD, PACASMAYO, JEQUETEPEQUE",3,0,4
186,"LA LIBERTAD, PACASMAYO, PACASMAYO",3,0,-1
187,"LA LIBERTAD, PACASMAYO, SAN JOSE",3,0,20
188,"LA LIBERTAD, PACASMAYO, SAN PEDRO DE LLOC",3,0,15
189,"LA LIBERTAD, PATAZ, PATAZ",3,0,14
190,"LA LIBERTAD, SANCHEZ CARRION, COCHORCO",3,0,3
191,"LA LIBERTAD, TRUJILLO, EL PORVENIR",3,0,-1
192,"LA LIBERTAD, TRUJILLO, FLORENCIA DE MORA",3,0,-1
