,Distrito,Cluster KM,Cluster HAC ,Cluster DB SP
0,"AMAZONAS, BAGUA, ARAMANGO",0,2,0
1,"AMAZONAS, BAGUA, BAGUA",0,2,0
2,"AMAZONAS, BAGUA, COPALLIN",0,2,0
3,"AMAZONAS, BAGUA, EL PARCO",0,2,0
4,"AMAZONAS, BAGUA, IMAZA",0,2,1
5,"AMAZONAS, BAGUA, LA PECA",0,2,0
6,"AMAZONAS, BONGARA, FLORIDA",0,2,0
7,"AMAZONAS, BONGARA, JAZAN",0,2,1
8,"AMAZONAS, CHACHAPOYAS, CHACHAPOYAS",0,2,0
9,"AMAZONAS, CONDORCANQUI, EL CENEPA",0,2,1
10,"AMAZONAS, CONDORCANQUI, NIEVA",0,2,0
11,"AMAZONAS, CONDORCANQUI, RIO SANTIAGO",0,2,0
12,"AMAZONAS, UTCUBAMBA, BAGUA GRANDE",0,2,0
13,"AMAZONAS, UTCUBAMBA, CAJARURO",0,2,0
14,"AMAZONAS, UTCUBAMBA, CUMBA",0,2,0
15,"AMAZONAS, UTCUBAMBA, EL MILAGRO",0,2,0
16,"AMAZONAS, UTCUBAMBA, JAMALCA",0,2,0
17,"AMAZONAS, UTCUBAMBA, YAMON",0,2,0
18,"ANCASH, CASMA, BUENA VISTA ALTA",0,2,0
19,"ANCASH, CASMA, CASMA",0,2,0
20,"ANCASH, CASMA, COMANDANTE NOEL",0,2,0
21,"ANCASH, HUARMEY, HUARMEY",0,2,0
22,"ANCASH, SANTA, CHIMBOTE",0,2,0
23,"ANCASH, SANTA, COISHCO",0,2,0
24,"ANCASH, SANTA, NEPEÑA",0,2,0
25,"ANCASH, SANTA, NUEVO CHIMBOTE",0,2,1
26,"ANCASH, SANTA, SANTA",0,2,0
27,"AREQUIPA, CARAVELI, BELLA UNION",0,2,1
28,"AYACUCHO, CANGALLO, CANGALLO",0,2,0
29,"AYACUCHO, HUAMANGA, AYACUCHO",0,2,0
30,"AYACUCHO, HUAMANGA, JESUS NAZARENO",0,2,1
31,"AYACUCHO, HUAMANGA, SAN JUAN BAUTISTA",0,2,1
32,"AYACUCHO, HUANTA, CANAYRE",0,2,0
33,"AYACUCHO, HUANTA, HUANTA",0,2,1
34,"AYACUCHO, HUANTA, LLOCHEGUA",0,2,0
35,"AYACUCHO, HUANTA, SANTILLANA",0,2,0
36,"AYACUCHO, HUANTA, SIVIA",0,2,0
37,"AYACUCHO, LA MAR, ANCHIHUAY",0,2,0
38,"AYACUCHO, LA MAR, ANCO",0,2,0
39,"AYACUCHO, LA MAR, AYNA",0,2,0
40,"AYACUCHO, LA MAR, CHUNGUI",0,2,1
41,"AYACUCHO, LA MAR, SAMUGARI",4,0,0
42,"AYACUCHO, LA MAR, SAN MIGUEL",0,2,1
43,"AYACUCHO, LA MAR, SANTA ROSA",0,2,0
44,"AYACUCHO, LUCANAS, LUCANAS",0,2,0
45,"AYACUCHO, PAUCAR DEL SARA SARA, SAN JAVIER DE ALPABAMBA",0,2,0
46,"AYACUCHO, SUCRE, SAN PEDRO DE LARCAY",0,2,0
47,"CAJAMARCA, CAJAMARCA, CAJAMARCA",0,2,0
48,"CAJAMARCA, CAJAMARCA, MAGDALENA",0,2,1
49,"CAJAMARCA, CHOTA, CHOTA",0,2,1
50,"CAJAMARCA, CHOTA, HUAMBOS",0,2,1
51,"CAJAMARCA, CONTUMAZA, CHILETE",0,2,0
52,"CAJAMARCA, CONTUMAZA, CONTUMAZA",0,2,0
53,"CAJAMARCA, CONTUMAZA, TANTARICA",0,2,0
54,"CAJAMARCA, CONTUMAZA, YONAN",0,2,0
55,"CAJAMARCA, CUTERVO, CALLAYUC",0,2,0
56,"CAJAMARCA, CUTERVO, CUTERVO",0,2,1
57,"CAJAMARCA, CUTERVO, QUEROCOTILLO",0,2,0
58,"CAJAMARCA, CUTERVO, SANTO TOMAS",0,2,1
59,"CAJAMARCA, HUALGAYOC, HUALGAYOC",0,2,1
60,"CAJAMARCA, JAEN, BELLAVISTA",0,2,1
61,"CAJAMARCA, JAEN, COLASAY",0,2,0
62,"CAJAMARCA, JAEN, HUABAL",0,2,0
63,"CAJAMARCA, JAEN, JAEN",0,2,0
64,"CAJAMARCA, JAEN, PUCARA",0,2,0
65,"CAJAMARCA, JAEN, SAN JOSE DEL ALTO",0,2,0
66,"CAJAMARCA, JAEN, SANTA ROSA",0,2,0
67,"CAJAMARCA, SAN IGNACIO, CHIRINOS",0,2,0
68,"CAJAMARCA, SAN IGNACIO, HUARANGO",0,2,0
69,"CAJAMARCA, SAN IGNACIO, LA COIPA",0,2,0
70,"CAJAMARCA, SAN IGNACIO, NAMBALLE",0,2,0
71,"CAJAMARCA, SAN IGNACIO, SAN IGNACIO",0,2,0
72,"CAJAMARCA, SAN IGNACIO, SAN JOSE DE LOURDES",0,2,0
73,"CAJAMARCA, SANTA CRUZ, NINABAMBA",0,2,0
74,"CALLAO, CALLAO, VENTANILLA",0,2,1
75,"CUSCO, CALCA, YANATILE",0,2,0
76,"CUSCO, CUSCO, CUSCO",0,2,1
77,"CUSCO, LA CONVENCION, ECHARATE",0,2,0
78,"CUSCO, LA CONVENCION, HUAYOPATA",0,2,0
79,"CUSCO, LA CONVENCION, KIMBIRI",0,2,0
80,"CUSCO, LA CONVENCION, MARANURA",0,2,0
81,"CUSCO, LA CONVENCION, MEGANTONI",0,2,0
82,"CUSCO, LA CONVENCION, PICHARI",0,2,0
83,"CUSCO, LA CONVENCION, QUELLOUNO",0,2,1
84,"CUSCO, LA CONVENCION, SANTA ANA",0,2,0
85,"CUSCO, LA CONVENCION, SANTA TERESA",0,2,0
86,"CUSCO, LA CONVENCION, VILCABAMBA",0,2,1
87,"CUSCO, LA CONVENCION, VILLA KINTIARINA",0,2,0
88,"CUSCO, LA CONVENCION, VILLA VIRGEN",0,2,0
89,"CUSCO, PAUCARTAMBO, KOSÑIPATA",0,2,0
90,"CUSCO, QUISPICANCHI, CAMANTI",0,2,0
91,"HUANUCO, AMBO, AMBO",0,2,0
92,"HUANUCO, HUAMALIES, MONZON",0,2,0
93,"HUANUCO, HUANUCO, AMARILIS",0,2,1
94,"HUANUCO, HUANUCO, CHINCHAO",0,2,0
95,"HUANUCO, HUANUCO, HUANUCO",0,2,1
96,"HUANUCO, HUANUCO, PILLCO MARCA",0,2,0
97,"HUANUCO, HUANUCO, SANTA MARIA DEL VALLE",0,2,0
98,"HUANUCO, LAURICOCHA, JIVIA",0,2,0
99,"HUANUCO, LEONCIO PRADO, CASTILLO GRANDE",0,2,0
100,"HUANUCO, LEONCIO PRADO, DANIEL ALOMIA ROBLES",0,2,0
101,"HUANUCO, LEONCIO PRADO, HERMILIO VALDIZAN",0,2,0
102,"HUANUCO, LEONCIO PRADO, JOSE CRESPO Y CASTILLO",0,2,0
103,"HUANUCO, LEONCIO PRADO, LUYANDO",0,2,0
104,"HUANUCO, LEONCIO PRADO, MARIANO DAMASO BERAUN",0,2,0
105,"HUANUCO, LEONCIO PRADO, PUEBLO NUEVO",0,2,0
106,"HUANUCO, LEONCIO PRADO, RUPA-RUPA",0,2,0
107,"HUANUCO, MARAÑON, CHOLON",0,2,1
