,Dep-Prov-Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KLScore,ChangeIdx,Semanas no Nulas,Semana del MAX
0,"AMAZONAS, BAGUA, ARAMANGO",1.4161424622687913,28.03774127574586,0.37920133157491287,0.47852140693109046,0.057369428867463,16.105723374252335,0.25951504561350525,4.0,6.0,0.8779465309219691,1123.065438505539,0.13136338694329192,2.235336194563163,453.03666318034414,15.0,8.0,1e-08,1e-08,15.0,140.0
1,"AMAZONAS, BAGUA, BAGUA",7.96892506174008,162.7937192972007,0.6419382488240272,0.6984163799071197,0.005168290041894807,24.05578792717276,0.40878493067006805,3.0,1e-07,0.809779944242233,27825.854032363113,0.17169073655940983,3.8047599999995008,1683.9668204220297,29.0,35.0,1e-08,1e-08,171.0,21.0
2,"AMAZONAS, BAGUA, COPALLIN",0.8968029024144855,16.483864536445523,0.5232871250164841,0.5115410489856196,0.0008779641512491721,-1.3423715043256035,0.4482050482538945,4.0,1e-07,0.8536130930818235,481.6986246073144,0.024675494022884534,1.5639662183291843,244.599033207489,15.0,3.0,1e-08,1e-08,8.0,76.0
3,"AMAZONAS, BAGUA, EL PARCO",1.2779733788332888,84.93343377470214,-0.009877488934083528,0.3088811856382454,0.013645593087825716,-1.388676760230161,0.4876219009402306,1e-07,1.0,0.8169668283574946,12883.532662793681,3.156451504948505,3.415300546447592,1166.427782256519,10.0,1.0,1e-08,1e-08,2.0,53.0
4,"AMAZONAS, BAGUA, IMAZA",0.6911900342856936,6.586992720713021,0.6660827576190838,0.7752712282930017,0.10997795453063203,13.397455012098785,0.3582393410197722,3.0,1e-07,0.7932822671580347,148.49923426601373,0.00039343251428179774,0.9958969047519197,109.76037803497704,26.0,9.0,1e-08,1e-08,25.0,251.0
5,"AMAZONAS, BAGUA, LA PECA",1.2393622507867996,24.317027657697356,0.6090945960483516,0.6975714826056528,0.026113079841316916,13.651167632945294,0.37233117390307624,1e-07,1.0,0.8249619264947284,1297.1676806744765,0.016652767103678766,1.8813495547467718,353.9476147145877,21.0,4.0,1e-08,1e-08,15.0,159.0
6,"AMAZONAS, BONGARA, FLORIDA",0.22093588441615575,2.538258580953179,-0.00036284470246734425,0.48635911856350433,0.055555555555555816,-0.3991932340947591,0.6700482623529178,1e-07,1.0,0.9885490910147502,11.501747409732156,0.0017902758019260664,0.5854800936763142,34.27869400912267,5.0,1e-07,1e-08,1e-08,1.0,1e-07
7,"AMAZONAS, BONGARA, JAZAN",0.6187557234998765,6.38097742252467,0.3122012578616352,0.36690477747172334,0.03900284900284896,1.7390884371216435,0.3752175958864289,2.0,4.0,0.8910508076581852,23.327712273296555,0.02152646802891021,0.5465675557493922,39.83147906638175,5.0,2.0,1e-08,1e-08,3.0,31.0
8,"AMAZONAS, CHACHAPOYAS, CHACHAPOYAS",3.5884717685749687,284.12805585533124,0.6675870198436118,0.9748741143240379,0.11994428957471244,-64.56498605860378,0.8264121250723767,1e-07,1.0,0.7783590664129577,249608.57383067766,0.01559752087049325,7.7266999999994965,1959.604103276666,21.0,3.0,1e-08,1e-08,19.0,1e-07
9,"AMAZONAS, CONDORCANQUI, EL CENEPA",0.18911420797114128,1.8597375499440294,-0.0003628447024673265,0.486359118563505,0.05555555555555554,0.341696924844016,0.6700482623529178,4.0,1e-07,0.98854909101475,6.874353753897492,0.0009610622870805274,0.5011526510970243,25.11539797015759,5.0,1.0,1e-08,1e-08,1.0,52.0
