Dep-Prov-Distrito,Distrito,Semana,Incidencia semanal,Casos,Año
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,24,1.24886,1.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,27,1.24886,1.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,21,1.24886,1.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,53,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,52,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,51,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,50,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,49,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,48,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,47,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,46,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,45,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,44,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,43,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,42,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,41,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,40,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,39,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,38,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,37,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,36,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,35,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,34,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,33,0.0,0.0,2015
"LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE",LAMBAYEQUE,32,0.0,0.0,2015
